object_id,museum_id,title,artist,artist_province,dynasty,artist_wikidata_id,artist_birth,artist_death,artist_bio,artist_wikipedia_summary,artist_enriched_at,period,period_start_year,period_end_year,type,material,culture,description,provenance,bibliography,dimensions,museum,location,detail_url,image_url,image_urls,iiif_manifest_url,image_path,image_paths,image_count,credit_line,accession_number,source_updated_at,crawl_date
388077,2,Study for Vermicular Calligraphy I,Cui Fei 崔斐,,,,,,,,,2023,2023,2023,Rubbings,Ink rubbing on Xuan paper,Chinese,An asymmetrical rubbing of the inner bark of a dead tree occupies the center of a vertically oriented white page. The woodgrain texture is interrupted by meandering white lines created by boring insects.,"Artist Cui Fei, (2023-2025), sold; to the Harvard Art Museums, 2025.",,61 x 40.6 cm (24 x 16 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/388077,"https://nrs.harvard.edu/urn-3:HUAM:814596/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:814596/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:814592/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:814596/manifest,images\harvard\388077_1.jpg,images\harvard\388077_1.jpg | images\harvard\388077_2.jpg,2,"Harvard Art Museums/Arthur M. Sackler Museum, Purchase through the generosity of Christina Marcove",2025.228,2026-06-03T05:01:59-04:00,2026-06-03
388100,2,"Pine – The Universe in a Nutshell, from the Whispers of Trees series",Chu Chu 儲楚,Zhejiang,,,,,,,,2010-2017,2010,2017,Photographs,Hanging scroll; inkjet print and metallic pigment on Xuan paper,Chinese,"A square black and white photograph is mounted on a white hanging scroll with silver edging. In the photograph, two thick pine branches lie horizontally on a blank surface, casting shadows downward. Upon close inspection, Chinese writing is in silver ink is visible in the shadows.","Artist Chu Chu, (2017-2025), sold; [through Alisan Fine Arts, NY]; to the Harvard Art Museums, 2025.",,60 x 60 cm (23 5/8 x 23 5/8 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/388100,"https://nrs.harvard.edu/urn-3:HUAM:819168/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:819168/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:819169/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:819170/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:819168/manifest,images\harvard\388100_1.jpg,images\harvard\388100_1.jpg | images\harvard\388100_2.jpg | images\harvard\388100_3.jpg,3,"Harvard Art Museums/Arthur M. Sackler Museum, Purchase through the generosity of Christina Marcove",2025.225,2026-06-03T05:01:59-04:00,2026-06-03
388101,2,"Magnolia – The Universe in a Nutshell, from the Whispers of Trees series",Chu Chu 儲楚,Zhejiang,,,,,,,,2010-2017,2010,2017,Photographs,Hanging scroll; inkjet print and metallic pigment on Xuan paper,Chinese,"A square black and white photograph is mounted on a white hanging scroll with gold edging. In the photograph, two thin wisteria branches lie vertically on a blank surface, cropped at the bottom and casting shadows downwards. Upon close inspection, Chinese writing is in gold ink is visible in the shadows.","Artist Chu Chu, (2017-2025), sold; [through Alisan Fine Arts, NY]; to the Harvard Art Museums, 2025.",,60 x 60 cm (23 5/8 x 23 5/8 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/388101,"https://nrs.harvard.edu/urn-3:HUAM:819171/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:819171/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:819172/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:819173/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:819171/manifest,images\harvard\388101_1.jpg,images\harvard\388101_1.jpg | images\harvard\388101_2.jpg | images\harvard\388101_3.jpg,3,"Harvard Art Museums/Arthur M. Sackler Museum, Purchase through the generosity of Christina Marcove",2025.226,2026-06-03T05:01:59-04:00,2026-06-03
387208,2,"158,760 Pinpricks",Fu Xiaotong 付小桐,,,,,,,,,2023,2023,2023,Paintings,Handmade Xuan paper,Chinese,"On a horizontally oriented sheet of white paper with rough edges and a textured surface, geological forms appear in low relief. Fashioned from thousands of tiny holes rather than ink or color, the hills or cliff fill the page, bordered at the top by a sliver of blank sky and at the bottom by a narrow strip of beach and water.","Artist Fu Xiaotong, (2023-2025), sold; [through Alisan Fine Arts, NY]; to the Harvard Art Museums, 2025.",,100 x 80 cm (39 3/8 x 31 1/2 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/387208,"https://nrs.harvard.edu/urn-3:HUAM:814643/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:814643/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:814644/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:814645/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:814643/manifest,images\harvard\387208_1.jpg,images\harvard\387208_1.jpg | images\harvard\387208_2.jpg | images\harvard\387208_3.jpg,3,"Harvard Art Museums/Arthur M. Sackler Museum, Purchase through the generosity of Christina Marcove",2025.224,2026-06-03T05:01:57-04:00,2026-06-03
386350,2,Nighty Night I,Danyang Song 宋丹楊,,,,,,,,,2024,2024,2024,Sculpture,"Stoneware with white crackle glaze, white glow- -the-dark confetti glaze, and gold glaze",Chinese,"The spherical white vessel sits on a foot ring whose shape is echoed by the open vertical mouth at the top. One side has a large circular opening, from which emerge clusters of white pheres in varying sizes, as well as a few small gold spheres. The white spheres are covered in small holes, and two additional spheres are adhered to either side of the vessel, like knobs. The white glaze on the lower portion is matte and crackled, and the glaze on the upper portion is glossy and dotted with flecks of color.","Danyang Song, New York (created 2024), sold; through [LaiSun Keane, Boston, MA]; to Harvard Art Museums, 2025.",,H. 14 × W. 16.8 × D. 14 cm (5 1/2 × 6 5/8 × 5 1/2 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/386350,"https://nrs.harvard.edu/urn-3:HUAM:818031/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:818031/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:818032/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:818033/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:818034/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:818031/manifest,images\harvard\386350_1.jpg,images\harvard\386350_1.jpg | images\harvard\386350_2.jpg | images\harvard\386350_3.jpg | images\harvard\386350_4.jpg,4,"Harvard Art Museums/Arthur M. Sackler Museum, Purchase through the generosity of Christina Marcove",2025.6,2026-06-03T05:01:55-04:00,2026-06-03
386351,2,Nighty Night II,Danyang Song 宋丹楊,,,,,,,,,2024,2024,2024,Sculpture,"Stoneware with white crackle glaze, white glow- -the-dark confetti glaze, and gold glaze",Chinese,"The sculpture’s shape evokes a hunched animal or snowman, consisting of three balls of diminishing size that are tipped slightly forward. Large nodules on the head and base recall ears and tail, and circular openings in the head mimic eyes and mouth. The surface is entirely covered in a white glaze flecked with color.","Danyang Song, New York (created 2024), sold; through [LaiSun Keane, Boston, MA]; to Harvard Art Museums, 2025.",,H. 24.1 × W. 15.2 × W. 15.2 cm (9 1/2 × 6 × 6 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/386351,"https://nrs.harvard.edu/urn-3:HUAM:818029/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:818029/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:818028/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:818030/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:818035/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:818029/manifest,images\harvard\386351_1.jpg,images\harvard\386351_1.jpg | images\harvard\386351_2.jpg | images\harvard\386351_3.jpg | images\harvard\386351_4.jpg,4,"Harvard Art Museums/Arthur M. Sackler Museum, Purchase through the generosity of Christina Marcove",2025.7,2026-06-03T05:01:55-04:00,2026-06-03
386352,2,Untitled I,Danyang Song 宋丹楊,,,,,,,,,2021,2021,2021,Sculpture,Wood-fired stoneware,Chinese,"The tall neck-like vessel bulges slightly at the center, where it is split and has nodules in a variety of sizes spilling out from the fissure. The unglazed surface is a terracotta red that darkens at the upper edge.","Danyang Song, New York (created 2021), sold; through [LaiSun Keane, Boston, MA]; to Harvard Art Museums, 2025.",,H. 25.4 × Dia. 10.2 cm (10 × 4 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/386352,"https://nrs.harvard.edu/urn-3:HUAM:816615/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:816615/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:816610/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:816611/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:816612/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:816613/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:816614/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:816615/manifest,images\harvard\386352_1.jpg,images\harvard\386352_1.jpg | images\harvard\386352_2.jpg | images\harvard\386352_3.jpg | images\harvard\386352_4.jpg | images\harvard\386352_5.jpg | images\harvard\386352_6.jpg,6,"Harvard Art Museums/Arthur M. Sackler Museum, Purchase through the generosity of Christina Marcove",2025.8,2026-06-03T05:01:55-04:00,2026-06-03
383947,2,Four Cats,Chen Haiyan 陳海燕,Beijing,,,,,,,,1986,1986,1986,Prints,Woodblock print; ink on pi zhi bast paper,Chinese,The coarsely cut woodblock print in black ink is enclosed within vertically oriented rectangle. The print depicts four cats running around a staircase where two figures are hiking up. There is a cage on the lower right corner. Chinese characters occupy left border of the print.,"Chen Haiyan, Hangzhou (1986-2024), sold [through Ink Studio, Beijing, China]; to Harvard Art Museums, 2024.","Britta Erickson, Abby Chen, and Amjad Majid, Chen Haiyan: Carving the Unconscious (Seattle, 2016) pl. 1","image: H. 18.8 × W. 13 cm (7 3/8 × 5 1/8 in.)
paper: H. 33 × W. 23 cm (13 × 9 1/16 in.)",Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/383947,"https://nrs.harvard.edu/urn-3:HUAM:802323/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:802323/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:802323/manifest,images\harvard\383947_1.jpg,images\harvard\383947_1.jpg,1,"Harvard Art Museums/Arthur M. Sackler Museum, Johanna and Leslie Garfield Fund in Honor of Professor Roderick MacFarquhar",2024.100,2026-06-03T05:01:50-04:00,2026-06-03
383959,2,Ghost,Chen Haiyan 陳海燕,Beijing,,,,,,,,1986,1986,1986,Prints,Woodblock print; ink on pi zhi bast paper,Chinese,"The coarsely cut woodblock print in black ink is enclosed within vertically oriented rectangle. The print depicts a figure laying in bed and above his head, there are two monsters with a monkey face and worm-like body. Chinese characters occupy between the figure and the monsters.","Chen Haiyan, Hangzhou (1986-2024), sold [through Ink Studio, Beijing, China]; to Harvard Art Museums, 2024.","Britta Erickson, Abby Chen, and Amjad Majid, Chen Haiyan: Carving the Unconscious (Seattle, 2016) pl. 2","image: H. 18.8 × W. 13 cm (7 3/8 × 5 1/8 in.)
paper: H. 33 × W. 23 cm (13 × 9 1/16 in.)",Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/383959,"https://nrs.harvard.edu/urn-3:HUAM:802327/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:802327/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:802327/manifest,images\harvard\383959_1.jpg,images\harvard\383959_1.jpg,1,"Harvard Art Museums/Arthur M. Sackler Museum, Johanna and Leslie Garfield Fund in Honor of Professor Roderick MacFarquhar",2024.101,2026-06-03T05:01:50-04:00,2026-06-03
383960,2,A Cézanne Catalogue,Chen Haiyan 陳海燕,Beijing,,,,,,,,1986,1986,1986,Prints,Woodblock print; ink on pi zhi bast paper,Chinese,"The coarsely cut woodblock print in black ink is enclosed within vertically oriented rectangle. The print depicts a figure and two dogs. Below them, there is a wheelbarrow. A book is on top of it. Chinese characters occupy lower right half of the print.","Chen Haiyan, Hangzhou (1986-2024), sold [through Ink Studio, Beijing, China]; to Harvard Art Museums, 2024.","Britta Erickson, Abby Chen, and Amjad Majid, Chen Haiyan: Carving the Unconscious (Seattle, 2016) pl. 3","image: H. 19 × W. 13 cm (7 1/2 × 5 1/8 in.)
paper: H. 32 × W. 23 cm (12 5/8 × 9 1/16 in.)",Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/383960,"https://nrs.harvard.edu/urn-3:HUAM:802328/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:802328/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:802328/manifest,images\harvard\383960_1.jpg,images\harvard\383960_1.jpg,1,"Harvard Art Museums/Arthur M. Sackler Museum, Johanna and Leslie Garfield Fund in Honor of Professor Roderick MacFarquhar",2024.102,2026-06-03T05:01:50-04:00,2026-06-03
