object_id,museum_id,title,artist,artist_province,dynasty,artist_wikidata_id,artist_birth,artist_death,artist_bio,artist_wikipedia_summary,artist_enriched_at,period,period_start_year,period_end_year,type,material,culture,description,provenance,bibliography,dimensions,museum,location,detail_url,image_url,image_urls,iiif_manifest_url,image_path,image_paths,image_count,credit_line,accession_number,source_updated_at,crawl_date
34.539,3,Rug,,,,,,,,,,,,,Textiles,"Wool pile, cotton plain-weave ground","Chinese (Khotan, Chinese Turkestan)","Small rug: dark blue ground, small circles in two reds and white; border white; central medallion in two reds, two blues, white, and yellow on rose ground. Dec.: medallion surrounded by small circles; geometric borders. Weave: warp, cotton; weft, cotton; pile, wool, worn at ends.",Transferred from Asiatic Dept. to Textiles.,,72 x 122 cm (28 3/8 x 48 1/16 in.),"Museum of Fine Arts, Boston","Boston, MA, USA",https://collections.mfa.org/objects/17927/rug,https://collections.mfa.org/internal/media/dispatcher/1022742/preview,,,C:\Users\Administrator\Desktop\mfa\mfa\rug.jpg,,,Nellie Parney Carter Collection—Bequest of Nellie Parney Carter,34.539,,2026-05-28
11.6148,3,Daoist priest with a boy attendant,"Unidentified artist 佚名 (Chinese, active 16th century)",,Ming（明）,,,,,,,"Ming dynasty, 16th century",1501,1600,Paintings,Ink and color on silk 絹本設色,Chinese,"Ming dynasty, 16th century Paintings Ink and color on silk 絹本設色 Unidentified artist 佚名 (Chinese, active 16th century) Chinese By 1911, purchased by William Sturgis Bigelow (b. 1850 - d. 1926), Boston [see note 1]; 1911, gift of Bigelow to the MFA. (Accession Date: August 3, 1911)
NOTES:
[1]  Much of Bigelow's collection of Asian art was formed during his residence in Japan between 1882 and 1889, although he also made acquisitions in Europe and the United States.  Bigelow deposited many of these objects at the MFA in 1890 before donating them to the Museum's collection at later dates.","By 1911, purchased by William Sturgis Bigelow (b. 1850 - d. 1926), Boston [see note 1]; 1911, gift of Bigelow to the MFA. (Accession Date: August 3, 1911)
NOTES:
[1]  Much of Bigelow's collection of Asian art was formed during his residence in Japan between 1882 and 1889, although he also made acquisitions in Europe and the United States.  Bigelow deposited many of these objects at the MFA in 1890 before donating them to the Museum's collection at later dates.",,.990 x .479,"Museum of Fine Arts, Boston","Boston, MA, USA",https://collections.mfa.org/objects/252/daoist-priest-with-a-boy-attendant,https://collections.mfa.org/internal/media/dispatcher/977828/preview,,,C:\Users\Administrator\Desktop\mfa\mfa\daoist-priest-with-a-boy-attendant.jpg,,,William Sturgis Bigelow Collection,11.6148,,2026-05-28
11.4009,3,Birds and flowers in winter,"Unidentified artist 佚名 (Chinese, active late 17th century)",,Qing（清）,,,,,,,"Qing dynasty, late 17th century",1601,1700,Paintings,Ink and color on silk,Chinese,"Qing dynasty, late 17th century Paintings Ink and color on silk Unidentified artist 佚名 (Chinese, active late 17th century) Chinese 1911, Museum purchase. (Accession date: December 7, 1911)","1911, Museum purchase. (Accession date: December 7, 1911)",,"Overall: 137.2 x 84.6 cm (54 x 33 5/16 in.)
Other (Overall): 224 x 105 cm (88 3/16 x 41 5/16 in.)","Museum of Fine Arts, Boston","Boston, MA, USA",https://collections.mfa.org/objects/253/birds-and-flowers-in-winter,https://collections.mfa.org/internal/media/dispatcher/977827/preview,,,C:\Users\Administrator\Desktop\mfa\mfa\birds-and-flowers-in-winter.jpg,,,Fenollosa-Weld Collection,11.4009,,2026-05-28
56.257,3,Profusion of flowers,"Qian Weicheng (Chinese, 1720–1776)",,Qing（清）,,,,,,,"Qing dynasty, 18th century",1701,1800,Paintings,Ink and color on paper,Chinese,"Qing dynasty, 18th century Paintings Ink and color on paper Qian Weicheng (Chinese, 1720–1776) Chinese Purchased by MFA, April 12, 1956","Purchased by MFA, April 12, 1956",,"Image: 35.5 x 353.3 cm (14 x 139 1/8 in.)
Overall: 36.3 x 787.3 cm (14 5/16 x 309 15/16 in.)","Museum of Fine Arts, Boston","Boston, MA, USA",https://collections.mfa.org/objects/254/profusion-of-flowers,https://collections.mfa.org/internal/media/dispatcher/1090921/preview,,,C:\Users\Administrator\Desktop\mfa\mfa\profusion-of-flowers.jpg,,,Marshall H. Gould Fund,56.257,,2026-05-28
1975.314,3,Qing official attending imperial audience at dawn,"Li Shizhuo (Chinese, 1687–1770)",,Qing（清）,,,,,,,"Qing dynasty, dated 1745",1745,1745,Paintings,Ink and color on paper,Chinese,"Qing dynasty, dated 1745 Paintings Ink and color on paper Li Shizhuo (Chinese, 1687–1770) Chinese 1975, sold by Zeng Xianqi (b. 1919 - d. 2000), Peterborough, NH, to the MFA. (Accession Date: May 14, 1975)","1975, sold by Zeng Xianqi (b. 1919 - d. 2000), Peterborough, NH, to the MFA. (Accession Date: May 14, 1975)",,30.2 x 127.2 cm (11 7/8 x 50 1/16 in.),"Museum of Fine Arts, Boston","Boston, MA, USA",https://collections.mfa.org/objects/255/qing-official-attending-imperial-audience-at-dawn,https://collections.mfa.org/internal/media/dispatcher/1463369/preview,,,C:\Users\Administrator\Desktop\mfa\mfa\qing-official-attending-imperial-audience-at-dawn.jpg,,,Frederick L. Jack Fund,1975.314,,2026-05-28
11.6152,3,Farmers working at dawn,"Unidentified artist 佚名 (Chinese, active 16th–mid 16th century)",,Ming（明）,,,,,,,"Ming dynasty, mid 16th–16th century",1501,1600,Paintings,Ink and white and red on silk,Chinese,"Ming dynasty, mid 16th–16th century Paintings Ink and white and red on silk Unidentified artist 佚名 (Chinese, active 16th–mid 16th century) Chinese By 1911, purchased by William Sturgis Bigelow (b. 1850 - d. 1926), Boston [see note 1]; 1911, gift of Bigelow to the MFA. (Accession Date: August 3, 1911)
NOTES:
[1]  Much of Bigelow's collection of Asian art was formed during his residence in Japan between 1882 and 1889, although he also made acquisitions in Europe and the United States.  Bigelow deposited many of these objects at the MFA in 1890 before donating them to the Museum's collection at later dates.","By 1911, purchased by William Sturgis Bigelow (b. 1850 - d. 1926), Boston [see note 1]; 1911, gift of Bigelow to the MFA. (Accession Date: August 3, 1911)
NOTES:
[1]  Much of Bigelow's collection of Asian art was formed during his residence in Japan between 1882 and 1889, although he also made acquisitions in Europe and the United States.  Bigelow deposited many of these objects at the MFA in 1890 before donating them to the Museum's collection at later dates.",,"Overall (with hanging height and end-knobs' width): 115.4 × 67.8 cm (45 7/16 × 26 11/16 in.)
Image: 30 × 48.8 cm (11 13/16 × 19 3/16 in.)
Mount: 113.4 × 62.3 cm (44 5/8 × 24 1/2 in.)","Museum of Fine Arts, Boston","Boston, MA, USA",https://collections.mfa.org/objects/256/farmers-working-at-dawn,https://collections.mfa.org/internal/media/dispatcher/746329/preview,,,C:\Users\Administrator\Desktop\mfa\mfa\farmers-working-at-dawn.jpg,,,William Sturgis Bigelow Collection,11.6152,,2026-05-28
11.4005,3,Landscape with temple complex,"Unidentified artist 佚名 (Chinese, active 15th century)",,Ming（明）,,,,,,,"Ming dynasty, 15th century",1401,1500,Paintings,Ink on silk,Chinese,"Ming dynasty, 15th century Paintings Ink on silk Unidentified artist 佚名 (Chinese, active 15th century) Chinese",,,"Overall (with hanging height and end-knobs' width): 115.5 × 40.6 cm (45 1/2 × 16 in.)
Image: 29.3 × 20.5 cm (11 9/16 × 8 1/16 in.)
Mount: 113.5 × 36.2 cm (44 11/16 × 14 1/4 in.)","Museum of Fine Arts, Boston","Boston, MA, USA",https://collections.mfa.org/objects/257/landscape-with-temple-complex,https://collections.mfa.org/internal/media/dispatcher/977826/preview,,,C:\Users\Administrator\Desktop\mfa\mfa\landscape-with-temple-complex.jpg,,,Fenollosa-Weld Collection,11.4005,,2026-05-29
15.888,3,Lotus flowers and leaves,"Unidentified artist 佚名 (Chinese, active 16th century)",,Ming（明）,,,,,,,"Ming dynasty, 16th century",1501,1600,Paintings,Ink and color on silk,Chinese,"Ming dynasty, 16th century Paintings Ink and color on silk Unidentified artist 佚名 (Chinese, active 16th century) Chinese Bought in China",Bought in China,,"Overall: 93.3 x 50.5cm (36 3/4 x 19 7/8in.)
Other (Overall): 196 x 70.7cm (77 3/16 x 27 13/16in.)","Museum of Fine Arts, Boston","Boston, MA, USA",https://collections.mfa.org/objects/258/lotus-flowers-and-leaves,https://collections.mfa.org/internal/media/dispatcher/1450256/preview,,,C:\Users\Administrator\Desktop\mfa\mfa\lotus-flowers-and-leaves.jpg,,,Chinese and Japanese Special Fund,15.888,,2026-05-28
15.897,3,"Birds and flowers, pheasants, peonies",,,Ming（明）,,,,,,,"Ming dynasty, Late 15th century",1401,1500,Paintings,Ink and color on silk,Chinese,"Ming dynasty, Late 15th century Paintings Ink and color on silk Chinese 1915, purchased in China by the MFA. (Accession Date: June 3, 1915)","1915, purchased in China by the MFA. (Accession Date: June 3, 1915)",,"Image: 176.4 x 104.3 cm (69 7/16 x 41 1/16 in.)
Overall: 265 x 136 cm (104 5/16 x 53 9/16 in.)","Museum of Fine Arts, Boston","Boston, MA, USA",https://collections.mfa.org/objects/310/birds-and-flowers-pheasants-peonies,https://collections.mfa.org/internal/media/dispatcher/920628/preview,,,C:\Users\Administrator\Desktop\mfa\mfa\birds-and-flowers-pheasants-peonies.jpg,,,Chinese and Japanese Special Fund,15.897,,2026-05-28
17.197,3,An autumn retreat,"Wu Dan (Chinese, 1662–1721)",,Qing（清）,,,,,,,"Qing dynasty, 18th century",1701,1800,Paintings,Ink on silk,Chinese,"Qing dynasty, 18th century Paintings Ink on silk Wu Dan (Chinese, 1662–1721) Chinese",,,140 x 54.9 cm (55 1/8 x 21 5/8 in.),"Museum of Fine Arts, Boston","Boston, MA, USA",https://collections.mfa.org/objects/311/an-autumn-retreat,https://collections.mfa.org/internal/media/dispatcher/750990/preview,,,C:\Users\Administrator\Desktop\mfa\mfa\an-autumn-retreat.jpg,,,Bequest of Mrs. Lydia S. Hays,17.197,,2026-05-28
