object_id,museum_id,title,artist,artist_province,dynasty,artist_wikidata_id,artist_birth,artist_death,artist_bio,artist_wikipedia_summary,artist_enriched_at,period,period_start_year,period_end_year,type,material,culture,description,provenance,bibliography,dimensions,museum,location,detail_url,image_url,image_urls,iiif_manifest_url,image_path,image_paths,image_count,credit_line,accession_number,crawl_date
08.427,3,Mirror,,,Western Han（西汉）,,,,,,,"Han dynasty, 202–68 B.C.",-202,-68,Metalwork,Bronze,Chinese,"Han dynasty, 202–68 B.C. Metalwork Bronze Chinese",,,"Diameter 20 cm (7 7/8 in.), Weight 1217 gm (2.68 lb.)","Museum of Fine Arts, Boston","Boston, MA, USA",https://collections.mfa.org/objects/8850/mirror,https://collections.mfa.org/internal/media/dispatcher/578666/preview,,,images\mfa\08.427.jpg,,0,Museum purchase with funds donated by contribution,08.427,2026-05-31
09.396,3,Rug,,,Qing（清）,,,,,,,"Qing dynasty, Kanghsi period, 1662–1722",1662,1722,Textiles,Wool cut pile on plain weave cotton ground,Chinese,Rectangular wool cut pile rug with design of central medallion of peonies and scrolling leaves in blues on a pale yellow main field and peony and leaf motifs in each of the four corners; surrounding the main field is a narrow border with swastika fret pattern and a wider outer border with repeating peony motifs.,"Purchased by the donor of D.G. Kalekian, for $150; gift of Denman Waldo Ross to the MFA in 1909",,193 x 365 cm (76 x 143 11/16 in.),"Museum of Fine Arts, Boston","Boston, MA, USA",https://collections.mfa.org/objects/9007/rug,https://collections.mfa.org/internal/media/dispatcher/1022727/preview,,,images\mfa\09.396.jpg,,0,Denman Waldo Ross Collection,09.396,2026-05-31
09.603,3,End of a pillow,,,Qing（清）,,,,,,,"Qing dynasty, 1870 to 1890",1870,1870,Textiles,Silk satin embroidered with silk,Chinese,"Pillow end of bright red satin with design of ""hundred children"" and flowers embroidered in polychrome silk and couched gold-wrapped thread; mounted with bright, light green silk; probably a dowry piece.","Gift from Louis H. Farlow to the MFA, December 29, 1909",,17.2 x 19.2 cm (6 3/4 x 7 9/16 in.),"Museum of Fine Arts, Boston","Boston, MA, USA",https://collections.mfa.org/objects/9023/end-of-a-pillow,https://collections.mfa.org/internal/media/dispatcher/1016124/preview,,,images\mfa\09.603.jpg,,0,Gift of Louis H. Farlow,09.603,2026-05-31
09.604,3,Silk panel,,,Qing（清）,,,,,,,"Qing dynasty, late 19th century",1801,1900,Textiles,Silk embroidered with floss silk and gold wrapped threads,Chinese,"Panel of black silk with design of vases of flowers, stands, etc. (Hundred Antiques)  embroidered with blue, yellow, brown, green and white silk; trimmed with bands of black satin embroidered with a dense design of flowers in blue and bands of salmon pink brocade.","Gift from Louis H. Farlow to the MFA, December 29, 1909",,Height x width: 47.5 x 36 cm (18 11/16 x 14 3/16 in.),"Museum of Fine Arts, Boston","Boston, MA, USA",https://collections.mfa.org/objects/9024/silk-panel,https://collections.mfa.org/internal/media/dispatcher/1029260/preview,,,images\mfa\09.604.jpg,,0,Gift of Louis H. Farlow,09.604,2026-05-31
09.605,3,Court insignia badge (buzi) for fourth-rank civil official,,,Qing（清）,,,,,,,"Qing dynasty, about 1900",1900,1900,Textiles,Silk satin embroidered with couched gold and silver wrapped threads,Chinese,"Court insignia badge (buzi) of dark blue satin with design of wild goose (fourth-rank civil official) rising from the waves, clouds, endless knot and other auspicious symbols surrounded by border with alternating Chinese character and bat motifs embroidered with couched gold and silver thread; lined with gray-blue silk.","Gift from Louis H. Farlow to the MFA, December 29, 1909",,Height x width: 11 13/16 x 12 5/16 in. (30 x 31.3 cm),"Museum of Fine Arts, Boston","Boston, MA, USA",https://collections.mfa.org/objects/9025/court-insignia-badge-buzi-for-fourthrank-civil-official,https://collections.mfa.org/internal/media/dispatcher/1029261/preview,,,images\mfa\09.605.jpg,,0,Gift of Louis H. Farlow,09.605,2026-05-31
09.607,3,Pair of sleeve facings,,,Qing（清）,,,,,,,"Qing dynasty, 1870 to 1879",1870,1870,Textiles,Wool plain-weave flannel embroidered with silk and couched with gold-wrapped thread and peacock feathers,Chinese,"Pair of sleeve facings with design of dragons, fish, gates, waves, clouds and flowers embroidered in blue, green, white, red, and black silk and couched with gold-wrapped thread and peacock's feathers on a bright yellow wool flannel ground.","Gift from Louis H. Farlow to the MFA, December 29, 1909",,44.5 x 18 cm (17 1/2 x 7 1/16 in.),"Museum of Fine Arts, Boston","Boston, MA, USA",https://collections.mfa.org/objects/9026/pair-of-sleeve-facings,https://collections.mfa.org/internal/media/dispatcher/844262/preview,,,images\mfa\09.607.jpg,,0,Gift of Louis H. Farlow,09.607,2026-05-31
09.608,3,Pair of sleeve facings,,,Qing（清）,,,,,,,"Qing dynasty, 1860 to 1879",1860,1860,Textiles,Silk satin embroidered with silk and peacock feathers,Chinese,"Pair of sleeve facings with design of phoenix, daisies, flowers, bats and meandering hook motif embroidered in blue, pink, yellow, green, black, and white silk and couched with peacock feathers on a blue silk satin ground. The raised bodies of the birds are of paper.","Gift from Louis H. Farlow to the MFA, December 29, 1909",,Overall: 54 x 14.5 cm (21 1/4 x 5 11/16 in.),"Museum of Fine Arts, Boston","Boston, MA, USA",https://collections.mfa.org/objects/9027/pair-of-sleeve-facings,https://collections.mfa.org/internal/media/dispatcher/844263/preview,,,images\mfa\09.608.jpg,,0,Gift of Louis H. Farlow,09.608,2026-05-31
10.15,3,Roof tile end with four characters,,,Western Han（西汉）,,,,,,,"Western Han dynasty, 2nd–1st century B.C.",-100,-1,Tiles,Ceramic,Chinese,"Western Han dynasty, 2nd–1st century B.C. Tiles Ceramic Chinese",,,Diameter: 19.6 mm (3/4 in.),"Museum of Fine Arts, Boston","Boston, MA, USA",https://collections.mfa.org/objects/9037/roof-tile-end-with-four-characters,https://collections.mfa.org/internal/media/dispatcher/579015/preview,,,images\mfa\10.15.jpg,,0,Museum purchase with funds donated by contribution,10.15,2026-05-31
10.43,3,Pair of sleeve facings,,,Qing（清）,,,,,,,"Qing dynasty, mid to late 19th century",1801,1900,Textiles,Silk satin-weave embroidered with silk and gold-wrapped thread,Chinese,"Pair of sleeve facings in white silk satin with design of roundels horse, tree, stream and bat roundels outside of which are pomegranites, grapes, lichi, and Buddha's Hand embroidered in green, yellow, orange, blue, red, pink and white silk and gold thread.","Gift of Louis H. Farlow to the MFA on March 3, 1910",,54 x 18 cm (21 1/4 x 7 1/16 in.),"Museum of Fine Arts, Boston","Boston, MA, USA",https://collections.mfa.org/objects/9043/pair-of-sleeve-facings,https://collections.mfa.org/internal/media/dispatcher/844264/preview,,,images\mfa\10.43.jpg,,0,Gift of Louis H. Farlow,10.43,2026-05-31
10.44,3,Sleeve facing (one of a pair),,,Qing（清）,,,,,,,"Qing dynasty, mid-19th century",1801,1900,Textiles,Silk gauze-weave embroidered with silk,Chinese,"Pair of sleeve facings in white silk gauze with design of landscape with cranes embroidered in blue, pink, yellow, green, brown and black silk.","Gift of Louis H. Farlow to the MFA on March 3, 1910",,Height x width: 24 7/16 x 3 3/4 in. (62 x 9.5 cm),"Museum of Fine Arts, Boston","Boston, MA, USA",https://collections.mfa.org/objects/9044/sleeve-facing-one-of-a-pair,https://collections.mfa.org/internal/media/dispatcher/844265/preview,,,images\mfa\10.44.jpg,,0,Gift of Louis H. Farlow,10.44,2026-05-31
