object_id,museum_id,title,artist,artist_province,dynasty,artist_wikidata_id,artist_birth,artist_death,artist_bio,artist_wikipedia_summary,artist_enriched_at,period,period_start_year,period_end_year,type,material,culture,description,provenance,bibliography,dimensions,museum,location,detail_url,image_url,image_urls,iiif_manifest_url,image_path,image_paths,image_count,credit_line,accession_number,crawl_date
204498,2,Jade Implement,,,Neolithic（新石器时代）,,,,,,,Neolithic period,,,Ritual Implements,Green stone,Chinese,Neolithic period Ritual Implements Green stone Chinese,,,L. 8 x W. 3.4 cm (3 1/8 x 1 5/16 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/204498,"https://nrs.harvard.edu/urn-3:HUAM:CARP09817_dynmc/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:CARP09817_dynmc/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:VRS49316_dynmc/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:CARP09817/manifest,C:\Users\Administrator\Desktop\harvard\harvard\204498_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\204498_1.jpg | C:\Users\Administrator\Desktop\harvard\harvard\204498_2.jpg,2,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of Grenville L. Winthrop",1943.50.434,2026-05-18
4642,2,"Four Kneeling, Female Court Musicians (One with a 'Pipa', or Lute, and One with Cymbals), Each of the Four with a High-Waisted, Striped Dress or Skirt and with Long Hair Arranged in Two Buns",,,Tang（唐）,,,,,,,"Tang dynasty, 618-907",618,907,Sculpture,"Molded, white earthenware with traces of cold-painted pigments",Chinese,"Tang dynasty, 618-907 Sculpture Molded, white earthenware with traces of cold-painted pigments Chinese",,"Zoe Kwok, The Eternal Feast: Banqueting in Chinese Art from the 10th to the 14th Century, exh. cat., Princeton University Art Museum (New Haven, 2019) pp. 174-177, cat. 43",each (approx.): H. 18 × W. 12 × D. 11.5 cm (7 1/16 × 4 3/4 × 4 1/2 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/4642,"https://nrs.harvard.edu/urn-3:HUAM:770036/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:770036/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:770035/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:770037/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:770038/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:VRS95534_dynmc/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:770036/manifest,C:\Users\Administrator\Desktop\harvard\harvard\4642_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\4642_1.jpg | C:\Users\Administrator\Desktop\harvard\harvard\4642_2.jpg | C:\Users\Administrator\Desktop\harvard\harvard\4642_3.jpg | C:\Users\Administrator\Desktop\harvard\harvard\4642_4.jpg | C:\Users\Administrator\Desktop\harvard\harvard\4642_5.jpg,5,"Harvard Art Museums/Arthur M. Sackler Museum, Gift of Anthony M. Solomon",2003.204,2026-05-18
5277,2,"""Eye"" Bead with Aqua and White Swirls",,,Zhou（周）,,,,,,,"Zhou dynasty, Warring States period, 475-221 BCE",-475,-221,Jewelry,Black-surfaced earthenware with inlays of aqua and white glass,Chinese,"Zhou dynasty, Warring States period, 475-221 BCE Jewelry Black-surfaced earthenware with inlays of aqua and white glass Chinese Hong Kong, 1990. [J.J. Lally & Co., New York, 1993], sold; to Ralph C. Marcove, New York (1993-2001), transfer; to Trust u/w/o Ralph C. Marcove FBO C Marcove, New York (2001-2016), sold; to Harvard Art Museums, 2016. 
Footnote:
Ralph C. Marcove, MD (1929-2001)","Hong Kong, 1990. [J.J. Lally & Co., New York, 1993], sold; to Ralph C. Marcove, New York (1993-2001), transfer; to Trust u/w/o Ralph C. Marcove FBO C Marcove, New York (2001-2016), sold; to Harvard Art Museums, 2016. 
Footnote:
Ralph C. Marcove, MD (1929-2001)",,Each approx: H. 1 x Diam. 1.5 cm (3/8 x 9/16 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/5277,"https://nrs.harvard.edu/urn-3:HUAM:766354/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:766354/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:766353/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:766354/manifest,C:\Users\Administrator\Desktop\harvard\harvard\5277_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\5277_1.jpg | C:\Users\Administrator\Desktop\harvard\harvard\5277_2.jpg,2,"Harvard Art Museums/Arthur M. Sackler Museum, Anthony M. Solomon Fund for the Acquisition of Asian Art",2016.227.1,2026-05-18
48795,2,"Album Leaf of Flowers, Insects and Fish",,,Qing（清）,,,,,,,"Qing dynasty, 1644-1911",1644,1911,Paintings,Album leaf; ink and color on paper,Chinese,"Qing dynasty, 1644-1911 Paintings Album leaf; ink and color on paper Chinese Hong Kong/London Aug./76",Hong Kong/London Aug./76,,,Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/48795,"https://nrs.harvard.edu/urn-3:HUAM:INV004230_dynmc/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:INV004230_dynmc/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:INV004230/manifest,C:\Users\Administrator\Desktop\harvard\harvard\48795_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\48795_1.jpg,1,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of the Hofer Collection of the Arts of Asia",1985.937.4,2026-05-19
48796,2,"Album Leaf of Flowers, Insects and Fish",,,Qing（清）,,,,,,,"Qing dynasty, 1644-1911",1644,1911,Paintings,Album leaf; ink and color on paper,Chinese,"Qing dynasty, 1644-1911 Paintings Album leaf; ink and color on paper Chinese Hong Kong/London Aug./76",Hong Kong/London Aug./76,,,Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/48796,"https://nrs.harvard.edu/urn-3:HUAM:INV004242_dynmc/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:INV004242_dynmc/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:INV004242/manifest,C:\Users\Administrator\Desktop\harvard\harvard\48796_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\48796_1.jpg,1,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of the Hofer Collection of the Arts of Asia",1985.937.7,2026-05-19
48797,2,"Album Leaf of Flowers, Insects and Fish",,,Qing（清）,,,,,,,"Qing dynasty, 1644-1911",1644,1911,Paintings,Album leaf; ink and color on paper,Chinese,"Qing dynasty, 1644-1911 Paintings Album leaf; ink and color on paper Chinese Hong Kong/London Aug./76",Hong Kong/London Aug./76,,,Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/48797,"https://nrs.harvard.edu/urn-3:HUAM:INV004245_dynmc/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:INV004245_dynmc/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:INV004245/manifest,C:\Users\Administrator\Desktop\harvard\harvard\48797_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\48797_1.jpg,1,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of the Hofer Collection of the Arts of Asia",1985.937.10,2026-05-19
48828,2,Album Leaf of Flowers and Insects,,,Qing（清）,,,,,,,"Qing dynasty, 1644-1911",1644,1911,Paintings,Album leaf; ink and color on paper,Chinese,"Qing dynasty, 1644-1911 Paintings Album leaf; ink and color on paper Chinese Hong Kong/London April/76",Hong Kong/London April/76,,H. 29.2 × W. 38.7 cm (11 1/2 × 15 1/4 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/48828,"https://nrs.harvard.edu/urn-3:HUAM:771101/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:771101/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:INV004142_dynmc/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:771101/manifest,C:\Users\Administrator\Desktop\harvard\harvard\48828_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\48828_1.jpg | C:\Users\Administrator\Desktop\harvard\harvard\48828_2.jpg,2,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of the Hofer Collection of the Arts of Asia",1985.904.18,2026-05-19
48829,2,Album Leaf of Flowers and Insects,,,Qing（清）,,,,,,,"Qing dynasty, 1644-1911",1644,1911,Paintings,Album leaf; ink and color on paper,Chinese,"Qing dynasty, 1644-1911 Paintings Album leaf; ink and color on paper Chinese Hong Kong/London April/76",Hong Kong/London April/76,,H. 29.2 × W. 38.7 cm (11 1/2 × 15 1/4 in.),Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/48829,"https://nrs.harvard.edu/urn-3:HUAM:771102/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:771102/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:INV004143_dynmc/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:771102/manifest,C:\Users\Administrator\Desktop\harvard\harvard\48829_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\48829_1.jpg | C:\Users\Administrator\Desktop\harvard\harvard\48829_2.jpg,2,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of the Hofer Collection of the Arts of Asia",1985.904.19,2026-05-19
48830,2,One of Eight Views of Jiangnan,,,Qing（清）,,,,,,,"Qing dynasty, 1644-1911",1644,1911,Paintings,Album leaf; ink and color on paper,Chinese,"Qing dynasty, 1644-1911 Paintings Album leaf; ink and color on paper Chinese Hong Kong/London April/76",Hong Kong/London April/76,,,Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/48830,"https://nrs.harvard.edu/urn-3:HUAM:INV004197_dynmc/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:INV004197_dynmc/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:INV004197/manifest,C:\Users\Administrator\Desktop\harvard\harvard\48830_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\48830_1.jpg,1,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of the Hofer Collection of the Arts of Asia",1985.915.3,2026-05-19
48831,2,One of Eight Views of Jiangnan,,,Qing（清）,,,,,,,"Qing dynasty, 1644-1911",1644,1911,Paintings,Album leaf; ink and color on paper,Chinese,"Qing dynasty, 1644-1911 Paintings Album leaf; ink and color on paper Chinese Hong Kong/London April/76",Hong Kong/London April/76,,,Harvard Art Museums,"Cambridge, MA, USA",https://www.harvardartmuseums.org/collections/object/48831,"https://nrs.harvard.edu/urn-3:HUAM:INV004212_dynmc/full/!800,800/0/default.jpg","https://nrs.harvard.edu/urn-3:HUAM:INV004212_dynmc/full/!800,800/0/default.jpg",https://nrs.harvard.edu/urn-3:HUAM:INV004212/manifest,C:\Users\Administrator\Desktop\harvard\harvard\48831_1.jpg,C:\Users\Administrator\Desktop\harvard\harvard\48831_1.jpg,1,"Harvard Art Museums/Arthur M. Sackler Museum, Bequest of the Hofer Collection of the Arts of Asia",1985.915.8,2026-05-19
