canonical_id,alias,norm_alias,match_method,confidence
entity:artifacttype:albums-bound-books-albums,Albums (bound) & books; Albums,albums bound & books albums,norm_label,1.0
entity:artifacttype:altar-and-altar-component-coverings-and-hangings-embroidery-visual-works,Altar and altar component coverings and hangings; Embroidery (visual works),altar and altar component coverings and hangings embroidery visual works,norm_label,1.0
entity:artifacttype:altar-frontal-embroidery-visual-works,Altar frontal; Embroidery (visual works),altar frontal embroidery visual works,norm_label,1.0
entity:artifacttype:animals-drawings,Animals; Drawings,animals drawings,norm_label,1.0
entity:artifacttype:animals-prints,Animals; Prints,animals prints,norm_label,1.0
entity:artifacttype:architectural-elements,Architectural elements,architectural elements,norm_label,1.0
entity:artifacttype:archival-material,Archival Material,archival material,norm_label,1.0
entity:artifacttype:artists-tools,Artists' Tools,artists tools,norm_label,1.0
entity:artifacttype:banners,Banners,banners,norm_label,1.0
entity:artifacttype:basins,Basins,basins,norm_label,1.0
entity:artifacttype:baskets-containers,Baskets (containers),baskets containers,norm_label,1.0
entity:artifacttype:bed-coverings-embroidery-visual-works,Bed coverings; Embroidery (visual works),bed coverings embroidery visual works,norm_label,1.0
entity:artifacttype:belt-with-buckle-textiles,Belt with buckle; Textiles,belt with buckle textiles,norm_label,1.0
entity:artifacttype:birdcages-containers-containers-decorative-arts,Birdcages (containers); Containers; Decorative arts,birdcages containers containers decorative arts,norm_label,1.0
entity:artifacttype:books,Books,books,norm_label,1.0
entity:artifacttype:bowl-hot-water,"Bowl, Hot Water",bowl hot water,norm_label,1.0
entity:artifacttype:bowl-slop,"Bowl, Slop",bowl slop,norm_label,1.0
entity:artifacttype:bowl-tea,"bowl, tea",bowl tea,norm_label,1.0
entity:artifacttype:bowl-tea-saucers-plates,"bowl, tea; Saucers (plates)",bowl tea saucers plates,norm_label,1.0
entity:artifacttype:bowls-vessels,Bowls (vessels),bowls vessels,norm_label,1.0
entity:artifacttype:box-tea,"Box, Tea",box tea,norm_label,1.0
entity:artifacttype:boxes,Boxes,boxes,norm_label,1.0
entity:artifacttype:cabinets-case-furniture-furniture-decorative-arts,Cabinets (case furniture); Furniture; Decorative arts,cabinets case furniture furniture decorative arts,norm_label,1.0
entity:artifacttype:calligraphy,Calligraphy,calligraphy,norm_label,1.0
entity:artifacttype:calligraphy-visual-works,Calligraphy (visual works),calligraphy visual works,norm_label,1.0
entity:artifacttype:card-case-and-cover-containers-decorative-arts,Card case and cover; Containers; Decorative arts,card case and cover containers decorative arts,norm_label,1.0
entity:artifacttype:cartoon,Cartoon,cartoon,norm_label,1.0
entity:artifacttype:center-table-furniture-decorative-arts,Center table; Furniture; Decorative arts,center table furniture decorative arts,norm_label,1.0
entity:artifacttype:ceramics,Ceramics,ceramics,norm_label,1.0
entity:artifacttype:ceramics-objects-basins-decorative-arts,Ceramics (objects); Basins; Decorative arts,ceramics objects basins decorative arts,norm_label,1.0
entity:artifacttype:ceramics-objects-beakers-vessels-decorative-arts,Ceramics (objects); Beakers (vessels); Decorative arts,ceramics objects beakers vessels decorative arts,norm_label,1.0
entity:artifacttype:ceramics-objects-bowls-vessels-decorative-arts,Ceramics (objects); Bowls (vessels); Decorative arts,ceramics objects bowls vessels decorative arts,norm_label,1.0
entity:artifacttype:ceramics-objects-bulb-pot-decorative-arts,Ceramics (objects); Bulb pot; Decorative arts,ceramics objects bulb pot decorative arts,norm_label,1.0
entity:artifacttype:ceramics-objects-cup-and-lid-decorative-arts,Ceramics (objects); Cup and lid; Decorative arts,ceramics objects cup and lid decorative arts,norm_label,1.0
entity:artifacttype:ceramics-objects-cup-and-saucer-decorative-arts,Ceramics (objects); Cup and saucer; Decorative arts,ceramics objects cup and saucer decorative arts,norm_label,1.0
entity:artifacttype:ceramics-objects-cups-decorative-arts,Ceramics (objects); Cups; Decorative arts,ceramics objects cups decorative arts,norm_label,1.0
entity:artifacttype:ceramics-objects-decorative-arts-coffeepots,Ceramics (objects); Decorative arts; Coffeepots,ceramics objects decorative arts coffeepots,norm_label,1.0
entity:artifacttype:ceramics-objects-decorative-arts-covers,Ceramics (objects); Decorative arts; covers,ceramics objects decorative arts covers,norm_label,1.0
entity:artifacttype:ceramics-objects-decorative-arts-pair-of-bowls,Ceramics (objects); Decorative arts; Pair of bowls,ceramics objects decorative arts pair of bowls,norm_label,1.0
entity:artifacttype:ceramics-objects-decorative-arts-plate,Ceramics (objects); Decorative arts; Plate,ceramics objects decorative arts plate,norm_label,1.0
entity:artifacttype:ceramics-objects-decorative-arts-platters,Ceramics (objects); Decorative arts; Platters,ceramics objects decorative arts platters,norm_label,1.0
entity:artifacttype:ceramics-objects-decorative-arts-tureens,Ceramics (objects); Decorative arts; Tureens,ceramics objects decorative arts tureens,norm_label,1.0
entity:artifacttype:ceramics-objects-decorative-arts-vases,Ceramics (objects); Decorative arts; Vases,ceramics objects decorative arts vases,norm_label,1.0
entity:artifacttype:ceramics-objects-decorative-arts-verri-re,Ceramics (objects); Decorative arts; VerriÃ¨re,ceramics objects decorative arts verriã¨re,norm_label,1.0
entity:artifacttype:ceramics-objects-decorative-arts-wig-stand,Ceramics (objects); Decorative arts; Wig stand,ceramics objects decorative arts wig stand,norm_label,1.0
entity:artifacttype:ceramics-objects-dishes-vessels-decorative-arts,Ceramics (objects); Dishes (vessels); Decorative arts,ceramics objects dishes vessels decorative arts,norm_label,1.0
entity:artifacttype:ceramics-objects-ewers-decorative-arts,Ceramics (objects); Ewers; Decorative arts,ceramics objects ewers decorative arts,norm_label,1.0
entity:artifacttype:ceramics-objects-figures-representations-decorative-arts,Ceramics (objects); Figures (representations); Decorative arts,ceramics objects figures representations decorative arts,norm_label,1.0
entity:artifacttype:ceramics-objects-figurines-decorative-arts,Ceramics (objects); Figurines; Decorative arts,ceramics objects figurines decorative arts,norm_label,1.0
entity:artifacttype:ceramics-objects-jar-and-lid-decorative-arts,Ceramics (objects); Jar and lid; Decorative arts,ceramics objects jar and lid decorative arts,norm_label,1.0
entity:artifacttype:ceramics-objects-jars-decorative-arts,Ceramics (objects); Jars; Decorative arts,ceramics objects jars decorative arts,norm_label,1.0
entity:artifacttype:ceramics-objects-mugs-decorative-arts,Ceramics (objects); Mugs; Decorative arts,ceramics objects mugs decorative arts,norm_label,1.0
entity:artifacttype:ceramics-objects-pair-of-wig-stands-decorative-arts,Ceramics (objects); Pair of wig stands; Decorative arts,ceramics objects pair of wig stands decorative arts,norm_label,1.0
entity:artifacttype:ceramics-objects-plate-decorative-arts,Ceramics (objects); plate; Decorative arts,ceramics objects plate decorative arts,norm_label,1.0
entity:artifacttype:ceramics-objects-soup-tureen-with-stand-decorative-arts,Ceramics (objects); soup tureen with stand; Decorative arts,ceramics objects soup tureen with stand decorative arts,norm_label,1.0
entity:artifacttype:ceramics-objects-tea-caddy-and-cover-decorative-arts,Ceramics (objects); Tea caddy and cover; Decorative arts,ceramics objects tea caddy and cover decorative arts,norm_label,1.0
entity:artifacttype:ceramics-porcelain,Ceramics – Porcelain,ceramics – porcelain,norm_label,1.0
entity:artifacttype:ceramics-pottery-earthenware,Ceramics – Pottery – Earthenware,ceramics – pottery – earthenware,norm_label,1.0
entity:artifacttype:ceramics-pottery-stoneware,Ceramics – Pottery – Stoneware,ceramics – pottery – stoneware,norm_label,1.0
entity:artifacttype:ceremonial-objects,Ceremonial objects,ceremonial objects,norm_label,1.0
entity:artifacttype:chest-tea,"Chest, Tea",chest tea,norm_label,1.0
entity:artifacttype:childs-bib-textiles,Child's bib; Textiles,childs bib textiles,norm_label,1.0
entity:artifacttype:chopsticks-set,"Chopsticks, set",chopsticks set,norm_label,1.0
entity:artifacttype:coins,Coins,coins,norm_label,1.0
entity:artifacttype:coins-money,Coins (money),coins money,norm_label,1.0
entity:artifacttype:compote,Compote,compote,norm_label,1.0
entity:artifacttype:containers,Containers,containers,norm_label,1.0
entity:artifacttype:containers-box-and-stand-decorative-arts,Containers; Box and stand; Decorative arts,containers box and stand decorative arts,norm_label,1.0
entity:artifacttype:containers-decorative-arts-covered-box-on-stand,Containers; Decorative arts; Covered Box on Stand,containers decorative arts covered box on stand,norm_label,1.0
entity:artifacttype:containers-decorative-arts-snuff-bottles,Containers; Decorative arts; Snuff bottles,containers decorative arts snuff bottles,norm_label,1.0
entity:artifacttype:costume-accessories-button-costume-decorative-arts,Costume accessories; Button; Costume; Decorative arts,costume accessories button costume decorative arts,norm_label,1.0
entity:artifacttype:costume-accessories-costume-bag-one-side,Costume accessories; Costume; Bag (one side),costume accessories costume bag one side,norm_label,1.0
entity:artifacttype:costume-accessories-costume-bris-fan,Costume accessories; Costume; BrisÃ© fan,costume accessories costume brisã© fan,norm_label,1.0
entity:artifacttype:costume-accessories-costume-cases-containers,Costume accessories; Costume; Cases (containers),costume accessories costume cases containers,norm_label,1.0
entity:artifacttype:costume-accessories-costume-coats-garments,Costume accessories; Costume; Coats (garments),costume accessories costume coats garments,norm_label,1.0
entity:artifacttype:costume-accessories-costume-fan-case-and-bag,Costume accessories; Costume; Fan case and bag,costume accessories costume fan case and bag,norm_label,1.0
entity:artifacttype:costume-accessories-costume-fans-costume-accessories-cases-containers,Costume accessories; Costume; Fans (costume accessories); Cases (containers),costume accessories costume fans costume accessories cases containers,norm_label,1.0
entity:artifacttype:costume-accessories-costume-nurses-jacket-and-pants,Costume accessories; Costume; Nurse's jacket and pants,costume accessories costume nurses jacket and pants,norm_label,1.0
entity:artifacttype:costume-accessories-costume-panel-for-a-fan-case,Costume accessories; Costume; Panel for a fan case,costume accessories costume panel for a fan case,norm_label,1.0
entity:artifacttype:costume-accessories-costume-pleated-fan,Costume accessories; Costume; Pleated fan,costume accessories costume pleated fan,norm_label,1.0
entity:artifacttype:costume-accessories-costume-robe-for-a-statue,Costume accessories; Costume; Robe for a statue,costume accessories costume robe for a statue,norm_label,1.0
entity:artifacttype:costume-accessories-costume-robes-main-garments,Costume accessories; Costume; Robes (main garments),costume accessories costume robes main garments,norm_label,1.0
entity:artifacttype:costume-accessories-costume-skirts-garments,Costume accessories; Costume; Skirts (garments),costume accessories costume skirts garments,norm_label,1.0
entity:artifacttype:costume-accessories-costume-stockings,Costume accessories; Costume; Stockings,costume accessories costume stockings,norm_label,1.0
entity:artifacttype:costume-accessories-costume-trousers,Costume accessories; Costume; Trousers,costume accessories costume trousers,norm_label,1.0
entity:artifacttype:costume-accessories-costume-womans-robe,Costume accessories; Costume; Woman's robe,costume accessories costume womans robe,norm_label,1.0
entity:artifacttype:costume-accessories-costume-womans-short-robe,Costume accessories; Costume; Woman's short robe,costume accessories costume womans short robe,norm_label,1.0
entity:artifacttype:costume-accessories-costume-womans-surcoat,Costume accessories; Costume; Woman's surcoat,costume accessories costume womans surcoat,norm_label,1.0
entity:artifacttype:costume-accessories-fire-screens-furniture-costume-costume-accessories-carried-handscreens,Costume accessories; Fire screens (furniture); Costume; Costume accessories carried; Handscreens,costume accessories fire screens furniture costume costume accessories carried handscreens,norm_label,1.0
entity:artifacttype:costume-accessories-handscreen-and-case-costume,Costume accessories; Handscreen and case; Costume,costume accessories handscreen and case costume,norm_label,1.0
