canonical_id,entity_type,label,norm_label,uri,external_id,source_count
entity:artifacttype:albums-bound-books-albums,ArtifactType,Albums (bound) & books; Albums,albums bound & books albums,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/albums-bound-books-albums,,1
entity:artifacttype:altar-and-altar-component-coverings-and-hangings-embroidery-visual-works,ArtifactType,Altar and altar component coverings and hangings; Embroidery (visual works),altar and altar component coverings and hangings embroidery visual works,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/altar-and-altar-component-coverings-and-hangings-embroidery-visual-works,,1
entity:artifacttype:altar-frontal-embroidery-visual-works,ArtifactType,Altar frontal; Embroidery (visual works),altar frontal embroidery visual works,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/altar-frontal-embroidery-visual-works,,1
entity:artifacttype:animals-drawings,ArtifactType,Animals; Drawings,animals drawings,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/animals-drawings,,1
entity:artifacttype:animals-prints,ArtifactType,Animals; Prints,animals prints,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/animals-prints,,1
entity:artifacttype:architectural-elements,ArtifactType,Architectural elements,architectural elements,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/architectural-elements,,18
entity:artifacttype:archival-material,ArtifactType,Archival Material,archival material,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/archival-material,,1
entity:artifacttype:artists-tools,ArtifactType,Artists' Tools,artists tools,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/artists-tools,,42
entity:artifacttype:banners,ArtifactType,Banners,banners,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/banners,,1
entity:artifacttype:basins,ArtifactType,Basins,basins,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/basins,,1
entity:artifacttype:baskets-containers,ArtifactType,Baskets (containers),baskets containers,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/baskets-containers,,3
entity:artifacttype:bed-coverings-embroidery-visual-works,ArtifactType,Bed coverings; Embroidery (visual works),bed coverings embroidery visual works,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/bed-coverings-embroidery-visual-works,,1
entity:artifacttype:belt-with-buckle-textiles,ArtifactType,Belt with buckle; Textiles,belt with buckle textiles,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/belt-with-buckle-textiles,,1
entity:artifacttype:birdcages-containers-containers-decorative-arts,ArtifactType,Birdcages (containers); Containers; Decorative arts,birdcages containers containers decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/birdcages-containers-containers-decorative-arts,,1
entity:artifacttype:books,ArtifactType,Books,books,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/books,,47
entity:artifacttype:bowl-hot-water,ArtifactType,"Bowl, Hot Water",bowl hot water,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/bowl-hot-water,,1
entity:artifacttype:bowl-slop,ArtifactType,"Bowl, Slop",bowl slop,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/bowl-slop,,1
entity:artifacttype:bowl-tea,ArtifactType,"bowl, tea",bowl tea,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/bowl-tea,,4
entity:artifacttype:bowl-tea-saucers-plates,ArtifactType,"bowl, tea; Saucers (plates)",bowl tea saucers plates,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/bowl-tea-saucers-plates,,1
entity:artifacttype:bowls-vessels,ArtifactType,Bowls (vessels),bowls vessels,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/bowls-vessels,,2
entity:artifacttype:box-tea,ArtifactType,"Box, Tea",box tea,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/box-tea,,1
entity:artifacttype:boxes,ArtifactType,Boxes,boxes,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/boxes,,52
entity:artifacttype:cabinets-case-furniture-furniture-decorative-arts,ArtifactType,Cabinets (case furniture); Furniture; Decorative arts,cabinets case furniture furniture decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/cabinets-case-furniture-furniture-decorative-arts,,1
entity:artifacttype:calligraphy,ArtifactType,Calligraphy,calligraphy,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/calligraphy,,80
entity:artifacttype:calligraphy-visual-works,ArtifactType,Calligraphy (visual works),calligraphy visual works,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/calligraphy-visual-works,,3
entity:artifacttype:card-case-and-cover-containers-decorative-arts,ArtifactType,Card case and cover; Containers; Decorative arts,card case and cover containers decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/card-case-and-cover-containers-decorative-arts,,1
entity:artifacttype:cartoon,ArtifactType,Cartoon,cartoon,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/cartoon,,1
entity:artifacttype:center-table-furniture-decorative-arts,ArtifactType,Center table; Furniture; Decorative arts,center table furniture decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/center-table-furniture-decorative-arts,,1
entity:artifacttype:ceramics,ArtifactType,Ceramics,ceramics,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics,,5
entity:artifacttype:ceramics-objects-basins-decorative-arts,ArtifactType,Ceramics (objects); Basins; Decorative arts,ceramics objects basins decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-basins-decorative-arts,,2
entity:artifacttype:ceramics-objects-beakers-vessels-decorative-arts,ArtifactType,Ceramics (objects); Beakers (vessels); Decorative arts,ceramics objects beakers vessels decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-beakers-vessels-decorative-arts,,2
entity:artifacttype:ceramics-objects-bowls-vessels-decorative-arts,ArtifactType,Ceramics (objects); Bowls (vessels); Decorative arts,ceramics objects bowls vessels decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-bowls-vessels-decorative-arts,,1
entity:artifacttype:ceramics-objects-bulb-pot-decorative-arts,ArtifactType,Ceramics (objects); Bulb pot; Decorative arts,ceramics objects bulb pot decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-bulb-pot-decorative-arts,,1
entity:artifacttype:ceramics-objects-cup-and-lid-decorative-arts,ArtifactType,Ceramics (objects); Cup and lid; Decorative arts,ceramics objects cup and lid decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-cup-and-lid-decorative-arts,,1
entity:artifacttype:ceramics-objects-cup-and-saucer-decorative-arts,ArtifactType,Ceramics (objects); Cup and saucer; Decorative arts,ceramics objects cup and saucer decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-cup-and-saucer-decorative-arts,,2
entity:artifacttype:ceramics-objects-cups-decorative-arts,ArtifactType,Ceramics (objects); Cups; Decorative arts,ceramics objects cups decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-cups-decorative-arts,,12
entity:artifacttype:ceramics-objects-decorative-arts-coffeepots,ArtifactType,Ceramics (objects); Decorative arts; Coffeepots,ceramics objects decorative arts coffeepots,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-decorative-arts-coffeepots,,2
entity:artifacttype:ceramics-objects-decorative-arts-covers,ArtifactType,Ceramics (objects); Decorative arts; covers,ceramics objects decorative arts covers,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-decorative-arts-covers,,1
entity:artifacttype:ceramics-objects-decorative-arts-pair-of-bowls,ArtifactType,Ceramics (objects); Decorative arts; Pair of bowls,ceramics objects decorative arts pair of bowls,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-decorative-arts-pair-of-bowls,,1
entity:artifacttype:ceramics-objects-decorative-arts-plate,ArtifactType,Ceramics (objects); Decorative arts; Plate,ceramics objects decorative arts plate,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-decorative-arts-plate,,1
entity:artifacttype:ceramics-objects-decorative-arts-platters,ArtifactType,Ceramics (objects); Decorative arts; Platters,ceramics objects decorative arts platters,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-decorative-arts-platters,,1
entity:artifacttype:ceramics-objects-decorative-arts-tureens,ArtifactType,Ceramics (objects); Decorative arts; Tureens,ceramics objects decorative arts tureens,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-decorative-arts-tureens,,2
entity:artifacttype:ceramics-objects-decorative-arts-vases,ArtifactType,Ceramics (objects); Decorative arts; Vases,ceramics objects decorative arts vases,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-decorative-arts-vases,,14
entity:artifacttype:ceramics-objects-decorative-arts-verri-re,ArtifactType,Ceramics (objects); Decorative arts; VerriÃ¨re,ceramics objects decorative arts verriã¨re,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-decorative-arts-verri-re,,1
entity:artifacttype:ceramics-objects-decorative-arts-wig-stand,ArtifactType,Ceramics (objects); Decorative arts; Wig stand,ceramics objects decorative arts wig stand,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-decorative-arts-wig-stand,,1
entity:artifacttype:ceramics-objects-dishes-vessels-decorative-arts,ArtifactType,Ceramics (objects); Dishes (vessels); Decorative arts,ceramics objects dishes vessels decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-dishes-vessels-decorative-arts,,2
entity:artifacttype:ceramics-objects-ewers-decorative-arts,ArtifactType,Ceramics (objects); Ewers; Decorative arts,ceramics objects ewers decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-ewers-decorative-arts,,2
entity:artifacttype:ceramics-objects-figures-representations-decorative-arts,ArtifactType,Ceramics (objects); Figures (representations); Decorative arts,ceramics objects figures representations decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-figures-representations-decorative-arts,,3
entity:artifacttype:ceramics-objects-figurines-decorative-arts,ArtifactType,Ceramics (objects); Figurines; Decorative arts,ceramics objects figurines decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-figurines-decorative-arts,,1
entity:artifacttype:ceramics-objects-jar-and-lid-decorative-arts,ArtifactType,Ceramics (objects); Jar and lid; Decorative arts,ceramics objects jar and lid decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-jar-and-lid-decorative-arts,,2
entity:artifacttype:ceramics-objects-jars-decorative-arts,ArtifactType,Ceramics (objects); Jars; Decorative arts,ceramics objects jars decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-jars-decorative-arts,,4
entity:artifacttype:ceramics-objects-mugs-decorative-arts,ArtifactType,Ceramics (objects); Mugs; Decorative arts,ceramics objects mugs decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-mugs-decorative-arts,,1
entity:artifacttype:ceramics-objects-pair-of-wig-stands-decorative-arts,ArtifactType,Ceramics (objects); Pair of wig stands; Decorative arts,ceramics objects pair of wig stands decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-pair-of-wig-stands-decorative-arts,,1
entity:artifacttype:ceramics-objects-plate-decorative-arts,ArtifactType,Ceramics (objects); plate; Decorative arts,ceramics objects plate decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-plate-decorative-arts,,2
entity:artifacttype:ceramics-objects-soup-tureen-with-stand-decorative-arts,ArtifactType,Ceramics (objects); soup tureen with stand; Decorative arts,ceramics objects soup tureen with stand decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-soup-tureen-with-stand-decorative-arts,,1
entity:artifacttype:ceramics-objects-tea-caddy-and-cover-decorative-arts,ArtifactType,Ceramics (objects); Tea caddy and cover; Decorative arts,ceramics objects tea caddy and cover decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-objects-tea-caddy-and-cover-decorative-arts,,1
entity:artifacttype:ceramics-porcelain,ArtifactType,Ceramics – Porcelain,ceramics – porcelain,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-porcelain,,46
entity:artifacttype:ceramics-pottery-earthenware,ArtifactType,Ceramics – Pottery – Earthenware,ceramics – pottery – earthenware,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-pottery-earthenware,,3
entity:artifacttype:ceramics-pottery-stoneware,ArtifactType,Ceramics – Pottery – Stoneware,ceramics – pottery – stoneware,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceramics-pottery-stoneware,,2
entity:artifacttype:ceremonial-objects,ArtifactType,Ceremonial objects,ceremonial objects,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/ceremonial-objects,,177
entity:artifacttype:chest-tea,ArtifactType,"Chest, Tea",chest tea,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/chest-tea,,1
entity:artifacttype:childs-bib-textiles,ArtifactType,Child's bib; Textiles,childs bib textiles,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/childs-bib-textiles,,1
entity:artifacttype:chopsticks-set,ArtifactType,"Chopsticks, set",chopsticks set,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/chopsticks-set,,1
entity:artifacttype:coins,ArtifactType,Coins,coins,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/coins,,93
entity:artifacttype:coins-money,ArtifactType,Coins (money),coins money,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/coins-money,,1
entity:artifacttype:compote,ArtifactType,Compote,compote,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/compote,,1
entity:artifacttype:containers,ArtifactType,Containers,containers,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/containers,,8
entity:artifacttype:containers-box-and-stand-decorative-arts,ArtifactType,Containers; Box and stand; Decorative arts,containers box and stand decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/containers-box-and-stand-decorative-arts,,1
entity:artifacttype:containers-decorative-arts-covered-box-on-stand,ArtifactType,Containers; Decorative arts; Covered Box on Stand,containers decorative arts covered box on stand,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/containers-decorative-arts-covered-box-on-stand,,1
entity:artifacttype:containers-decorative-arts-snuff-bottles,ArtifactType,Containers; Decorative arts; Snuff bottles,containers decorative arts snuff bottles,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/containers-decorative-arts-snuff-bottles,,2
entity:artifacttype:costume-accessories-button-costume-decorative-arts,ArtifactType,Costume accessories; Button; Costume; Decorative arts,costume accessories button costume decorative arts,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-button-costume-decorative-arts,,3
entity:artifacttype:costume-accessories-costume-bag-one-side,ArtifactType,Costume accessories; Costume; Bag (one side),costume accessories costume bag one side,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-bag-one-side,,1
entity:artifacttype:costume-accessories-costume-bris-fan,ArtifactType,Costume accessories; Costume; BrisÃ© fan,costume accessories costume brisã© fan,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-bris-fan,,22
entity:artifacttype:costume-accessories-costume-cases-containers,ArtifactType,Costume accessories; Costume; Cases (containers),costume accessories costume cases containers,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-cases-containers,,1
entity:artifacttype:costume-accessories-costume-coats-garments,ArtifactType,Costume accessories; Costume; Coats (garments),costume accessories costume coats garments,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-coats-garments,,1
entity:artifacttype:costume-accessories-costume-fan-case-and-bag,ArtifactType,Costume accessories; Costume; Fan case and bag,costume accessories costume fan case and bag,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-fan-case-and-bag,,1
entity:artifacttype:costume-accessories-costume-fans-costume-accessories-cases-containers,ArtifactType,Costume accessories; Costume; Fans (costume accessories); Cases (containers),costume accessories costume fans costume accessories cases containers,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-fans-costume-accessories-cases-containers,,2
entity:artifacttype:costume-accessories-costume-nurses-jacket-and-pants,ArtifactType,Costume accessories; Costume; Nurse's jacket and pants,costume accessories costume nurses jacket and pants,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-nurses-jacket-and-pants,,1
entity:artifacttype:costume-accessories-costume-panel-for-a-fan-case,ArtifactType,Costume accessories; Costume; Panel for a fan case,costume accessories costume panel for a fan case,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-panel-for-a-fan-case,,2
entity:artifacttype:costume-accessories-costume-pleated-fan,ArtifactType,Costume accessories; Costume; Pleated fan,costume accessories costume pleated fan,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-pleated-fan,,6
entity:artifacttype:costume-accessories-costume-robe-for-a-statue,ArtifactType,Costume accessories; Costume; Robe for a statue,costume accessories costume robe for a statue,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-robe-for-a-statue,,1
entity:artifacttype:costume-accessories-costume-robes-main-garments,ArtifactType,Costume accessories; Costume; Robes (main garments),costume accessories costume robes main garments,https://kg.overseas-chinese-artifacts.local/entity/artifacttype/costume-accessories-costume-robes-main-garments,,3
