canonical_id,museum_id,object_id,field_name,raw_value,source_file
entity:artifact:1:ld1-1643381040022-1643381041048-0,1,ld1-1643381040022-1643381041048-0,title,A Song,smithsonian_institution.csv
entity:artifact:1:ld1-1643381040022-1643381041076-1,1,ld1-1643381040022-1643381041076-1,title,Anna May Wong,smithsonian_institution.csv
entity:artifact:1:ld1-1643381040022-1643381042241-1,1,ld1-1643381040022-1643381042241-1,title,Green Chinese Jar,smithsonian_institution.csv
entity:artifact:1:ld1-1643381040022-1643381046516-1,1,ld1-1643381040022-1643381046516-1,title,Chinese Girl,smithsonian_institution.csv
entity:artifact:1:ld1-1643381040022-1643381046517-0,1,ld1-1643381040022-1643381046517-0,title,(Chinese Man),smithsonian_institution.csv
entity:artifact:1:ld1-1643381040022-1643381049778-0,1,ld1-1643381040022-1643381049778-0,title,River Song no. 2,smithsonian_institution.csv
entity:artifact:1:ld1-1643381040022-1643381049778-1,1,ld1-1643381040022-1643381049778-1,title,Road Song no. 2,smithsonian_institution.csv
entity:artifact:1:ld1-1643381040022-1643381049779-0,1,ld1-1643381040022-1643381049779-0,title,Road Song no. 3,smithsonian_institution.csv
entity:artifact:1:ld1-1643381040022-1643381049779-1,1,ld1-1643381040022-1643381049779-1,title,Road Song no. 4,smithsonian_institution.csv
entity:artifact:1:ld1-1643381040022-1643381049780-0,1,ld1-1643381040022-1643381049780-0,title,Road Song no. 5,smithsonian_institution.csv
entity:artifact:1:ld1-1643381040022-1643381049785-0,1,ld1-1643381040022-1643381049785-0,title,Song from Venice no. 2,smithsonian_institution.csv
entity:artifact:1:ld1-1643381040022-1643381051352-0,1,ld1-1643381040022-1643381051352-0,title,"TISH-CO-HAN. A DELAWARE CHIEF., from History of the Indian Tribes of North America",smithsonian_institution.csv
entity:artifact:1:ld1-1643381040022-1643381053046-1,1,ld1-1643381040022-1643381053046-1,title,Song,smithsonian_institution.csv
entity:artifact:1:ld1-1643381040022-1643381054060-0,1,ld1-1643381040022-1643381054060-0,title,Passing Song,smithsonian_institution.csv
entity:artifact:1:ld1-1643381040022-1643381054509-0,1,ld1-1643381040022-1643381054509-0,title,Chinese Mandarin,smithsonian_institution.csv
entity:artifact:1:ld1-1643381040022-1643381055993-0,1,ld1-1643381040022-1643381055993-0,title,(Illustration for RubÃ¡iyÃ¡t of Omar KhayyÃ¡m) The Song in the Wilderness,smithsonian_institution.csv
entity:artifact:1:ld1-1643381040022-1643381057843-0,1,ld1-1643381040022-1643381057843-0,title,Song of the Lark,smithsonian_institution.csv
