artifact_id,museum_id,object_id,title
entity:artifact:1:ld1-1643381040022-1643381041048-0,1,ld1-1643381040022-1643381041048-0,A Song
entity:artifact:1:ld1-1643381040022-1643381041076-1,1,ld1-1643381040022-1643381041076-1,Anna May Wong
entity:artifact:1:ld1-1643381040022-1643381042241-1,1,ld1-1643381040022-1643381042241-1,Green Chinese Jar
entity:artifact:1:ld1-1643381040022-1643381046516-1,1,ld1-1643381040022-1643381046516-1,Chinese Girl
entity:artifact:1:ld1-1643381040022-1643381046517-0,1,ld1-1643381040022-1643381046517-0,(Chinese Man)
entity:artifact:1:ld1-1643381040022-1643381049778-0,1,ld1-1643381040022-1643381049778-0,River Song no. 2
entity:artifact:1:ld1-1643381040022-1643381049778-1,1,ld1-1643381040022-1643381049778-1,Road Song no. 2
entity:artifact:1:ld1-1643381040022-1643381049779-0,1,ld1-1643381040022-1643381049779-0,Road Song no. 3
entity:artifact:1:ld1-1643381040022-1643381049779-1,1,ld1-1643381040022-1643381049779-1,Road Song no. 4
entity:artifact:1:ld1-1643381040022-1643381049780-0,1,ld1-1643381040022-1643381049780-0,Road Song no. 5
entity:artifact:1:ld1-1643381040022-1643381049785-0,1,ld1-1643381040022-1643381049785-0,Song from Venice no. 2
entity:artifact:1:ld1-1643381040022-1643381051352-0,1,ld1-1643381040022-1643381051352-0,"TISH-CO-HAN. A DELAWARE CHIEF., from History of the Indian Tribes of North America"
entity:artifact:1:ld1-1643381040022-1643381053046-1,1,ld1-1643381040022-1643381053046-1,Song
entity:artifact:1:ld1-1643381040022-1643381054060-0,1,ld1-1643381040022-1643381054060-0,Passing Song
entity:artifact:1:ld1-1643381040022-1643381054509-0,1,ld1-1643381040022-1643381054509-0,Chinese Mandarin
entity:artifact:1:ld1-1643381040022-1643381055993-0,1,ld1-1643381040022-1643381055993-0,(Illustration for RubÃ¡iyÃ¡t of Omar KhayyÃ¡m) The Song in the Wilderness
entity:artifact:1:ld1-1643381040022-1643381057843-0,1,ld1-1643381040022-1643381057843-0,Song of the Lark
entity:artifact:1:ld1-1643381040022-1643381057909-1,1,ld1-1643381040022-1643381057909-1,The Chinese Fishmonger
entity:artifact:1:ld1-1643381040022-1643381058884-1,1,ld1-1643381040022-1643381058884-1,Fan
entity:artifact:1:ld1-1643381040022-1643381058893-0,1,ld1-1643381040022-1643381058893-0,Fan
entity:artifact:1:ld1-1643381040022-1643381058911-1,1,ld1-1643381040022-1643381058911-1,Fan
entity:artifact:1:ld1-1643381040022-1643381058913-0,1,ld1-1643381040022-1643381058913-0,Fan
entity:artifact:1:ld1-1643381040022-1643381058914-1,1,ld1-1643381040022-1643381058914-1,Fan
entity:artifact:1:ld1-1643381040022-1643381058918-1,1,ld1-1643381040022-1643381058918-1,Fan
entity:artifact:1:ld1-1643381040022-1643381058919-0,1,ld1-1643381040022-1643381058919-0,Fan
entity:artifact:1:ld1-1643381040022-1643381058925-0,1,ld1-1643381040022-1643381058925-0,Fan
entity:artifact:1:ld1-1643381040022-1643381058946-1,1,ld1-1643381040022-1643381058946-1,Fan
entity:artifact:1:ld1-1643381040022-1643381059066-0,1,ld1-1643381040022-1643381059066-0,Chinese Export fan (Brise)
entity:artifact:1:ld1-1643381040022-1643381059156-0,1,ld1-1643381040022-1643381059156-0,Tumbler
entity:artifact:1:ld1-1643381040022-1643381060180-0,1,ld1-1643381040022-1643381060180-0,The Sauce-Pan Shop
entity:artifact:1:ld1-1643381040022-1643381060244-1,1,ld1-1643381040022-1643381060244-1,Native of Tibet
entity:artifact:1:ld1-1643381040022-1643381060334-0,1,ld1-1643381040022-1643381060334-0,Alley in Chinatown
entity:artifact:1:ld1-1643381040022-1643381062968-0,1,ld1-1643381040022-1643381062968-0,"The Chinese in New York--Scene in a Baxter Street Club-House, from Harper's Weekly, March 7, 1874"
entity:artifact:1:ld1-1643381040022-1643381064179-0,1,ld1-1643381040022-1643381064179-0,Neapolitan Song
entity:artifact:1:ld1-1643381040022-1643381066704-1,1,ld1-1643381040022-1643381066704-1,Carving
entity:artifact:1:ld1-1643381040022-1643381066706-1,1,ld1-1643381040022-1643381066706-1,Carving
entity:artifact:1:ld1-1643381040022-1643381066708-0,1,ld1-1643381040022-1643381066708-0,Carving
entity:artifact:1:ld1-1643381040022-1643381066734-0,1,ld1-1643381040022-1643381066734-0,Miniature Chinese Kettle
entity:artifact:1:ld1-1643381040022-1643381066735-0,1,ld1-1643381040022-1643381066735-0,Chinese Filigree Basket
entity:artifact:1:ld1-1643390182193-1643390182369-0,1,ld1-1643390182193-1643390182369-0,Herons and water plants
