artist_id,artist
entity:artist:1239-after-1301,1239–after 1301)
entity:artist:1254-1322,1254–1322)
entity:artist:1450-1535,1450–1535)
entity:artist:1459-1508,1459–1508)
entity:artist:1525-1605,1525–1605)
entity:artist:1585-after-1664,1585–after 1664)
entity:artist:1662-1721,1662–1721)
entity:artist:1687-1770,1687–1770)
entity:artist:1720-1776,1720–1776)
entity:artist:1858-1927,1858–1927)
entity:artist:1st-arkansas-regiment-volunteer-infantry-african-descent,1st Arkansas Regiment Volunteer Infantry (African Descent)
entity:artist:Q1042125,Hua Yan 華喦
entity:artist:Q10564133,Qian Hui'an 錢慧安
entity:artist:Q106513189,Worch et Cie
entity:artist:Q108354092,Jui
entity:artist:Q10867336,Shangguan Zhou 上官周
entity:artist:Q109105009,Bahr
entity:artist:Q109856186,Pan Gongshou 潘恭壽
entity:artist:Q110400668,Jones
entity:artist:Q110476493,Estate of Agnes E. Meyer
entity:artist:Q110740452,Scroggy
entity:artist:Q11075314,Dai Mingyue 戴明說
entity:artist:Q11084707,Fang Shishu 方士庶
entity:artist:Q11096759,Li Rihua 李日華
entity:artist:Q11137021,Wang Youdun 汪由敦
entity:artist:Q113721827,Worch
entity:artist:Q1138248,Cox
entity:artist:Q11610448,Weng Fanggang 翁方綱
entity:artist:Q118914089,Shindler
entity:artist:Q1223,Washington
entity:artist:Q12805597,Vershinin
entity:artist:Q1329823,Yun Shouping 惲壽平
entity:artist:Q13409670,Hickman
entity:artist:Q1360244,Manner of Xia Gui 夏圭
entity:artist:Q1368910,Kellogg
entity:artist:Q15430363,Hu Zhengyan 胡正言
entity:artist:Q16075853,Dong Bangda 董邦達
entity:artist:Q16961275,American Art Association
entity:artist:Q17864440,Grant
entity:artist:Q18511634,Zhang Xiong 張熊
entity:artist:Q190568,Muybridge
entity:artist:Q1965666,Nash
entity:artist:Q198097,Bada Shanren (Zhu Da) 八大山人 (朱耷)
entity:artist:Q200798,Hiroshige
entity:artist:Q2032614,Traditionally attributed to Ren Renfa 任仁發
entity:artist:Q2080165,Hyde
entity:artist:Q21388442,Arnoult
entity:artist:Q21449862,Gaertner
entity:artist:Q21504853,Vedder
entity:artist:Q216936,Sean John
entity:artist:Q21810574,Li Huayi 李華弌
entity:artist:Q2248916,Tang Yin 唐寅
entity:artist:Q25439303,Fan
entity:artist:Q270130,Traditionally attributed to Guan Daosheng 管道昇
entity:artist:Q28737356,Lee Chun-Yi (Li Junyi) 李君毅
entity:artist:Q30230341,Chen Chi-kwan (Chen Qikuan) 陳其寬
entity:artist:Q3028266,Ren Yi 任頤
entity:artist:Q3138790,Lan Ying 藍瑛
entity:artist:Q3165352,Dugourc
entity:artist:Q3200407,Kuncan 髡殘
entity:artist:Q320129,Style of Mi Fu 米芾
entity:artist:Q330206,Manner of Wang E 王諤
entity:artist:Q343633,Burgess
entity:artist:Q347181,Adam
entity:artist:Q3566124,Traditionally attributed to Wang Zhenpeng 王振鵬
entity:artist:Q3570964,Xiao Yuncong 蕭雲從
entity:artist:Q3571842,Yao Shou 姚綬
entity:artist:Q36923787,Crace
entity:artist:Q369608,Qi Baishi (Qi Huang) 齊白石 (齊璜)
entity:artist:Q37017903,Kriger
entity:artist:Q374713,Pillement
entity:artist:Q4164300,Sun Jin 孫金
entity:artist:Q4233718,Unidentified Artist
entity:artist:Q42511,Wells
entity:artist:Q42772724,Zhang Hong 張宏
entity:artist:Q45430740,COPY AFTER Qiu Wenbo 丘文播
entity:artist:Q45545802,Jin Junming
entity:artist:Q45569178,Attributed to Ye Cheng
entity:artist:Q45585501,Wang Chen 王宸
entity:artist:Q45656968,Manner of Jiang Song 蒋嵩
entity:artist:Q469439,Shitao (Zhu Ruoji) 石濤 (朱若極)
entity:artist:Q47842,Manner of Empress Dowager Cixi 慈禧
entity:artist:Q4973682,Bromley Hall
entity:artist:Q5080060,Yamanaka
entity:artist:Q537211,Dong Qichang 董其昌
entity:artist:Q55065697,Marschall
entity:artist:Q558251,attributed to Chen Chun 陳淳
entity:artist:Q558863,Traditional Attribution to Shen Zhou 沈周
entity:artist:Q5603,Andrew
entity:artist:Q588110,Previously attributed to Chen Hongshou 陳洪綬
entity:artist:Q5925500,Huang Ding 黃鼎
entity:artist:Q615282,Mouilleron
entity:artist:Q65844980,Nan Wen
entity:artist:Q6653515,Liu Kuo-sung (Liu Guosong) 劉國松
entity:artist:Q66749854,MacLaughlan
entity:artist:Q6691,Homer
entity:artist:Q67416749,Yamanaka
entity:artist:Q696708,Liu Dan 劉丹
entity:artist:Q697720,Li Shan 李鱓
entity:artist:Q698454,Gao Qipei 高其佩
entity:artist:Q701076,Huang Shen 黄慎
entity:artist:Q711481,Wang Jian 王鑑
entity:artist:Q712007,Manner of Zheng Xie 鄭燮
entity:artist:Q713272,Sung-shan
entity:artist:Q716222,Wang Hui 王翬
entity:artist:Q716959,Jiang Tingxi 蔣廷錫
entity:artist:Q740332,Liang Kai 梁楷
entity:artist:Q7486,attributed to Zhao Ji (Emperor Huizong) 赵佶 (宋徽宗)
entity:artist:Q75070738,Seton
entity:artist:Q769372,Traditionally attributed to Qiu Ying 仇英
entity:artist:Q773765,Stella
entity:artist:Q7782112,Wores
entity:artist:Q8004299,Delamotte
entity:artist:Q8060022,Yuan Jiang 袁江
entity:artist:Q835579,Bian Shoumin 邊壽民
entity:artist:Q835924,Copy after Zhou Wenju 周文矩
entity:artist:Q86167,Anonymous
entity:artist:Q865938,Wen Jia 文嘉
entity:artist:Q87185060,Wannieck
entity:artist:Q877224,Manner of Guo Zhongshu 郭忠恕
entity:artist:Q890282,Edited by Gao Fenghan 高鳳翰
entity:artist:Q910270,Yuan Yao 袁燿
entity:artist:Q9441,Yamanaka
entity:artist:Q947892,Fang Lijun
entity:artist:Q948598,Ryder
entity:artist:Q957734,Du Jin 杜堇
entity:artist:Q971521,Handforth
entity:artist:aaron,Aaron
entity:artist:abe,Abe
entity:artist:abel-william,Abel William
entity:artist:active-14th-century,active 14th century)
entity:artist:active-15th-century,active 15th century)
entity:artist:active-16th-century,active 16th century)
entity:artist:active-16th-mid-16th-century,active 16th–mid 16th century)
entity:artist:active-19th-century,active 19th century)
entity:artist:active-about-1195-1230,active about 1195 – 1230)
entity:artist:active-around-1740-1780,active around 1740–1780)
entity:artist:active-late-16th-century,active late 16th century)
entity:artist:active-late-17th-century,active late 17th century)
entity:artist:adachi,Adachi
entity:artist:adolphe,Adolphe
entity:artist:agnes-e,Agnes E.
entity:artist:alice-pike,Alice Pike
entity:artist:allen,Allen
entity:artist:allie,Allie
entity:artist:amoy-lace-guild,Amoy Lace Guild
entity:artist:an-davenport-co,A.N. Davenport Co.
entity:artist:ananda,Ananda
entity:artist:anna-m,Anna M.
entity:artist:anna-may,Anna May
entity:artist:anne,Anne
entity:artist:arroyo,Arroyo
entity:artist:arsacio-vanegas,Arsacio Vanegas
entity:artist:art-ancien-de-chine,Art Ancien de Chine
entity:artist:arthur,Arthur
entity:artist:arthur-m,Arthur M.
entity:artist:ashikaga,Ashikaga
entity:artist:attributed-to-xia-gui-chinese,Attributed to: Xia Gui (Chinese
entity:artist:avril,Avril
entity:artist:b-f,B. F.
entity:artist:backhouse,Backhouse
entity:artist:bagley,Bagley
entity:artist:bahr,Bahr
entity:artist:barney,Barney
entity:artist:baron,Baron
entity:artist:berthold,Berthold
entity:artist:biddle,Biddle
entity:artist:bing,Bing
entity:artist:black-fashion-museum,Black Fashion Museum
entity:artist:born-in-1477,born in 1477)
entity:artist:boucher,Boucher
entity:artist:breton,Breton
entity:artist:bros,Bros.
entity:artist:brown,Brown
entity:artist:brownson,Brownson
entity:artist:buddha,buddha
entity:artist:bunkio,Bunkio
entity:artist:bunshichi,Bunshichi
entity:artist:burchard,Burchard
entity:artist:butler,Butler
entity:artist:by,By
entity:artist:c-d,C. D.
entity:artist:c-k,C. K.
entity:artist:c-t,C. T.
entity:artist:c-t-loo,C. T. Loo
entity:artist:c-t-loo-chinese-art,C. T. Loo Chinese Art
entity:artist:caro,Caro
entity:artist:cash,Cash
entity:artist:chai,Chai
entity:artist:chambers,Chambers
entity:artist:chang-lok,Chang Lok
entity:artist:charles,Charles
entity:artist:charles-a,Charles A.
entity:artist:charles-bird,Charles Bird
entity:artist:charles-lang,Charles Lang
entity:artist:charles-scribners-sons,Charles Scribner's Sons
entity:artist:chen,Chen
entity:artist:chen-kai,Chen Kai
entity:artist:chen-ruwen-chinese,Chen Ruwen (Chinese)
entity:artist:chen-ta-whah,Chen Ta Whah
entity:artist:cheng,Cheng
entity:artist:chi,Chi
entity:artist:chien-mei,Chien Mei
entity:artist:ching-i-chiang,Ching-i Ch'iang
entity:artist:ching-tong,Ching Tong
entity:artist:chor,Chor
entity:artist:chou-nien-tsu,Chou Nien-tsu
entity:artist:christian-r,Christian R.
entity:artist:chu,Chu
entity:artist:cie,Cie
entity:artist:clayton,Clayton
entity:artist:clowes,Clowes
entity:artist:co,Co.
entity:artist:co-oriental-art,Co. Oriental Art
entity:artist:coleridge-taylor,Coleridge-Taylor
entity:artist:colman,Colman
entity:artist:company,Company
entity:artist:cooper-union-art-school,Cooper Union Art School
entity:artist:copp-family,Copp Family
entity:artist:cox,Cox
entity:artist:dacheng,Dacheng
entity:artist:dana,Dana
entity:artist:david,David
entity:artist:david-weill,David-Weill
entity:artist:david-weill-family,David-Weill Family
entity:artist:de-lajo-e,de LajoÃ¼e
entity:artist:de-pool,de Pool
entity:artist:denise,Denise
entity:artist:desfoss-et-karth,DesfossÃ© et Karth
entity:artist:dikran-garabed,Dikran Garabed
entity:artist:donald-shaw,Donald Shaw
entity:artist:downing,Downing
entity:artist:du,Du
entity:artist:duanfang,Duanfang
entity:artist:dugourc,Dugourc
entity:artist:duveen-brothers,Duveen Brothers
entity:artist:e-c,E. C.
entity:artist:eadweard,Eadweard
entity:artist:ec-kellogg,E.C. Kellogg
entity:artist:edmund,Edmund
entity:artist:elder,Elder
entity:artist:eleanor-f,Eleanor F.
entity:artist:elizabeth-meyer,Elizabeth Meyer
entity:artist:engelbrecht,Engelbrecht
entity:artist:epstein,Epstein
entity:artist:ernest-francisco,Ernest Francisco
entity:artist:ernest-thompson,Ernest Thompson
entity:artist:eskenazi-ltd,Eskenazi Ltd.
entity:artist:esnauts,Esnauts
entity:artist:esther,Esther
entity:artist:etienne-claude,Etienne Claude
entity:artist:eugene,Eugene
entity:artist:eugene-i,Eugene I.
entity:artist:f-barbedienne-foundry,F. Barbedienne Foundry
entity:artist:falk,Falk
entity:artist:fan-lin-樊麟-chinese,Fan Lin 樊麟 (Chinese)
entity:artist:fat,Fat
entity:artist:fenning,Fenning
entity:artist:fenollosa,Fenollosa
entity:artist:ferguson,Ferguson
