dynasty_id,dynasty
entity:dynasty:eastern-han东汉,Eastern Han（东汉）
entity:dynasty:eastern-jin东晋,Eastern Jin（东晋）
entity:dynasty:five-dynasties五代,Five Dynasties（五代）
entity:dynasty:han汉,Han（汉）
entity:dynasty:jin金,Jin（金）
entity:dynasty:ming明,Ming（明）
entity:dynasty:neolithic新石器时代,Neolithic（新石器时代）
entity:dynasty:northern-and-southern南北朝,Northern and Southern（南北朝）
entity:dynasty:northern-song北宋,Northern Song（北宋）
entity:dynasty:qing清,Qing（清）
entity:dynasty:qin秦,Qin（秦）
entity:dynasty:republic民国,Republic（民国）
entity:dynasty:shang商,Shang（商）
entity:dynasty:southern-song南宋,Southern Song（南宋）
entity:dynasty:sui隋,Sui（隋）
entity:dynasty:tang唐,Tang（唐）
entity:dynasty:three-kingdoms三国,Three Kingdoms（三国）
entity:dynasty:western-han西汉,Western Han（西汉）
entity:dynasty:western-jin西晋,Western Jin（西晋）
entity:dynasty:yuan元,Yuan（元）
entity:dynasty:zhou周,Zhou（周）
