material_id,material
entity:material:amber,amber
entity:material:bamboo,bamboo
entity:material:bone,bone
entity:material:bronze,bronze
entity:material:canvas,canvas
entity:material:ceramic,ceramic
entity:material:clay,clay
entity:material:copper,copper
entity:material:cotton,cotton
entity:material:earthenware,earthenware
entity:material:enamel,enamel
entity:material:glass,glass
entity:material:gold,gold
entity:material:horn,horn
entity:material:ink,ink
entity:material:iron,iron
entity:material:ivory,ivory
entity:material:jade,jade
entity:material:jadeite,jadeite
entity:material:lacquer,lacquer
entity:material:leather,leather
entity:material:linen,linen
entity:material:metal,metal
entity:material:nephrite,nephrite
entity:material:oil,oil
entity:material:paper,paper
entity:material:pigment,pigment
entity:material:plaster,plaster
entity:material:porcelain,porcelain
entity:material:rhinoceros-horn,rhinoceros horn
entity:material:shell,shell
entity:material:silk,silk
entity:material:silver,silver
entity:material:stone,stone
entity:material:textile,textile
entity:material:wax,wax
entity:material:wood,wood
