from,relation,to
entity:artifact:1:ld1-1643381040022-1643381041048-0,accessionNumber,saam_1952.13.56
entity:artifact:1:ld1-1643381040022-1643381041076-1,accessionNumber,saam_1966.111.19
entity:artifact:1:ld1-1643381040022-1643381042241-1,accessionNumber,saam_1929.6.10
entity:artifact:1:ld1-1643381040022-1643381046516-1,accessionNumber,saam_1983.90.64
entity:artifact:1:ld1-1643381040022-1643381046517-0,accessionNumber,saam_1983.90.63
entity:artifact:1:ld1-1643381040022-1643381049778-0,accessionNumber,saam_1974.85.49
entity:artifact:1:ld1-1643381040022-1643381049778-1,accessionNumber,saam_1974.85.66
entity:artifact:1:ld1-1643381040022-1643381049779-0,accessionNumber,saam_1974.85.45
entity:artifact:1:ld1-1643381040022-1643381049779-1,accessionNumber,saam_1974.85.46
entity:artifact:1:ld1-1643381040022-1643381049780-0,accessionNumber,saam_1974.85.55
entity:artifact:1:ld1-1643381040022-1643381049785-0,accessionNumber,saam_1974.85.64
entity:artifact:1:ld1-1643381040022-1643381051352-0,accessionNumber,saam_1985.66.153_283
entity:artifact:1:ld1-1643381040022-1643381053046-1,accessionNumber,saam_1971.439.38
entity:artifact:1:ld1-1643381040022-1643381054060-0,accessionNumber,saam_1929.6.103
entity:artifact:1:ld1-1643381040022-1643381054509-0,accessionNumber,saam_1985.66.165_718
entity:artifact:1:ld1-1643381040022-1643381055993-0,accessionNumber,saam_1978.108.10
entity:artifact:1:ld1-1643381040022-1643381057843-0,accessionNumber,saam_1973.130.186
entity:artifact:1:ld1-1643381040022-1643381057909-1,accessionNumber,saam_1972.153
entity:artifact:1:ld1-1643381040022-1643381058884-1,accessionNumber,saam_1929.8.559.1
entity:artifact:1:ld1-1643381040022-1643381058893-0,accessionNumber,saam_1935.8.11
entity:artifact:1:ld1-1643381040022-1643381058911-1,accessionNumber,saam_1939.4.216
entity:artifact:1:ld1-1643381040022-1643381058913-0,accessionNumber,saam_1939.4.219
entity:artifact:1:ld1-1643381040022-1643381058914-1,accessionNumber,saam_1939.4.1006
entity:artifact:1:ld1-1643381040022-1643381058918-1,accessionNumber,saam_1939.4.1013
entity:artifact:1:ld1-1643381040022-1643381058919-0,accessionNumber,saam_1939.4.1015
entity:artifact:1:ld1-1643381040022-1643381058925-0,accessionNumber,saam_1939.4.1026
entity:artifact:1:ld1-1643381040022-1643381058946-1,accessionNumber,saam_1956.6.33
entity:artifact:1:ld1-1643381040022-1643381059066-0,accessionNumber,saam_1959.16.3
entity:artifact:1:ld1-1643381040022-1643381059156-0,accessionNumber,saam_1929.8.311
entity:artifact:1:ld1-1643381040022-1643381060180-0,accessionNumber,saam_1992.13.56
entity:artifact:1:ld1-1643381040022-1643381060244-1,accessionNumber,saam_1992.66.22
entity:artifact:1:ld1-1643381040022-1643381060334-0,accessionNumber,saam_1992.13.8
entity:artifact:1:ld1-1643381040022-1643381062968-0,accessionNumber,saam_1996.63.94
entity:artifact:1:ld1-1643381040022-1643381064179-0,accessionNumber,saam_2000.11
entity:artifact:1:ld1-1643381040022-1643381066704-1,accessionNumber,saam_1918.5.27B
entity:artifact:1:ld1-1643381040022-1643381066706-1,accessionNumber,saam_1918.5.31
entity:artifact:1:ld1-1643381040022-1643381066708-0,accessionNumber,saam_1918.5.36
entity:artifact:1:ld1-1643381040022-1643381066734-0,accessionNumber,saam_1918.5.87
entity:artifact:1:ld1-1643381040022-1643381066735-0,accessionNumber,saam_1918.5.89
entity:artifact:1:ld1-1643390182193-1643390182369-0,accessionNumber,fsg_F1893.32
entity:artifact:1:ld1-1643390182193-1643390182438-0,accessionNumber,fsg_F1894.17
