from,relation,to
entity:artifact:1:ld1-1643381040022-1643381041048-0,artistBio,男性人名
entity:artifact:1:ld1-1643381040022-1643381041076-1,artistBio,姓氏 (Wong)
entity:artifact:1:ld1-1643381040022-1643381042241-1,artistBio,美国演员、导演、制作人（1907－1997）
entity:artifact:1:ld1-1643381040022-1643381046516-1,artistBio,"village and civil parish in Cheshire East, United Kingdom"
entity:artifact:1:ld1-1643381040022-1643381046517-0,artistBio,"village and civil parish in Cheshire East, United Kingdom"
entity:artifact:1:ld1-1643381040022-1643381049778-0,artistBio,family name
entity:artifact:1:ld1-1643381040022-1643381049778-1,artistBio,family name
entity:artifact:1:ld1-1643381040022-1643381049779-1,artistBio,family name
entity:artifact:1:ld1-1643381040022-1643381049780-0,artistBio,family name
entity:artifact:1:ld1-1643381040022-1643381049785-0,artistBio,family name
entity:artifact:1:ld1-1643381040022-1643381051352-0,artistBio,family name
entity:artifact:1:ld1-1643381040022-1643381053046-1,artistBio,姓氏 (Arroyo)
entity:artifact:1:ld1-1643381040022-1643381054060-0,artistBio,American painter (1847–1917)
entity:artifact:1:ld1-1643381040022-1643381054509-0,artistBio,Smadar Schindler
entity:artifact:1:ld1-1643381040022-1643381055993-0,artistBio,family name
entity:artifact:1:ld1-1643381040022-1643381057843-0,artistBio,法国画家（1827—1906）
entity:artifact:1:ld1-1643381040022-1643381057909-1,artistBio,American painter (1859-1939)
entity:artifact:1:ld1-1643381040022-1643381059156-0,artistBio,family name (Вершинин)
entity:artifact:1:ld1-1643381040022-1643381060180-0,artistBio,海德 (大曼彻斯特郡)
entity:artifact:1:ld1-1643381040022-1643381060244-1,artistBio,American botanist (1813–1887)
entity:artifact:1:ld1-1643381040022-1643381060334-0,artistBio,海德 (大曼彻斯特郡)
entity:artifact:1:ld1-1643381040022-1643381062968-0,artistBio,古希腊诗人
entity:artifact:1:ld1-1643381040022-1643381064179-0,artistBio,女性人名 (Stella)
entity:artifact:1:ld1-1643390182193-1643390182369-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390182438-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390182789-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390182964-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390183003-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390183661-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390183697-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390183796-0,artistBio,恩尼斯特·費諾羅薩
entity:artifact:1:ld1-1643390182193-1643390183796-1,artistBio,恩尼斯特·費諾羅薩
entity:artifact:1:ld1-1643390182193-1643390183898-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390184155-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390184156-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390184157-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390184158-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390184159-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390184220-1,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390184307-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390184337-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390184342-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390184345-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390184347-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390184613-0,artistBio,French painter (1673-1722)
entity:artifact:1:ld1-1643390182193-1643390184722-0,artistBio,日本業餘天文學者
entity:artifact:1:ld1-1643390182193-1643390184723-0,artistBio,日本業餘天文學者
entity:artifact:1:ld1-1643390182193-1643390184728-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390184737-0,artistBio,日本業餘天文學者
entity:artifact:1:ld1-1643390182193-1643390184810-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390184821-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390184828-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390184854-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390184879-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185005-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185006-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185007-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185009-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185010-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185011-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185115-1,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185147-1,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185158-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185171-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185212-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185213-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185233-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185239-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185379-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185380-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185381-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185382-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185382-1,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185383-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185394-1,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185400-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185439-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185475-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185476-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185477-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185478-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185489-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185490-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185502-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185503-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185504-0,artistBio,"American manufacturer and collector, 1854-1919"
entity:artifact:1:ld1-1643390182193-1643390185557-0,artistBio,"American manufacturer and collector, 1854-1919"
