from,relation,to
entity:artifact:1:ld1-1643381040022-1643381042241-1,artistBirth,1907-11-16
entity:artifact:1:ld1-1643381040022-1643381054060-0,artistBirth,1847-03-19
entity:artifact:1:ld1-1643381040022-1643381057843-0,artistBirth,1827-05-01
entity:artifact:1:ld1-1643381040022-1643381057909-1,artistBirth,1859-08-01
entity:artifact:1:ld1-1643381040022-1643381060244-1,artistBirth,1813-12-06
entity:artifact:1:ld1-1643381040022-1643381062968-0,artistBirth,0900
entity:artifact:1:ld1-1643390182193-1643390182369-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390182438-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390182789-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390182964-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390183003-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390183661-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390183697-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390183796-0,artistBirth,1853-02-18
entity:artifact:1:ld1-1643390182193-1643390183796-1,artistBirth,1853-02-18
entity:artifact:1:ld1-1643390182193-1643390183898-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390184155-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390184156-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390184157-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390184158-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390184159-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390184220-1,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390184307-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390184337-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390184342-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390184345-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390184347-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390184613-0,artistBirth,1673-04-28
entity:artifact:1:ld1-1643390182193-1643390184722-0,artistBirth,1961
entity:artifact:1:ld1-1643390182193-1643390184723-0,artistBirth,1961
entity:artifact:1:ld1-1643390182193-1643390184728-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390184737-0,artistBirth,1961
entity:artifact:1:ld1-1643390182193-1643390184810-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390184821-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390184828-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390184854-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390184879-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390185005-0,artistBirth,1854-02-02
entity:artifact:1:ld1-1643390182193-1643390185006-0,artistBirth,1854-02-02
