from,relation,to
entity:artifact:1:ld1-1643381040022-1643381042241-1,artistDeath,1997-09-09
entity:artifact:1:ld1-1643381040022-1643381054060-0,artistDeath,1917-03-28
entity:artifact:1:ld1-1643381040022-1643381057843-0,artistDeath,1906-07-05
entity:artifact:1:ld1-1643381040022-1643381057909-1,artistDeath,1939-09-11
entity:artifact:1:ld1-1643381040022-1643381060244-1,artistDeath,1887-03-31
entity:artifact:1:ld1-1643381040022-1643381062968-0,artistDeath,0800
entity:artifact:1:ld1-1643390182193-1643390182369-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390182438-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390182789-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390182964-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390183003-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390183661-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390183697-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390183796-0,artistDeath,1908-09-21
entity:artifact:1:ld1-1643390182193-1643390183796-1,artistDeath,1908-09-21
entity:artifact:1:ld1-1643390182193-1643390183898-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390184155-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390184156-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390184157-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390184158-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390184159-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390184220-1,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390184307-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390184337-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390184342-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390184345-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390184347-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390184613-0,artistDeath,1722-05-04
entity:artifact:1:ld1-1643390182193-1643390184728-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390184810-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390184821-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390184828-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390184854-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390184879-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390185005-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390185006-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390185007-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390185009-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390185010-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390185011-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390185115-1,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390185147-1,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390185158-0,artistDeath,1919-10-25
entity:artifact:1:ld1-1643390182193-1643390185171-0,artistDeath,1919-10-25
