from,relation,to
entity:artifact:1:ld1-1643381040022-1643381041048-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643381040022-1643381041076-1,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643381040022-1643381042241-1,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643381040022-1643381046516-1,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643381040022-1643381046517-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643381040022-1643381049778-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643381040022-1643381049778-1,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643381040022-1643381049779-1,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643381040022-1643381049780-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643381040022-1643381049785-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643381040022-1643381051352-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643381040022-1643381053046-1,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643381040022-1643381054060-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643381040022-1643381054509-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643381040022-1643381055993-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643381040022-1643381057843-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643381040022-1643381057909-1,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643381040022-1643381059156-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643381040022-1643381060180-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643381040022-1643381060244-1,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643381040022-1643381060334-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643381040022-1643381062968-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643381040022-1643381064179-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390182369-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390182438-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390182789-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390182964-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390183003-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390183661-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390183697-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390183796-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390183796-1,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390183898-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390184155-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390184156-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390184157-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390184158-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390184159-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390184220-1,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390184307-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390184337-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390184342-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390184345-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390184347-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390184613-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390184722-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390184723-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390184728-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390184737-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390184810-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390184821-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390184828-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390184854-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390184879-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390185005-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390185006-0,artistEnrichedAt,2026-05-21
entity:artifact:1:ld1-1643390182193-1643390185007-0,artistEnrichedAt,2026-05-21
