from,relation,to
entity:artifact:1:ld1-1643390182193-1643390183661-0,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390183697-0,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390183898-0,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390184155-0,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390184156-0,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390184157-0,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390184158-0,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390184159-0,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390184307-0,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390184347-0,artistProvince,Tibet
entity:artifact:1:ld1-1643390182193-1643390184810-0,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390184828-0,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390185006-0,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390185007-0,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390185011-0,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390185115-1,artistProvince,Tibet
entity:artifact:1:ld1-1643390182193-1643390185158-0,artistProvince,Tibet
entity:artifact:1:ld1-1643390182193-1643390185171-0,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390185239-0,artistProvince,Yunan was one of many
entity:artifact:1:ld1-1643390182193-1643390185379-0,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390185380-0,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390185381-0,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390185382-0,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390185382-1,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390185400-0,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390185439-0,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390185557-0,artistProvince,Zhejiang
entity:artifact:1:ld1-1643390182193-1643390186230-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186482-0,artistProvince,Zhejiang
entity:artifact:1:ld1-1643390182193-1643390186483-0,artistProvince,Henan
entity:artifact:1:ld1-1643390182193-1643390186484-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186488-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186489-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186490-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186493-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186494-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186495-1,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186496-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186498-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186502-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186507-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186509-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186510-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186515-0,artistProvince,Shanghai
entity:artifact:1:ld1-1643390182193-1643390186517-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186518-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186519-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186521-1,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186525-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186526-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186527-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186528-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186529-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186536-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186539-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186541-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186542-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186544-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186545-1,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186547-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186548-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186550-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186551-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186552-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186553-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186554-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186555-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186556-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186558-1,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186560-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186561-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186562-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186563-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186564-1,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186566-0,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186566-1,artistProvince,Beijing
entity:artifact:1:ld1-1643390182193-1643390186568-0,artistProvince,Beijing
