from,relation,to
entity:artifact:1:ld1-1643381040022-1643381041048-0,artistWikidataId,Q808475
entity:artifact:1:ld1-1643381040022-1643381041076-1,artistWikidataId,Q16242398
entity:artifact:1:ld1-1643381040022-1643381042241-1,artistWikidataId,Q343633
entity:artifact:1:ld1-1643381040022-1643381046516-1,artistWikidataId,Q971521
entity:artifact:1:ld1-1643381040022-1643381046517-0,artistWikidataId,Q971521
entity:artifact:1:ld1-1643381040022-1643381049778-0,artistWikidataId,Q66749854
entity:artifact:1:ld1-1643381040022-1643381049778-1,artistWikidataId,Q66749854
entity:artifact:1:ld1-1643381040022-1643381049779-1,artistWikidataId,Q66749854
entity:artifact:1:ld1-1643381040022-1643381049780-0,artistWikidataId,Q66749854
entity:artifact:1:ld1-1643381040022-1643381049785-0,artistWikidataId,Q66749854
entity:artifact:1:ld1-1643381040022-1643381051352-0,artistWikidataId,Q16833398
entity:artifact:1:ld1-1643381040022-1643381053046-1,artistWikidataId,Q20977885
entity:artifact:1:ld1-1643381040022-1643381054060-0,artistWikidataId,Q948598
entity:artifact:1:ld1-1643381040022-1643381054509-0,artistWikidataId,Q118914089
entity:artifact:1:ld1-1643381040022-1643381055993-0,artistWikidataId,Q21504853
entity:artifact:1:ld1-1643381040022-1643381057843-0,artistWikidataId,Q282043
entity:artifact:1:ld1-1643381040022-1643381057909-1,artistWikidataId,Q7782112
entity:artifact:1:ld1-1643381040022-1643381059156-0,artistWikidataId,Q12805597
entity:artifact:1:ld1-1643381040022-1643381060180-0,artistWikidataId,Q2080165
entity:artifact:1:ld1-1643381040022-1643381060244-1,artistWikidataId,Q1368910
entity:artifact:1:ld1-1643381040022-1643381060334-0,artistWikidataId,Q2080165
entity:artifact:1:ld1-1643381040022-1643381062968-0,artistWikidataId,Q6691
entity:artifact:1:ld1-1643381040022-1643381064179-0,artistWikidataId,Q773765
entity:artifact:1:ld1-1643390182193-1643390182369-0,artistWikidataId,Q5080060
entity:artifact:1:ld1-1643390182193-1643390182438-0,artistWikidataId,Q5080060
entity:artifact:1:ld1-1643390182193-1643390182789-0,artistWikidataId,Q5080060
entity:artifact:1:ld1-1643390182193-1643390182964-0,artistWikidataId,Q5080060
entity:artifact:1:ld1-1643390182193-1643390183003-0,artistWikidataId,Q5080060
entity:artifact:1:ld1-1643390182193-1643390183661-0,artistWikidataId,Q5080060
entity:artifact:1:ld1-1643390182193-1643390183697-0,artistWikidataId,Q5080060
entity:artifact:1:ld1-1643390182193-1643390183796-0,artistWikidataId,Q933253
entity:artifact:1:ld1-1643390182193-1643390183796-1,artistWikidataId,Q933253
entity:artifact:1:ld1-1643390182193-1643390183898-0,artistWikidataId,Q5080060
entity:artifact:1:ld1-1643390182193-1643390184155-0,artistWikidataId,Q5080060
entity:artifact:1:ld1-1643390182193-1643390184156-0,artistWikidataId,Q5080060
entity:artifact:1:ld1-1643390182193-1643390184157-0,artistWikidataId,Q5080060
entity:artifact:1:ld1-1643390182193-1643390184158-0,artistWikidataId,Q5080060
entity:artifact:1:ld1-1643390182193-1643390184159-0,artistWikidataId,Q5080060
entity:artifact:1:ld1-1643390182193-1643390184220-1,artistWikidataId,Q5080060
entity:artifact:1:ld1-1643390182193-1643390184307-0,artistWikidataId,Q5080060
entity:artifact:1:ld1-1643390182193-1643390184337-0,artistWikidataId,Q5080060
entity:artifact:1:ld1-1643390182193-1643390184342-0,artistWikidataId,Q5080060
entity:artifact:1:ld1-1643390182193-1643390184345-0,artistWikidataId,Q5080060
entity:artifact:1:ld1-1643390182193-1643390184347-0,artistWikidataId,Q5080060
entity:artifact:1:ld1-1643390182193-1643390184613-0,artistWikidataId,Q559969
entity:artifact:1:ld1-1643390182193-1643390184722-0,artistWikidataId,Q457312
