from,relation,to
entity:artifact:1:ld1-1643381040022-1643381041048-0,artistWikipediaSummary,"Barney is a masculine given name. It is often short for Barnard, Barnett, and other names. It is also derived from the Slavic name Barni, the pet form of Barnim, which means ""defender"", and it was formerly a popular name throughout Pomerania. Notable people with the name include:"
entity:artifact:1:ld1-1643381040022-1643381041076-1,artistWikipediaSummary,"Wong is the Jyutping, Yale and Hong Kong romanization of the Chinese surnames Huang and Wang, two ubiquitous Chinese surnames; Wang, another common Chinese surname; and a host of other rare Chinese surnames, including Heng, Hong, Hong, and Hong"
entity:artifact:1:ld1-1643381040022-1643381042241-1,artistWikipediaSummary,奥列弗·布吉斯·梅迪斯 是美国剧院、电影、电视界的演员、导演、制作人、剧本创作人。他在舞台上活跃了超过60个年头，被称作“骁勇善战的演员”、“本世纪最成功的演员之一”。他受邀加入演员工作室，并成为终身会员。他还赢得过若干次艾美奖，并且也是首个二度赢得土星奖最佳男配角的人，也曾被提名过两次奥斯卡金像奖。
entity:artifact:1:ld1-1643381040022-1643381046516-1,artistWikipediaSummary,"Handforth is a town and civil parish in Cheshire, England, 9 miles (14 km) south of Manchester city centre. The population of the parish was 6,715 at the 2021 census. In the 1960s and 1970s, two overspill housing estates, Spath Lane in Handforth, and Colshaw Farm nearby in Wilmslow, were built to re-house people from inner city Manchester. It lies between Wilmslow, Heald Green, and Styal, and forms part of the Greater Manchester Built-up Area."
entity:artifact:1:ld1-1643381040022-1643381046517-0,artistWikipediaSummary,"Handforth is a town and civil parish in Cheshire, England, 9 miles (14 km) south of Manchester city centre. The population of the parish was 6,715 at the 2021 census. In the 1960s and 1970s, two overspill housing estates, Spath Lane in Handforth, and Colshaw Farm nearby in Wilmslow, were built to re-house people from inner city Manchester. It lies between Wilmslow, Heald Green, and Styal, and forms part of the Greater Manchester Built-up Area."
entity:artifact:1:ld1-1643381040022-1643381051352-0,artistWikipediaSummary,Biddle is a surname. Notable people with the surname include:
entity:artifact:1:ld1-1643381040022-1643381053046-1,artistWikipediaSummary,Arroyo is a Spanish surname. Notable people with the surname include:
entity:artifact:1:ld1-1643381040022-1643381054060-0,artistWikipediaSummary,"Albert Pinkham Ryder was an American painter best known for his poetic and moody allegorical works and seascapes, as well as his eccentric personality. While his art shared an emphasis on subtle variations of color with tonalist works of the time, it was unique for accentuating form in a way that some art historians regard as a precursor to modernism."
entity:artifact:1:ld1-1643381040022-1643381055993-0,artistWikipediaSummary,"Vedder is a Dutch and Low German surname. Vedder, related to Dutch vader ('father'), meant 'uncle' in Middle Dutch and Eastern dialects of Dutch. Notable people with the surname include:Adam Swart Vedder (1834–1905), New York state born British Columbian politician, son of Volkert
Amy Vedder, American ecologist and primatologist
Buddy Vedder, Dutch actor and television presenter
Commodore P. Vedder (1838–1910), New York politician
Eddie Vedder, American rock musician, singer, and songwriter
Edward Bright Vedder (1878–1952), U.S. Army physician, researcher of deficiency diseases, and medical educator
Elihu Vedder (1836–1923), American painter, book illustrator, and poet
Eva Vedder, Dutch tennis player
Harmen Albertse Vedder (1635–1715), Dutch settler in New Netherland, forebear of nearly all Vedders in North America
Heinrich Vedder (1876–1972), German missionary, linguist, ethnologist, and historian
Henry Clay Vedder (1853–1935), American Baptist church historian
Jake Vedder, American snowboarder
Jill Vedder née McCormick, American philanthropist, activist and fashion model; wife of Eddie Vedder
John F. D. Vedder (1789–1863), New York politician
Lou Vedder (1897–1990), American bas…"
entity:artifact:1:ld1-1643381040022-1643381057843-0,artistWikipediaSummary,朱尔·阿道夫·艾梅·路易·布勒东 是19世紀法國的自然主義畫家。朱尔‧布勒东的畫作深受法國鄉村的影響，他的畫法吸收了傳統技法，這有助於其成為鄉村生活之美及田園風光的主要宣傳者。
entity:artifact:1:ld1-1643381040022-1643381057909-1,artistWikipediaSummary,"Theodore Wores was an American painter. He was from San Francisco, and travelled extensively including periods in Germany, Japan, Hawaii, and Samoa."
entity:artifact:1:ld1-1643381040022-1643381059156-0,artistWikipediaSummary,"Vershinin or Vershynin is a Russian masculine surname, its feminine counterpart is Vershinina. Notable people with the surname include:Aleksei Vershinin, Russian footballer
Konstantin Vershinin (1900–1973), Soviet Air Force marshal
Viktor Vershinin (1928–1989), Soviet Olympic cyclist
Viktoriya Vershynina, Ukrainian long jumper
Aleksandr Ignatyevich Vershinin, a fictional character in the Anton Chekhov play Three Sisters"
entity:artifact:1:ld1-1643381040022-1643381060180-0,artistWikipediaSummary,"海德 是英格兰大曼徹斯特郡坦姆赛德的一个小镇。它位于斯托克波特东北5英里（8公里），格洛索普以西6英里（10公里），曼彻斯特以东7.2英里（12公里）。人口为34,003人（2011年统计）。"
entity:artifact:1:ld1-1643381040022-1643381060244-1,artistWikipediaSummary,"Albert Kellogg was an American physician and the first resident botanist of California. He was a founding member of the California Academy of Sciences and served as its first curator of botany. Kellogg was a prolific writer and an accomplished illustrator of botanical specimens. In 1882, he published ""The Forest Trees of California"", the first scientific account of the state's diverse forest species."
entity:artifact:1:ld1-1643381040022-1643381060334-0,artistWikipediaSummary,"海德 是英格兰大曼徹斯特郡坦姆赛德的一个小镇。它位于斯托克波特东北5英里（8公里），格洛索普以西6英里（10公里），曼彻斯特以东7.2英里（12公里）。人口为34,003人（2011年统计）。"
entity:artifact:1:ld1-1643381040022-1643381062968-0,artistWikipediaSummary,荷马，相传為古希腊的吟遊诗人，生于小亚细亚，失明，創作了史诗《伊利亚特》和《奥德赛》，两者统称《荷马史诗》。目前沒有确切证据证明荷马的存在，所以也有人认为他是传说中被构造出来的人物。而关于《荷马史诗》，大多数学者认为是当时经过几个世纪口头流传的诗作的结晶。
entity:artifact:1:ld1-1643381040022-1643381064179-0,artistWikipediaSummary,"Stella is a female given name. It is derived from the Latin word for star. It has been in use in English-speaking countries since it was first used by Philip Sidney in Astrophel and Stella, his 1580s sonnet sequence. Use might also have increased due to Stella Maris as a title for the Virgin Mary by Catholics. Alternately, it is a feminine version of the Greek name Stylianos, meaning pillar."
entity:artifact:1:ld1-1643390182193-1643390182369-0,artistWikipediaSummary,"Charles Lang Freer was an American industrialist, art collector, and patron. He is known for his large collection of East Asian, American, and Middle Eastern art. In 1906, Freer donated his extensive collection to the Smithsonian Institution, making him the first American to bequeath his private collection to the United States. To house the objects, including The Peacock Room by James McNeill Whistler, Freer funded the construction of the Freer Gallery of Art in Washington, D.C."
entity:artifact:1:ld1-1643390182193-1643390182438-0,artistWikipediaSummary,"Charles Lang Freer was an American industrialist, art collector, and patron. He is known for his large collection of East Asian, American, and Middle Eastern art. In 1906, Freer donated his extensive collection to the Smithsonian Institution, making him the first American to bequeath his private collection to the United States. To house the objects, including The Peacock Room by James McNeill Whistler, Freer funded the construction of the Freer Gallery of Art in Washington, D.C."
entity:artifact:1:ld1-1643390182193-1643390182789-0,artistWikipediaSummary,"Charles Lang Freer was an American industrialist, art collector, and patron. He is known for his large collection of East Asian, American, and Middle Eastern art. In 1906, Freer donated his extensive collection to the Smithsonian Institution, making him the first American to bequeath his private collection to the United States. To house the objects, including The Peacock Room by James McNeill Whistler, Freer funded the construction of the Freer Gallery of Art in Washington, D.C."
entity:artifact:1:ld1-1643390182193-1643390182964-0,artistWikipediaSummary,"Charles Lang Freer was an American industrialist, art collector, and patron. He is known for his large collection of East Asian, American, and Middle Eastern art. In 1906, Freer donated his extensive collection to the Smithsonian Institution, making him the first American to bequeath his private collection to the United States. To house the objects, including The Peacock Room by James McNeill Whistler, Freer funded the construction of the Freer Gallery of Art in Washington, D.C."
entity:artifact:1:ld1-1643390182193-1643390183003-0,artistWikipediaSummary,"Charles Lang Freer was an American industrialist, art collector, and patron. He is known for his large collection of East Asian, American, and Middle Eastern art. In 1906, Freer donated his extensive collection to the Smithsonian Institution, making him the first American to bequeath his private collection to the United States. To house the objects, including The Peacock Room by James McNeill Whistler, Freer funded the construction of the Freer Gallery of Art in Washington, D.C."
entity:artifact:1:ld1-1643390182193-1643390183661-0,artistWikipediaSummary,"Charles Lang Freer was an American industrialist, art collector, and patron. He is known for his large collection of East Asian, American, and Middle Eastern art. In 1906, Freer donated his extensive collection to the Smithsonian Institution, making him the first American to bequeath his private collection to the United States. To house the objects, including The Peacock Room by James McNeill Whistler, Freer funded the construction of the Freer Gallery of Art in Washington, D.C."
