from,relation,to
entity:artifact:2:100098,bibliography,"Jason C. Kuo, Born of Earth and Fire: Chinese Ceramics from the Scheinman Collection, exh. cat., ed. Jason C. Kuo, Baltimore Museum of Art (College Park, MD, 1992) cat. no. 62"
entity:artifact:2:100099,bibliography,"Frances Klapthor, ""Chinese Ceramics from the Collection of Peter and Irene Scheinman"", Orientations, Orientations Magazine Ltd. (Hong Kong, 1992), vol. 23, no. 9 pp. 53-60, fig. 18 | Jason C. Kuo, Born of Earth and Fire: Chinese Ceramics from the Scheinman Collection, exh. cat., ed. Jason C. Kuo, Baltimore Museum of Art (College Park, MD, 1992) cat. no. 64"
entity:artifact:2:100181,bibliography,"Jason C. Kuo, Born of Earth and Fire: Chinese Ceramics from the Scheinman Collection, exh. cat., ed. Jason C. Kuo, Baltimore Museum of Art (College Park, MD, 1992) p. 84, no. 65 | Robert D. Mowry, Hare's Fur, Tortoiseshell, and Partridge Feathers: Chinese brown- and black-glazed ceramics, 400-1400, exh. cat., Harvard University Art Museums (Cambridge, MA, 1996) pp. 251-252, no. 102"
entity:artifact:2:101784,bibliography,"Frances Klapthor, ""Chinese Ceramics from the Collection of Peter and Irene Scheinman"", Orientations, Orientations Magazine Ltd. (Hong Kong, 1992), vol. 23, no. 9 pp. 53-60, fig. 16 | Jason C. Kuo, Born of Earth and Fire: Chinese Ceramics from the Scheinman Collection, exh. cat., ed. Jason C. Kuo, Baltimore Museum of Art (College Park, MD, 1992) p. 75, no. 53 | Robert D. Mowry, Hare's Fur, Tortoiseshell, and Partridge Feathers: Chinese brown- and black-glazed ceramics, 400-1400, exh. cat., Harvard University Art Museums (Cambridge, MA, 1996) pp. 128-129, no. 28"
entity:artifact:2:101785,bibliography,"Frances Klapthor, ""Chinese Ceramics from the Collection of Peter and Irene Scheinman"", Orientations, Orientations Magazine Ltd. (Hong Kong, 1992), vol. 23, no. 9 pp. 53-60, fig. 17 | Jason C. Kuo, Born of Earth and Fire: Chinese Ceramics from the Scheinman Collection, exh. cat., ed. Jason C. Kuo, Baltimore Museum of Art (College Park, MD, 1992) p. 74, no. 51 | Robert D. Mowry, Hare's Fur, Tortoiseshell, and Partridge Feathers: Chinese brown- and black-glazed ceramics, 400-1400, exh. cat., Harvard University Art Museums (Cambridge, MA, 1996) pp. 127-128, no. 27b"
entity:artifact:2:101796,bibliography,"Frances Klapthor, ""Chinese Ceramics from the Collection of Peter and Irene Scheinman"", Orientations, Orientations Magazine Ltd. (Hong Kong, 1992), vol. 23, no. 9 pp. 53-60, fig. 13 | Jason C. Kuo, Born of Earth and Fire: Chinese Ceramics from the Scheinman Collection, exh. cat., ed. Jason C. Kuo, Baltimore Museum of Art (College Park, MD, 1992) pp. 52-53, no. 25 | Robert D. Mowry, Hare's Fur, Tortoiseshell, and Partridge Feathers: Chinese brown- and black-glazed ceramics, 400-1400, exh. cat., Harvard University Art Museums (Cambridge, MA, 1996) pp. 80-82, no. 1"
entity:artifact:2:117343,bibliography,"Virginia Bower, From Court to Caravan: Chinese Tomb Sculptures from the Collection of Anthony M. Solomon, exh. cat., ed. Robert D. Mowry, Harvard University Art Museums (Cambridge, Mass., 2002) p. 73, cat. no. 1"
entity:artifact:2:117351,bibliography,"Jason C. Kuo, Born of Earth and Fire: Chinese Ceramics from the Scheinman Collection, exh. cat., ed. Jason C. Kuo, Baltimore Museum of Art (College Park, MD, 1992) p. 69, no. 44 | Robert D. Mowry, Hare's Fur, Tortoiseshell, and Partridge Feathers: Chinese brown- and black-glazed ceramics, 400-1400, exh. cat., Harvard University Art Museums (Cambridge, MA, 1996) pp. 145-147, no. 40"
entity:artifact:2:141460,bibliography,"Virginia Bower, From Court to Caravan: Chinese Tomb Sculptures from the Collection of Anthony M. Solomon, exh. cat., ed. Robert D. Mowry, Harvard University Art Museums (Cambridge, Mass., 2002) pp. 85-86, cat. no. 12"
entity:artifact:2:141848,bibliography,"Virginia Bower, From Court to Caravan: Chinese Tomb Sculptures from the Collection of Anthony M. Solomon, exh. cat., ed. Robert D. Mowry, Harvard University Art Museums (Cambridge, Mass., 2002) p. 80, cat. no. 7"
