from,relation,to
entity:artifact:1:ld1-1643381040022-1643381041048-0,description,"1890s Paintings oil on canvas 35 x 22 1/8 in. (88.9 x 56.1 cm.) Barney, Alice Pike; Barney, Natalie Clifford Women; Music; Portraits; Allegory; Arts and sciences"
entity:artifact:1:ld1-1643381040022-1643381041076-1,description,"1920s Drawings pastel on fiberboard 16 x 12 1/8 in. (40.6 x 30.8 cm) Wong, Anna May; Barney, Alice Pike Women; Theater; Portraits; Entertainers"
entity:artifact:1:ld1-1643381040022-1643381042241-1,description,"This painting shows a large pale green urn and a small figure of a Chinese scholar. After the fall of the Qing, Chinaâs last imperial dynasty, hundreds of thousands of porcelains, paintings, and sculptures made their way out of China and into Western hands. A Chinese jar described as âpale green . . . on an ebony standardâ was given as a gift at the society wedding of Countess Alice S. Szechenyi and Count Bela Hadik in 1931. Ruth Payne Burgessâs painting reflects the vogue among fashionable ladies of the 1920s for âOrientalâ gowns and interiors."
entity:artifact:1:ld1-1643381040022-1643381046516-1,description,"1940s; 1890s Drawings pen and ink and brush and ink on paper 8 x 9 1/8 in. (20.3 x 23.2 cm) Handforth, Thomas Figure female; Children"
entity:artifact:1:ld1-1643381040022-1643381046517-0,description,"1940s; 1890s Graphic arts etching on paper 11 1/2 x 9 1/4 in. (29.2 x 23.5 cm) Handforth, Thomas Weapons; Figure male; Dagger"
entity:artifact:1:ld1-1643381040022-1643381049778-0,description,"Graphic arts MacLaughlan, Donald Shaw Landscapes; Forests and forestry; Rivers; Waterscapes"
entity:artifact:1:ld1-1643381040022-1643381049778-1,description,"Graphic arts MacLaughlan, Donald Shaw Trees; Landscapes; Roads; Architecture; Vehicles; Cart"
entity:artifact:1:ld1-1643381040022-1643381049779-0,description,"Graphic arts MacLaughlan, Donald Shaw Trees; Landscapes; Roads"
entity:artifact:1:ld1-1643381040022-1643381049779-1,description,"Graphic arts MacLaughlan, Donald Shaw Trees; Landscapes; Roads"
entity:artifact:1:ld1-1643381040022-1643381049780-0,description,"Graphic arts MacLaughlan, Donald Shaw Landscapes; Animals; Cattle; Forests and forestry"
entity:artifact:1:ld1-1643381040022-1643381049785-0,description,"1910s Graphic arts etching on paper plate: 9 1/2 x 11 7/16 in. (24.2 x 29.0 cm.); sheet... MacLaughlan, Donald Shaw Courting; Boats and boating; Architecture; Recreation; Canals; Gondola; Figure group; Cityscapes; Male and female; Waterscapes"
entity:artifact:1:ld1-1643381040022-1643381051352-0,description,"1830s Graphic arts hand-colored lithograph on paper sheet: 19 5/8 x 13 1/2 in. (49.9 x 34.3 cm) Biddle, E. C.; King, Charles Bird; I. T. Bowen's Lithographic Establishment; TISH-CO-HAN; McKenney and Hall Amusements; Chief; Recreation; Older people; Occupations; Clothing and dress; Men; Portraits; Smoking"
entity:artifact:1:ld1-1643381040022-1643381053046-1,description,"1940s Graphic arts woodcut image: 3 1/8 Ã 2 3/4 in. (7.9 Ã 7.0 cm) Arroyo, Arsacio Vanegas; Posada, JosÃ© Guadalupe Music; Entertainers; Voice"
