from,relation,to
entity:artifact:1:ld1-1643381040022-1643381041048-0,detailUrl,https://n2t.net/ark:/65665/vk762824ae4-956a-4243-9fd1-a625c02962fc
entity:artifact:1:ld1-1643381040022-1643381041076-1,detailUrl,https://n2t.net/ark:/65665/vk7a1ae0b31-0b24-43f5-8f72-7ae516ba0871
entity:artifact:1:ld1-1643381040022-1643381042241-1,detailUrl,https://n2t.net/ark:/65665/vk7d3a91395-36e5-4a15-8a96-d73ce75154a9
entity:artifact:1:ld1-1643381040022-1643381046516-1,detailUrl,https://n2t.net/ark:/65665/vk7d4f7d999-83c4-4158-9101-8ed9973a5f2b
entity:artifact:1:ld1-1643381040022-1643381046517-0,detailUrl,https://n2t.net/ark:/65665/vk7ef2867bb-fbbd-483b-b709-58f005b560ae
entity:artifact:1:ld1-1643381040022-1643381049778-0,detailUrl,https://n2t.net/ark:/65665/vk73bcb2a20-5044-4cda-a1d3-ab834854ad0e
entity:artifact:1:ld1-1643381040022-1643381049778-1,detailUrl,https://n2t.net/ark:/65665/vk756757ea0-14df-4535-83ab-6e1b5fc9e739
entity:artifact:1:ld1-1643381040022-1643381049779-0,detailUrl,https://n2t.net/ark:/65665/vk75eeddc2c-26d8-4f63-a457-cda3355cf494
entity:artifact:1:ld1-1643381040022-1643381049779-1,detailUrl,https://n2t.net/ark:/65665/vk7ca79d2a3-8459-48f5-8f81-a51aa05fc636
entity:artifact:1:ld1-1643381040022-1643381049780-0,detailUrl,https://n2t.net/ark:/65665/vk720256135-4e01-4af8-ab4c-6489c21c0140
entity:artifact:1:ld1-1643381040022-1643381049785-0,detailUrl,https://n2t.net/ark:/65665/vk777fe5ed4-46b9-4286-88c4-2b07cde00b41
entity:artifact:1:ld1-1643381040022-1643381051352-0,detailUrl,https://n2t.net/ark:/65665/vk726b81af0-6f9c-4b6a-9190-1fc7d6a227ee
entity:artifact:1:ld1-1643381040022-1643381053046-1,detailUrl,https://n2t.net/ark:/65665/vk79ecf062e-0566-42e8-9838-8a62d27242bd
entity:artifact:1:ld1-1643381040022-1643381054060-0,detailUrl,https://n2t.net/ark:/65665/vk77132b3b9-02f7-46b4-993e-96a9d302afd1
entity:artifact:1:ld1-1643381040022-1643381054509-0,detailUrl,https://n2t.net/ark:/65665/vk7379acce3-52c5-404d-9efd-baf5ea4ea07b
entity:artifact:1:ld1-1643381040022-1643381055993-0,detailUrl,https://n2t.net/ark:/65665/vk74676fd47-9d03-44a6-9af1-324fdca83b9c
entity:artifact:1:ld1-1643381040022-1643381057843-0,detailUrl,https://n2t.net/ark:/65665/vk73b6812e2-1b93-476f-882a-ab458b04e910
entity:artifact:1:ld1-1643381040022-1643381057909-1,detailUrl,https://n2t.net/ark:/65665/vk7ca3cfe7d-bfc3-4535-817a-53a48bb7f255
entity:artifact:1:ld1-1643381040022-1643381058884-1,detailUrl,https://n2t.net/ark:/65665/vk76843b5d6-2674-435f-984b-10ec83aeb66a
entity:artifact:1:ld1-1643381040022-1643381058893-0,detailUrl,https://n2t.net/ark:/65665/vk7a4f9acaf-4c15-4908-94b7-142c6389be82
entity:artifact:1:ld1-1643381040022-1643381058911-1,detailUrl,https://n2t.net/ark:/65665/vk75ed4db6b-5b8f-4f64-8b95-cd0c9173e5bd
