from,relation,to
entity:artifact:1:ld1-1643381040022-1643381041048-0,dimensions,35 x 22
entity:artifact:1:ld1-1643381040022-1643381041076-1,dimensions,16 x 12
entity:artifact:1:ld1-1643381040022-1643381042241-1,dimensions,8 x 16
entity:artifact:1:ld1-1643381040022-1643381046516-1,dimensions,8 x 9
entity:artifact:1:ld1-1643381040022-1643381046517-0,dimensions,2 x 9
entity:artifact:1:ld1-1643381040022-1643381049785-0,dimensions,2 x 11
entity:artifact:1:ld1-1643381040022-1643381051352-0,dimensions,8 x 13
entity:artifact:1:ld1-1643381040022-1643381054060-0,dimensions,2 x 4
entity:artifact:1:ld1-1643381040022-1643381054509-0,dimensions,42 x 28 in
entity:artifact:1:ld1-1643381040022-1643381055993-0,dimensions,8 x 13
entity:artifact:1:ld1-1643381040022-1643381057909-1,dimensions,4 x 46
entity:artifact:1:ld1-1643381040022-1643381059066-0,dimensions,2 x 18 in
entity:artifact:1:ld1-1643381040022-1643381060180-0,dimensions,2 x 17
entity:artifact:1:ld1-1643381040022-1643381060244-1,dimensions,2 x 4
entity:artifact:1:ld1-1643381040022-1643381060334-0,dimensions,8 x 4
entity:artifact:1:ld1-1643381040022-1643381062968-0,dimensions,8 x 9 in
entity:artifact:1:ld1-1643381040022-1643381064179-0,dimensions,8 x 28
entity:artifact:1:ld1-1643381040022-1643381066734-0,dimensions,2 x 1
entity:artifact:1:ld1-1643381040022-1643381066735-0,dimensions,4 x 3 x 4 in
entity:artifact:1:ld1-1643390182193-1643390182369-0,dimensions,99 x 43.2 cm
entity:artifact:1:ld1-1643390182193-1643390182789-0,dimensions,23.7 x 8.3 cm
entity:artifact:1:ld1-1643390182193-1643390182964-0,dimensions,8.7 x 13.8 cm
entity:artifact:1:ld1-1643390182193-1643390183661-0,dimensions,156.7 x 360.6 cm
entity:artifact:1:ld1-1643390182193-1643390183796-0,dimensions,173.6 x 381.8 cm
entity:artifact:1:ld1-1643390182193-1643390183796-1,dimensions,173.8 x 381.8 cm
entity:artifact:1:ld1-1643390182193-1643390184157-0,dimensions,22 x 21.4 cm
entity:artifact:1:ld1-1643390182193-1643390184220-1,dimensions,435.5 x 311.2 cm
entity:artifact:1:ld1-1643390182193-1643390184307-0,dimensions,152 x 162 cm
entity:artifact:1:ld1-1643390182193-1643390184337-0,dimensions,108.5 x 49.2 cm
entity:artifact:1:ld1-1643390182193-1643390184342-0,dimensions,27.8 x 24.2 cm
entity:artifact:1:ld1-1643390182193-1643390184345-0,dimensions,38.4 x 314.4 cm
entity:artifact:1:ld1-1643390182193-1643390184347-0,dimensions,61.5 x 41 cm
entity:artifact:1:ld1-1643390182193-1643390184613-0,dimensions,3.3 x 9.2 cm
entity:artifact:1:ld1-1643390182193-1643390184722-0,dimensions,200.8 x 55.2 cm
entity:artifact:1:ld1-1643390182193-1643390184723-0,dimensions,42.7 x 65.1 cm
entity:artifact:1:ld1-1643390182193-1643390184728-0,dimensions,24.2 x 24.4 cm
entity:artifact:1:ld1-1643390182193-1643390184737-0,dimensions,35.8 x 26.8 cm
entity:artifact:1:ld1-1643390182193-1643390184810-0,dimensions,14.4 x 16.8 cm
entity:artifact:1:ld1-1643390182193-1643390184821-0,dimensions,22.7 x 9.8 x 9.6 cm
entity:artifact:1:ld1-1643390182193-1643390184828-0,dimensions,94.5 x 45.8 cm
entity:artifact:1:ld1-1643390182193-1643390184854-0,dimensions,25.4 x 36.3 cm
entity:artifact:1:ld1-1643390182193-1643390184879-0,dimensions,27.7 x 271.1 cm
entity:artifact:1:ld1-1643390182193-1643390185006-0,dimensions,24.9 x 21.5 cm
entity:artifact:1:ld1-1643390182193-1643390185147-1,dimensions,28.9 x 28.8 cm
entity:artifact:1:ld1-1643390182193-1643390185158-0,dimensions,81.3 x 53.5 cm
entity:artifact:1:ld1-1643390182193-1643390185171-0,dimensions,168.5 x 73.1 cm
entity:artifact:1:ld1-1643390182193-1643390185239-0,dimensions,216.5 x 50.1 x 606.5 cm
entity:artifact:1:ld1-1643390182193-1643390185382-0,dimensions,12 x 15.8 cm
entity:artifact:1:ld1-1643390182193-1643390185394-1,dimensions,90.7 x 49.3 cm
entity:artifact:1:ld1-1643390182193-1643390185400-0,dimensions,189.3 x 81.4 cm
entity:artifact:1:ld1-1643390182193-1643390185439-0,dimensions,2.5 x 9.7 cm
entity:artifact:1:ld1-1643390182193-1643390185478-0,dimensions,41.8 x 21.5 x 22.3 cm
entity:artifact:1:ld1-1643390182193-1643390185489-0,dimensions,19 x 23.1 cm
entity:artifact:1:ld1-1643390182193-1643390185502-0,dimensions,84.4 x 44 cm
entity:artifact:1:ld1-1643390182193-1643390185503-0,dimensions,14.9 x 29.7 cm
entity:artifact:1:ld1-1643390182193-1643390185504-0,dimensions,6.9 x 18.6 cm
entity:artifact:1:ld1-1643390182193-1643390185557-0,dimensions,109.9 x 52.7 cm
entity:artifact:1:ld1-1643390182193-1643390185859-1,dimensions,15.7 x 1.1 cm
entity:artifact:1:ld1-1643390182193-1643390185861-1,dimensions,13.8 x 1.1 cm
entity:artifact:1:ld1-1643390182193-1643390185863-0,dimensions,8.2 x 1 cm
entity:artifact:1:ld1-1643390182193-1643390185954-0,dimensions,105.4 x 44.4 cm
entity:artifact:1:ld1-1643390182193-1643390185955-0,dimensions,105.3 x 44.4 cm
entity:artifact:1:ld1-1643390182193-1643390185990-0,dimensions,8 x 9.2 cm
entity:artifact:1:ld1-1643390182193-1643390185990-1,dimensions,3.2 x 10.6 cm
entity:artifact:1:ld1-1643390182193-1643390185991-0,dimensions,2.3 x 10.8 cm
entity:artifact:1:ld1-1643390182193-1643390186230-0,dimensions,56.6 x 638.1 cm
entity:artifact:1:ld1-1643390182193-1643390186427-0,dimensions,14.9 x 15.3 x 9 cm
entity:artifact:1:ld1-1643390182193-1643390186431-0,dimensions,42.9 x 19.6 x 14.1 cm
entity:artifact:1:ld1-1643390182193-1643390186434-0,dimensions,14.3 x 9.6 x 5.8 cm
entity:artifact:1:ld1-1643390182193-1643390186435-0,dimensions,32.7 x 13.8 x 11.3 cm
entity:artifact:1:ld1-1643390182193-1643390186438-0,dimensions,28.9 x 13.4 x 14 cm
entity:artifact:1:ld1-1643390182193-1643390186440-0,dimensions,8.9 x 34.9 x 13.8 cm
entity:artifact:1:ld1-1643390182193-1643390186482-0,dimensions,196.2 x 98.2 cm
entity:artifact:1:ld1-1643390182193-1643390186483-0,dimensions,197.5 x 98.4 cm
entity:artifact:1:ld1-1643390182193-1643390186488-0,dimensions,71.7 x 37.5 cm
entity:artifact:1:ld1-1643390182193-1643390186489-0,dimensions,186.2 x 95.1 cm
entity:artifact:1:ld1-1643390182193-1643390186490-0,dimensions,101.7 x 59.6 cm
entity:artifact:1:ld1-1643390182193-1643390186493-0,dimensions,147 x 74.8 cm
entity:artifact:1:ld1-1643390182193-1643390186498-0,dimensions,25.5 x 24.2 cm
entity:artifact:1:ld1-1643390182193-1643390186502-0,dimensions,17.8 x 22.4 cm
entity:artifact:1:ld1-1643390182193-1643390186507-0,dimensions,41.6 x 29.9 cm
entity:artifact:1:ld1-1643390182193-1643390186509-0,dimensions,117.5 x 58.4 cm
entity:artifact:1:ld1-1643390182193-1643390186515-0,dimensions,13.8 x 147.6 cm
entity:artifact:1:ld1-1643390182193-1643390186517-0,dimensions,25.5 x 189.5 cm
entity:artifact:1:ld1-1643390182193-1643390186518-0,dimensions,30 x 469 cm
entity:artifact:1:ld1-1643390182193-1643390186519-0,dimensions,29.6 x 329 cm
entity:artifact:1:ld1-1643390182193-1643390186521-1,dimensions,21.1 x 292.3 cm
entity:artifact:1:ld1-1643390182193-1643390186522-0,dimensions,35.8 x 323.3 cm
entity:artifact:1:ld1-1643390182193-1643390186523-0,dimensions,34.5 x 265.1 cm
entity:artifact:1:ld1-1643390182193-1643390186525-0,dimensions,26.6 x 322.3 cm
entity:artifact:1:ld1-1643390182193-1643390186526-0,dimensions,30 x 1075.6 cm
entity:artifact:1:ld1-1643390182193-1643390186527-0,dimensions,32.3 x 1062.8 cm
entity:artifact:1:ld1-1643390182193-1643390186528-0,dimensions,29.9 x 406.3 cm
entity:artifact:1:ld1-1643390182193-1643390186529-0,dimensions,41 x 278.3 cm
entity:artifact:1:ld1-1643390182193-1643390186534-0,dimensions,24.8 x 92.6 cm
entity:artifact:1:ld1-1643390182193-1643390186536-0,dimensions,34.3 x 236.9 cm
entity:artifact:1:ld1-1643390182193-1643390186539-0,dimensions,26.1 x 446.5 cm
entity:artifact:1:ld1-1643390182193-1643390186541-0,dimensions,30.7 x 255.5 cm
entity:artifact:1:ld1-1643390182193-1643390186542-0,dimensions,53.1 x 170 cm
entity:artifact:1:ld1-1643390182193-1643390186544-0,dimensions,29.7 x 121.1 cm
entity:artifact:1:ld1-1643390182193-1643390186545-1,dimensions,48.3 x 290.2 cm
entity:artifact:1:ld1-1643390182193-1643390186547-0,dimensions,33.8 x 272.6 cm
entity:artifact:1:ld1-1643390182193-1643390186548-0,dimensions,34.9 x 231.8 cm
entity:artifact:1:ld1-1643390182193-1643390186550-0,dimensions,33.9 x 1121.7 cm
entity:artifact:1:ld1-1643390182193-1643390186551-0,dimensions,25 x 116.6 cm
entity:artifact:1:ld1-1643390182193-1643390186552-0,dimensions,26.9 x 125.5 cm
entity:artifact:1:ld1-1643390182193-1643390186553-0,dimensions,36.2 x 293.3 cm
entity:artifact:1:ld1-1643390182193-1643390186554-0,dimensions,31.5 x 623 cm
entity:artifact:1:ld1-1643390182193-1643390186555-0,dimensions,18.6 x 173.9 cm
entity:artifact:1:ld1-1643390182193-1643390186556-0,dimensions,42 x 252 cm
entity:artifact:1:ld1-1643390182193-1643390186558-1,dimensions,39.5 x 64.8 cm
entity:artifact:1:ld1-1643390182193-1643390186560-0,dimensions,23.4 x 19 cm
entity:artifact:1:ld1-1643390182193-1643390186561-0,dimensions,39.5 x 64.8 cm
entity:artifact:1:ld1-1643390182193-1643390186562-0,dimensions,39.5 x 64.8 cm
entity:artifact:1:ld1-1643390182193-1643390186564-1,dimensions,23.4 x 21.3 cm
entity:artifact:1:ld1-1643390182193-1643390186566-0,dimensions,29.5 x 29.1 cm
entity:artifact:1:ld1-1643390182193-1643390186566-1,dimensions,24.2 x 23.8 cm
entity:artifact:1:ld1-1643390182193-1643390186568-0,dimensions,41.4 x 21.8 cm
entity:artifact:1:ld1-1643390182193-1643390186569-0,dimensions,24.6 x 24.7 cm
entity:artifact:1:ld1-1643390182193-1643390186576-0,dimensions,24.2 x 26.5 cm
entity:artifact:1:ld1-1643390182193-1643390186576-1,dimensions,22.4 x 22.8 cm
entity:artifact:1:ld1-1643390182193-1643390186578-0,dimensions,25.1 x 26.1 cm
entity:artifact:1:ld1-1643390182193-1643390186579-0,dimensions,27 x 30.2 cm
entity:artifact:1:ld1-1643390182193-1643390186579-1,dimensions,27.6 x 25.9 cm
entity:artifact:1:ld1-1643390182193-1643390186581-0,dimensions,24.6 x 27.1 cm
entity:artifact:1:ld1-1643390182193-1643390186583-0,dimensions,20.2 x 21.2 cm
entity:artifact:1:ld1-1643390182193-1643390186584-0,dimensions,25.3 x 25.4 cm
entity:artifact:1:ld1-1643390182193-1643390186584-1,dimensions,29.2 x 26.9 cm
entity:artifact:1:ld1-1643390182193-1643390186585-0,dimensions,20.9 x 21.1 cm
entity:artifact:1:ld1-1643390182193-1643390186586-0,dimensions,21.2 x 21 cm
entity:artifact:1:ld1-1643390182193-1643390186587-0,dimensions,27.5 x 27.6 cm
entity:artifact:1:ld1-1643390182193-1643390186589-0,dimensions,19.5 x 22.3 cm
entity:artifact:1:ld1-1643390182193-1643390186590-0,dimensions,29 x 25.7 cm
entity:artifact:1:ld1-1643390182193-1643390186592-0,dimensions,23.1 x 23 cm
entity:artifact:1:ld1-1643390182193-1643390186593-0,dimensions,20.2 x 22.8 cm
entity:artifact:1:ld1-1643390182193-1643390186594-0,dimensions,27.9 x 34.1 cm
entity:artifact:1:ld1-1643390182193-1643390186597-1,dimensions,31.5 x 26.6 cm
entity:artifact:1:ld1-1643390182193-1643390186598-0,dimensions,27.9 x 34.1 cm
entity:artifact:1:ld1-1643390182193-1643390186599-1,dimensions,33.7 x 23.7 cm
entity:artifact:1:ld1-1643390182193-1643390186600-0,dimensions,35 x 25.2 cm
entity:artifact:1:ld1-1643390182193-1643390186606-1,dimensions,32.6 x 26.2 cm
entity:artifact:1:ld1-1643390182193-1643390186607-0,dimensions,30.8 x 25.2 cm
entity:artifact:1:ld1-1643390182193-1643390186608-0,dimensions,29.5 x 24.9 cm
entity:artifact:1:ld1-1643390182193-1643390186608-1,dimensions,30.9 x 22.8 cm
entity:artifact:1:ld1-1643390182193-1643390186609-0,dimensions,24.9 x 31.7 cm
entity:artifact:1:ld1-1643390182193-1643390186610-0,dimensions,32.6 x 26.7 cm
entity:artifact:1:ld1-1643390182193-1643390186611-0,dimensions,23.9 x 29.1 cm
entity:artifact:1:ld1-1643390182193-1643390186615-1,dimensions,23.4 x 21.8 cm
entity:artifact:1:ld1-1643390182193-1643390186616-0,dimensions,23.4 x 21.8 cm
entity:artifact:1:ld1-1643390182193-1643390186617-0,dimensions,23.5 x 21.8 cm
entity:artifact:1:ld1-1643390182193-1643390186618-0,dimensions,23.4 x 21.8 cm
entity:artifact:1:ld1-1643390182193-1643390186619-0,dimensions,23.4 x 21.7 cm
entity:artifact:1:ld1-1643390182193-1643390186620-0,dimensions,23.4 x 21.9 cm
entity:artifact:1:ld1-1643390182193-1643390186621-0,dimensions,23.4 x 21.8 cm
entity:artifact:1:ld1-1643390182193-1643390186621-1,dimensions,23.4 x 21.8 cm
entity:artifact:1:ld1-1643390182193-1643390186622-0,dimensions,38.6 x 28.8 cm
entity:artifact:1:ld1-1643390182193-1643390186623-0,dimensions,44.5 x 30.3 cm
entity:artifact:1:ld1-1643390182193-1643390186628-0,dimensions,29.9 x 23 cm
entity:artifact:1:ld1-1643390182193-1643390186632-0,dimensions,40.2 x 36.2 cm
entity:artifact:1:ld1-1643390182193-1643390186635-0,dimensions,30.8 x 21.4 cm
entity:artifact:1:ld1-1643390182193-1643390186638-0,dimensions,19.6 x 20.4 cm
entity:artifact:1:ld1-1643390182193-1643390186640-0,dimensions,24.7 x 22.8 cm
entity:artifact:1:ld1-1643390182193-1643390186641-0,dimensions,22 x 22.6 cm
entity:artifact:1:ld1-1643390182193-1643390186642-0,dimensions,32.1 x 25.6 cm
entity:artifact:1:ld1-1643390182193-1643390186645-0,dimensions,25.2 x 36.1 cm
