from,relation,to
entity:artifact:2:100098,iiifManifestUrl,https://nrs.harvard.edu/urn-3:huam:VRS95681/manifest
entity:artifact:2:100099,iiifManifestUrl,https://nrs.harvard.edu/urn-3:huam:VRS95682/manifest
entity:artifact:2:100180,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:INV140040/manifest
entity:artifact:2:100181,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:819457/manifest
entity:artifact:2:101448,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:CARP03840/manifest
entity:artifact:2:101449,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:CARP08832/manifest
entity:artifact:2:101784,iiifManifestUrl,https://nrs.harvard.edu/urn-3:huam:VRS95659/manifest
entity:artifact:2:101785,iiifManifestUrl,https://nrs.harvard.edu/urn-3:huam:VRS95660/manifest
entity:artifact:2:101796,iiifManifestUrl,https://nrs.harvard.edu/urn-3:huam:VRS95658/manifest
entity:artifact:2:101906,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:CARP10284/manifest
entity:artifact:2:101922,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:CARP10286/manifest
entity:artifact:2:101923,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:CARP10290/manifest
entity:artifact:2:101938,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:CARP10294/manifest
entity:artifact:2:101939,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:CARP10287/manifest
entity:artifact:2:101940,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:CARP10289/manifest
entity:artifact:2:101941,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:CARP10292/manifest
entity:artifact:2:101946,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:CARP10285/manifest
entity:artifact:2:101947,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:CARP10291/manifest
entity:artifact:2:101948,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:CARP10293/manifest
entity:artifact:2:10916,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:INV026867/manifest
entity:artifact:2:10917,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:INV026870/manifest
entity:artifact:2:10918,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:INV026871/manifest
entity:artifact:2:10919,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:INV026811/manifest
entity:artifact:2:10955,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:INV026869/manifest
entity:artifact:2:10956,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:INV026813/manifest
entity:artifact:2:10957,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:INV026816/manifest
entity:artifact:2:117343,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:VRS95496/manifest
entity:artifact:2:117351,iiifManifestUrl,https://nrs.harvard.edu/urn-3:huam:VRS95663/manifest
entity:artifact:2:12532,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:INV026659/manifest
entity:artifact:2:12533,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:INV026661/manifest
entity:artifact:2:12534,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:INV026681/manifest
entity:artifact:2:12653,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:INV026816/manifest
entity:artifact:2:12851,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:INV026685/manifest
entity:artifact:2:12867,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:INV026670/manifest
entity:artifact:2:12895,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:INV026663/manifest
entity:artifact:2:141460,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:VRS95506/manifest
entity:artifact:2:141848,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:VRS95503/manifest
entity:artifact:2:141855,iiifManifestUrl,https://nrs.harvard.edu/URN-3:HUAM:826047/manifest
entity:artifact:2:141949,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:VRS95506/manifest
entity:artifact:2:142045,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:CARP08279/manifest
entity:artifact:2:142050,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:VRS95501/manifest
entity:artifact:2:142051,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:VRS95501/manifest
entity:artifact:2:142052,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:VRS95504/manifest
entity:artifact:2:142053,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:53949/manifest
entity:artifact:2:142054,iiifManifestUrl,https://nrs.harvard.edu/urn-3:huam:LEG005418/manifest
entity:artifact:2:142055,iiifManifestUrl,https://nrs.harvard.edu/urn-3:huam:LEG005418/manifest
entity:artifact:2:142056,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:LEG001010/manifest
entity:artifact:2:142066,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:VRS95500/manifest
entity:artifact:2:142067,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:VRS95505/manifest
entity:artifact:2:1429,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:79762/manifest
entity:artifact:2:1430,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:61517/manifest
entity:artifact:2:143022,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:DDC105072/manifest
entity:artifact:2:143056,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:CARP03415/manifest
entity:artifact:2:143057,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:CARP08246/manifest
entity:artifact:2:143089,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:CARP03425/manifest
entity:artifact:2:143090,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:CARP00200/manifest
entity:artifact:2:143091,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:CARP00235/manifest
entity:artifact:2:1432,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:VRS95545/manifest
entity:artifact:2:143354,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:CARP00198/manifest
entity:artifact:2:143355,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:CARP08278/manifest
entity:artifact:2:145348,iiifManifestUrl,https://nrs.harvard.edu/urn-3:HUAM:VRS95550/manifest
