from,relation,to
entity:artifact:2:100098,imageCount,2
entity:artifact:2:100099,imageCount,3
entity:artifact:2:100180,imageCount,1
entity:artifact:2:100181,imageCount,2
entity:artifact:2:101448,imageCount,1
entity:artifact:2:101449,imageCount,1
entity:artifact:2:101784,imageCount,2
entity:artifact:2:101785,imageCount,3
entity:artifact:2:101796,imageCount,2
entity:artifact:2:101906,imageCount,1
entity:artifact:2:101922,imageCount,1
entity:artifact:2:101923,imageCount,1
entity:artifact:2:101938,imageCount,1
entity:artifact:2:101939,imageCount,1
entity:artifact:2:101940,imageCount,1
entity:artifact:2:101941,imageCount,1
entity:artifact:2:101946,imageCount,1
entity:artifact:2:101947,imageCount,1
entity:artifact:2:101948,imageCount,1
entity:artifact:2:10916,imageCount,2
entity:artifact:2:10917,imageCount,2
entity:artifact:2:10918,imageCount,2
entity:artifact:2:10919,imageCount,1
entity:artifact:2:10955,imageCount,2
entity:artifact:2:10956,imageCount,1
entity:artifact:2:10957,imageCount,1
entity:artifact:2:117343,imageCount,1
entity:artifact:2:117351,imageCount,2
entity:artifact:2:12532,imageCount,2
entity:artifact:2:12533,imageCount,2
entity:artifact:2:12534,imageCount,2
entity:artifact:2:12653,imageCount,3
entity:artifact:2:12851,imageCount,2
entity:artifact:2:12867,imageCount,2
entity:artifact:2:12895,imageCount,2
entity:artifact:2:141460,imageCount,2
entity:artifact:2:141848,imageCount,1
entity:artifact:2:141855,imageCount,3
entity:artifact:2:141949,imageCount,2
entity:artifact:2:142045,imageCount,1
entity:artifact:2:142050,imageCount,2
entity:artifact:2:142051,imageCount,2
entity:artifact:2:142052,imageCount,1
entity:artifact:2:142053,imageCount,1
entity:artifact:2:142054,imageCount,1
entity:artifact:2:142055,imageCount,1
entity:artifact:2:142056,imageCount,2
entity:artifact:2:142066,imageCount,1
entity:artifact:2:142067,imageCount,1
entity:artifact:2:1429,imageCount,24
entity:artifact:2:1430,imageCount,3
entity:artifact:2:143022,imageCount,1
entity:artifact:2:143056,imageCount,1
entity:artifact:2:143057,imageCount,1
entity:artifact:2:143089,imageCount,1
entity:artifact:2:143090,imageCount,1
entity:artifact:2:143091,imageCount,3
entity:artifact:2:1432,imageCount,1
entity:artifact:2:143354,imageCount,1
entity:artifact:2:143355,imageCount,1
entity:artifact:2:145348,imageCount,1
entity:artifact:2:145349,imageCount,1
entity:artifact:2:145350,imageCount,1
entity:artifact:2:145359,imageCount,1
entity:artifact:2:145437,imageCount,1
entity:artifact:2:146193,imageCount,1
entity:artifact:2:146194,imageCount,1
entity:artifact:2:146195,imageCount,1
entity:artifact:2:146262,imageCount,1
entity:artifact:2:146263,imageCount,3
entity:artifact:2:146264,imageCount,5
entity:artifact:2:146265,imageCount,6
entity:artifact:2:146266,imageCount,7
entity:artifact:2:146267,imageCount,1
entity:artifact:2:146268,imageCount,1
entity:artifact:2:146269,imageCount,2
entity:artifact:2:146431,imageCount,2
entity:artifact:2:146432,imageCount,1
entity:artifact:2:146433,imageCount,2
entity:artifact:2:146434,imageCount,5
entity:artifact:2:146482,imageCount,5
entity:artifact:2:146484,imageCount,3
entity:artifact:2:146486,imageCount,6
entity:artifact:2:146487,imageCount,1
entity:artifact:2:146488,imageCount,1
entity:artifact:2:146489,imageCount,1
entity:artifact:2:146490,imageCount,1
entity:artifact:2:146491,imageCount,2
entity:artifact:2:146492,imageCount,3
entity:artifact:2:146523,imageCount,1
entity:artifact:2:146524,imageCount,9
entity:artifact:2:146525,imageCount,5
entity:artifact:2:146526,imageCount,1
entity:artifact:2:146527,imageCount,2
entity:artifact:2:146528,imageCount,2
entity:artifact:2:146529,imageCount,5
entity:artifact:2:146554,imageCount,2
entity:artifact:2:146559,imageCount,9
entity:artifact:2:146561,imageCount,1
entity:artifact:2:146562,imageCount,1
entity:artifact:2:146563,imageCount,1
entity:artifact:2:146564,imageCount,1
entity:artifact:2:146565,imageCount,5
entity:artifact:2:146566,imageCount,1
entity:artifact:2:146567,imageCount,1
entity:artifact:2:146568,imageCount,1
entity:artifact:2:146569,imageCount,1
entity:artifact:2:146570,imageCount,1
entity:artifact:2:146571,imageCount,1
entity:artifact:2:146575,imageCount,1
entity:artifact:2:146576,imageCount,1
entity:artifact:2:146577,imageCount,1
entity:artifact:2:146578,imageCount,4
entity:artifact:2:146579,imageCount,4
entity:artifact:2:146580,imageCount,8
entity:artifact:2:146583,imageCount,9
entity:artifact:2:146585,imageCount,5
entity:artifact:2:146626,imageCount,6
entity:artifact:2:146627,imageCount,1
entity:artifact:2:146628,imageCount,1
entity:artifact:2:146629,imageCount,1
entity:artifact:2:146693,imageCount,1
entity:artifact:2:146694,imageCount,4
entity:artifact:2:146709,imageCount,2
entity:artifact:2:146710,imageCount,1
entity:artifact:2:146711,imageCount,1
entity:artifact:2:146712,imageCount,2
entity:artifact:2:146713,imageCount,1
entity:artifact:2:146748,imageCount,2
entity:artifact:2:146749,imageCount,1
entity:artifact:2:146750,imageCount,1
entity:artifact:2:146751,imageCount,1
entity:artifact:2:146752,imageCount,1
entity:artifact:2:146753,imageCount,1
entity:artifact:2:146754,imageCount,3
entity:artifact:2:146755,imageCount,1
entity:artifact:2:146756,imageCount,2
entity:artifact:2:146757,imageCount,1
entity:artifact:2:146758,imageCount,2
entity:artifact:2:146759,imageCount,5
entity:artifact:2:146760,imageCount,3
entity:artifact:2:146761,imageCount,2
entity:artifact:2:146771,imageCount,1
entity:artifact:2:146772,imageCount,1
entity:artifact:2:147176,imageCount,1
entity:artifact:2:147177,imageCount,2
entity:artifact:2:147219,imageCount,3
entity:artifact:2:147220,imageCount,2
entity:artifact:2:147441,imageCount,1
entity:artifact:2:147442,imageCount,3
entity:artifact:2:148273,imageCount,2
entity:artifact:2:148274,imageCount,2
entity:artifact:2:148464,imageCount,3
entity:artifact:2:148465,imageCount,2
entity:artifact:2:148466,imageCount,5
entity:artifact:2:148467,imageCount,2
entity:artifact:2:148468,imageCount,2
entity:artifact:2:148469,imageCount,1
entity:artifact:2:148472,imageCount,6
entity:artifact:2:148478,imageCount,3
entity:artifact:2:148479,imageCount,2
entity:artifact:2:148480,imageCount,3
entity:artifact:2:148553,imageCount,5
entity:artifact:2:148554,imageCount,2
entity:artifact:2:148555,imageCount,2
entity:artifact:2:148556,imageCount,2
entity:artifact:2:148608,imageCount,2
entity:artifact:2:148609,imageCount,2
entity:artifact:2:149462,imageCount,2
entity:artifact:2:149463,imageCount,2
entity:artifact:2:149464,imageCount,2
entity:artifact:2:149507,imageCount,2
entity:artifact:2:149508,imageCount,2
entity:artifact:2:149509,imageCount,2
entity:artifact:2:149540,imageCount,1
entity:artifact:2:149541,imageCount,2
entity:artifact:2:149542,imageCount,2
entity:artifact:2:149543,imageCount,2
entity:artifact:2:149544,imageCount,3
entity:artifact:2:149545,imageCount,2
entity:artifact:2:149547,imageCount,2
entity:artifact:2:149551,imageCount,3
entity:artifact:2:149552,imageCount,2
entity:artifact:2:149553,imageCount,2
entity:artifact:2:149554,imageCount,2
entity:artifact:2:149555,imageCount,3
entity:artifact:2:149556,imageCount,1
entity:artifact:2:149557,imageCount,2
entity:artifact:2:149558,imageCount,2
entity:artifact:2:160276,imageCount,2
entity:artifact:2:16235,imageCount,2
entity:artifact:2:16377,imageCount,2
entity:artifact:2:16400,imageCount,2
entity:artifact:2:164893,imageCount,3
entity:artifact:2:164894,imageCount,3
entity:artifact:2:16492,imageCount,2
entity:artifact:2:165054,imageCount,6
entity:artifact:2:165055,imageCount,2
entity:artifact:2:165056,imageCount,1
entity:artifact:2:165242,imageCount,1
entity:artifact:2:165247,imageCount,1
entity:artifact:2:16635,imageCount,1
entity:artifact:2:16636,imageCount,1
entity:artifact:2:16637,imageCount,1
entity:artifact:2:16643,imageCount,1
entity:artifact:2:16700,imageCount,1
entity:artifact:2:167086,imageCount,3
entity:artifact:2:167160,imageCount,2
entity:artifact:2:167598,imageCount,2
entity:artifact:2:167599,imageCount,2
entity:artifact:2:167600,imageCount,2
entity:artifact:2:167601,imageCount,2
entity:artifact:2:167602,imageCount,2
entity:artifact:2:167603,imageCount,7
entity:artifact:2:167756,imageCount,1
entity:artifact:2:167758,imageCount,1
entity:artifact:2:167759,imageCount,2
entity:artifact:2:167760,imageCount,2
entity:artifact:2:16827,imageCount,1
entity:artifact:2:16829,imageCount,1
entity:artifact:2:16891,imageCount,1
entity:artifact:2:169022,imageCount,2
entity:artifact:2:169023,imageCount,2
entity:artifact:2:169025,imageCount,5
entity:artifact:2:16917,imageCount,1
entity:artifact:2:16918,imageCount,1
entity:artifact:2:16925,imageCount,1
entity:artifact:2:16926,imageCount,1
entity:artifact:2:16932,imageCount,1
entity:artifact:2:169456,imageCount,2
entity:artifact:2:169457,imageCount,2
entity:artifact:2:169458,imageCount,5
entity:artifact:2:169493,imageCount,2
entity:artifact:2:169494,imageCount,1
entity:artifact:2:169509,imageCount,1
entity:artifact:2:16956,imageCount,2
entity:artifact:2:16957,imageCount,1
entity:artifact:2:170143,imageCount,1
entity:artifact:2:173145,imageCount,5
entity:artifact:2:173146,imageCount,4
entity:artifact:2:173147,imageCount,2
entity:artifact:2:173148,imageCount,2
entity:artifact:2:173149,imageCount,2
entity:artifact:2:173150,imageCount,2
entity:artifact:2:173592,imageCount,2
entity:artifact:2:173593,imageCount,4
entity:artifact:2:173612,imageCount,3
entity:artifact:2:173613,imageCount,3
entity:artifact:2:173614,imageCount,3
entity:artifact:2:173615,imageCount,2
entity:artifact:2:173616,imageCount,2
entity:artifact:2:173621,imageCount,4
entity:artifact:2:173622,imageCount,3
entity:artifact:2:173623,imageCount,3
entity:artifact:2:173788,imageCount,1
entity:artifact:2:173791,imageCount,1
entity:artifact:2:173817,imageCount,1
entity:artifact:2:173818,imageCount,1
entity:artifact:2:173820,imageCount,1
entity:artifact:2:173849,imageCount,1
entity:artifact:2:173850,imageCount,1
entity:artifact:2:174153,imageCount,1
entity:artifact:2:174154,imageCount,1
entity:artifact:2:174173,imageCount,2
entity:artifact:2:174174,imageCount,4
entity:artifact:2:174175,imageCount,3
entity:artifact:2:174176,imageCount,2
entity:artifact:2:174177,imageCount,2
entity:artifact:2:174249,imageCount,2
entity:artifact:2:174250,imageCount,2
entity:artifact:2:174251,imageCount,2
entity:artifact:2:174253,imageCount,1
entity:artifact:2:174254,imageCount,1
entity:artifact:2:174432,imageCount,3
entity:artifact:2:174433,imageCount,1
entity:artifact:2:174435,imageCount,1
entity:artifact:2:174440,imageCount,1
entity:artifact:2:174441,imageCount,1
entity:artifact:2:174444,imageCount,5
entity:artifact:2:174445,imageCount,2
entity:artifact:2:174446,imageCount,1
entity:artifact:2:174780,imageCount,1
entity:artifact:2:174782,imageCount,2
entity:artifact:2:174783,imageCount,1
entity:artifact:2:174784,imageCount,2
entity:artifact:2:174785,imageCount,2
entity:artifact:2:174786,imageCount,3
entity:artifact:2:174787,imageCount,2
entity:artifact:2:174788,imageCount,2
entity:artifact:2:174841,imageCount,1
entity:artifact:2:174843,imageCount,2
entity:artifact:2:174844,imageCount,1
entity:artifact:2:174845,imageCount,1
entity:artifact:2:174846,imageCount,1
entity:artifact:2:174848,imageCount,6
entity:artifact:2:174849,imageCount,2
entity:artifact:2:174850,imageCount,4
entity:artifact:2:174902,imageCount,1
entity:artifact:2:174903,imageCount,5
entity:artifact:2:174965,imageCount,1
entity:artifact:2:174966,imageCount,4
entity:artifact:2:174967,imageCount,4
entity:artifact:2:174968,imageCount,8
entity:artifact:2:174969,imageCount,1
entity:artifact:2:175140,imageCount,1
entity:artifact:2:175141,imageCount,1
entity:artifact:2:175142,imageCount,6
entity:artifact:2:175143,imageCount,6
entity:artifact:2:175364,imageCount,1
entity:artifact:2:175365,imageCount,1
entity:artifact:2:175366,imageCount,3
entity:artifact:2:175367,imageCount,1
entity:artifact:2:175369,imageCount,1
entity:artifact:2:175370,imageCount,1
entity:artifact:2:175371,imageCount,1
entity:artifact:2:175372,imageCount,1
entity:artifact:2:175400,imageCount,1
entity:artifact:2:175403,imageCount,2
entity:artifact:2:175805,imageCount,1
entity:artifact:2:175806,imageCount,1
entity:artifact:2:175807,imageCount,1
entity:artifact:2:175808,imageCount,1
entity:artifact:2:175809,imageCount,1
entity:artifact:2:176272,imageCount,7
entity:artifact:2:176273,imageCount,5
entity:artifact:2:176274,imageCount,1
entity:artifact:2:176275,imageCount,1
entity:artifact:2:176276,imageCount,1
entity:artifact:2:176277,imageCount,1
entity:artifact:2:176278,imageCount,1
entity:artifact:2:176279,imageCount,1
entity:artifact:2:176359,imageCount,2
entity:artifact:2:176360,imageCount,2
entity:artifact:2:176362,imageCount,1
entity:artifact:2:176363,imageCount,2
entity:artifact:2:176365,imageCount,2
entity:artifact:2:176366,imageCount,2
entity:artifact:2:176367,imageCount,1
entity:artifact:2:176368,imageCount,1
entity:artifact:2:176369,imageCount,1
entity:artifact:2:176655,imageCount,6
entity:artifact:2:176656,imageCount,5
entity:artifact:2:176657,imageCount,2
entity:artifact:2:176658,imageCount,2
entity:artifact:2:176659,imageCount,2
entity:artifact:2:176660,imageCount,1
entity:artifact:2:176661,imageCount,1
entity:artifact:2:176662,imageCount,1
entity:artifact:2:176663,imageCount,1
entity:artifact:2:176664,imageCount,1
entity:artifact:2:176893,imageCount,2
entity:artifact:2:176894,imageCount,2
entity:artifact:2:176895,imageCount,2
entity:artifact:2:176896,imageCount,2
entity:artifact:2:176897,imageCount,6
entity:artifact:2:176898,imageCount,5
entity:artifact:2:176899,imageCount,1
entity:artifact:2:176900,imageCount,1
entity:artifact:2:176901,imageCount,1
entity:artifact:2:176902,imageCount,1
entity:artifact:2:176954,imageCount,2
entity:artifact:2:176955,imageCount,3
entity:artifact:2:176956,imageCount,2
entity:artifact:2:176957,imageCount,2
entity:artifact:2:176958,imageCount,3
entity:artifact:2:176960,imageCount,2
entity:artifact:2:176962,imageCount,5
entity:artifact:2:176963,imageCount,1
entity:artifact:2:176964,imageCount,1
entity:artifact:2:176965,imageCount,2
entity:artifact:2:176966,imageCount,2
entity:artifact:2:176967,imageCount,2
entity:artifact:2:176968,imageCount,2
entity:artifact:2:176969,imageCount,2
entity:artifact:2:176970,imageCount,2
