from,relation,to
entity:artifact:2:100098,imagePaths,C:\Users\Administrator\Desktop\harvard\harvard\100098_1.jpg | C:\Users\Administrator\Desktop\harvard\harvard\100098_2.jpg
entity:artifact:2:100099,imagePaths,C:\Users\Administrator\Desktop\harvard\harvard\100099_1.jpg | C:\Users\Administrator\Desktop\harvard\harvard\100099_2.jpg | C:\Users\Administrator\Desktop\harvard\harvard\100099_3.jpg
entity:artifact:2:100180,imagePaths,C:\Users\Administrator\Desktop\harvard\harvard\100180_1.jpg
entity:artifact:2:100181,imagePaths,C:\Users\Administrator\Desktop\harvard\harvard\100181_1.jpg | C:\Users\Administrator\Desktop\harvard\harvard\100181_2.jpg
entity:artifact:2:101448,imagePaths,C:\Users\Administrator\Desktop\harvard\harvard\101448_1.jpg
entity:artifact:2:101449,imagePaths,C:\Users\Administrator\Desktop\harvard\harvard\101449_1.jpg
entity:artifact:2:101784,imagePaths,C:\Users\Administrator\Desktop\harvard\harvard\101784_1.jpg | C:\Users\Administrator\Desktop\harvard\harvard\101784_2.jpg
entity:artifact:2:101785,imagePaths,C:\Users\Administrator\Desktop\harvard\harvard\101785_1.jpg | C:\Users\Administrator\Desktop\harvard\harvard\101785_2.jpg | C:\Users\Administrator\Desktop\harvard\harvard\101785_3.jpg
entity:artifact:2:101796,imagePaths,C:\Users\Administrator\Desktop\harvard\harvard\101796_1.jpg | C:\Users\Administrator\Desktop\harvard\harvard\101796_2.jpg
entity:artifact:2:101906,imagePaths,C:\Users\Administrator\Desktop\harvard\harvard\101906_1.jpg
entity:artifact:2:101922,imagePaths,C:\Users\Administrator\Desktop\harvard\harvard\101922_1.jpg
entity:artifact:2:101923,imagePaths,C:\Users\Administrator\Desktop\harvard\harvard\101923_1.jpg
entity:artifact:2:101938,imagePaths,C:\Users\Administrator\Desktop\harvard\harvard\101938_1.jpg
entity:artifact:2:101939,imagePaths,C:\Users\Administrator\Desktop\harvard\harvard\101939_1.jpg
entity:artifact:2:101940,imagePaths,C:\Users\Administrator\Desktop\harvard\harvard\101940_1.jpg
entity:artifact:2:101941,imagePaths,C:\Users\Administrator\Desktop\harvard\harvard\101941_1.jpg
entity:artifact:2:101946,imagePaths,C:\Users\Administrator\Desktop\harvard\harvard\101946_1.jpg
entity:artifact:2:101947,imagePaths,C:\Users\Administrator\Desktop\harvard\harvard\101947_1.jpg
