from,relation,to
entity:artifact:1:ld1-1643381040022-1643381041048-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1952.13.56_1.jpg
entity:artifact:1:ld1-1643381040022-1643381041076-1,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1966.111.19_1.jpg
entity:artifact:1:ld1-1643381040022-1643381042241-1,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1929.6.10_1.jpg
entity:artifact:1:ld1-1643381040022-1643381046516-1,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1983.90.64_1.jpg
entity:artifact:1:ld1-1643381040022-1643381046517-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1983.90.63_1.jpg
entity:artifact:1:ld1-1643381040022-1643381049778-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1974.85.49_1.jpg
entity:artifact:1:ld1-1643381040022-1643381049778-1,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1974.85.66_1.jpg
entity:artifact:1:ld1-1643381040022-1643381049779-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1974.85.45_1.jpg
entity:artifact:1:ld1-1643381040022-1643381049779-1,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1974.85.46_1.jpg
entity:artifact:1:ld1-1643381040022-1643381049780-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1974.85.55_1.jpg
entity:artifact:1:ld1-1643381040022-1643381049785-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1974.85.64_1.jpg
entity:artifact:1:ld1-1643381040022-1643381051352-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1985.66.153283_1.jpg
entity:artifact:1:ld1-1643381040022-1643381053046-1,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1971.439.38_1.jpg
entity:artifact:1:ld1-1643381040022-1643381054060-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1929.6.103_1.jpg
entity:artifact:1:ld1-1643381040022-1643381054509-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1985.66.165718_1.jpg
entity:artifact:1:ld1-1643381040022-1643381055993-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1978.108.10_2.jpg
entity:artifact:1:ld1-1643381040022-1643381057843-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1973.130.186_1.jpg
entity:artifact:1:ld1-1643381040022-1643381057909-1,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1972.153_1.jpg
entity:artifact:1:ld1-1643381040022-1643381058884-1,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1929.8.559.1_1.jpg
entity:artifact:1:ld1-1643381040022-1643381058893-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1935.8.11_1.jpg
entity:artifact:1:ld1-1643381040022-1643381058911-1,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1939.4.216_1.jpg
entity:artifact:1:ld1-1643381040022-1643381058913-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1939.4.219_1.jpg
entity:artifact:1:ld1-1643381040022-1643381058914-1,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1939.4.1006_1.jpg
entity:artifact:1:ld1-1643381040022-1643381058918-1,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1939.4.1013_1.jpg
entity:artifact:1:ld1-1643381040022-1643381058919-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1939.4.1015_1.jpg
entity:artifact:1:ld1-1643381040022-1643381058925-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1939.4.1026_1.jpg
entity:artifact:1:ld1-1643381040022-1643381058946-1,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1956.6.33_1.jpg
entity:artifact:1:ld1-1643381040022-1643381059066-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1959.16.3_4.jpg
entity:artifact:1:ld1-1643381040022-1643381059156-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1929.8.311_1.jpg
entity:artifact:1:ld1-1643381040022-1643381060180-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1992.13.56_1.jpg
entity:artifact:1:ld1-1643381040022-1643381060244-1,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1992.66.22_1.jpg
entity:artifact:1:ld1-1643381040022-1643381060334-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1992.13.8_1.jpg
entity:artifact:1:ld1-1643381040022-1643381062968-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1996.63.94_1.jpg
entity:artifact:1:ld1-1643381040022-1643381064179-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-2000.11_3.jpg
entity:artifact:1:ld1-1643381040022-1643381066704-1,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1918.5.27B_1.jpg
entity:artifact:1:ld1-1643381040022-1643381066706-1,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1918.5.31_1.jpg
entity:artifact:1:ld1-1643381040022-1643381066708-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1918.5.36_1.jpg
entity:artifact:1:ld1-1643381040022-1643381066734-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1918.5.87_1.jpg
entity:artifact:1:ld1-1643381040022-1643381066735-0,imageUrl,https://ids.si.edu/ids/download?id=SAAM-1918.5.89_1.jpg
entity:artifact:1:ld1-1643390182193-1643390182369-0,imageUrl,https://ids.si.edu/ids/download?id=FS-6389_01.jpg
entity:artifact:1:ld1-1643390182193-1643390182438-0,imageUrl,https://ids.si.edu/ids/download?id=FS-8148_04.jpg
entity:artifact:1:ld1-1643390182193-1643390182789-0,imageUrl,https://ids.si.edu/ids/download?id=FS-7920_15.jpg
entity:artifact:1:ld1-1643390182193-1643390182964-0,imageUrl,https://ids.si.edu/ids/download?id=FS-7003_06.jpg
entity:artifact:1:ld1-1643390182193-1643390183003-0,imageUrl,https://ids.si.edu/ids/download?id=FS-7972_23.jpg
entity:artifact:1:ld1-1643390182193-1643390183661-0,imageUrl,https://ids.si.edu/ids/download?id=FS-5338_01.jpg
entity:artifact:1:ld1-1643390182193-1643390183697-0,imageUrl,https://ids.si.edu/ids/download?id=FS-7968_01.jpg
entity:artifact:1:ld1-1643390182193-1643390183796-0,imageUrl,https://ids.si.edu/ids/download?id=FS-8228_04.jpg
entity:artifact:1:ld1-1643390182193-1643390183796-1,imageUrl,https://ids.si.edu/ids/download?id=FS-8228_05.jpg
entity:artifact:1:ld1-1643390182193-1643390183898-0,imageUrl,https://ids.si.edu/ids/download?id=FS-5836_01.jpg
entity:artifact:1:ld1-1643390182193-1643390184155-0,imageUrl,https://ids.si.edu/ids/download?id=FS-5113_04.jpg
entity:artifact:1:ld1-1643390182193-1643390184156-0,imageUrl,https://ids.si.edu/ids/download?id=FS-5113_05.jpg
entity:artifact:1:ld1-1643390182193-1643390184157-0,imageUrl,https://ids.si.edu/ids/download?id=FS-7359_04.jpg
entity:artifact:1:ld1-1643390182193-1643390184158-0,imageUrl,https://ids.si.edu/ids/download?id=FS-7043_06.jpg
entity:artifact:1:ld1-1643390182193-1643390184159-0,imageUrl,https://ids.si.edu/ids/download?id=FS-5113_07.jpg
entity:artifact:1:ld1-1643390182193-1643390184220-1,imageUrl,https://ids.si.edu/ids/download?id=FS-8542_04.jpg
entity:artifact:1:ld1-1643390182193-1643390184307-0,imageUrl,https://ids.si.edu/ids/download?id=FS-7228_12.jpg
entity:artifact:1:ld1-1643390182193-1643390184337-0,imageUrl,https://ids.si.edu/ids/download?id=FS-5615_03.jpg
entity:artifact:1:ld1-1643390182193-1643390184342-0,imageUrl,https://ids.si.edu/ids/download?id=FS-6541_02.jpg
entity:artifact:1:ld1-1643390182193-1643390184345-0,imageUrl,https://ids.si.edu/ids/download?id=FS-6047_03.jpg
entity:artifact:1:ld1-1643390182193-1643390184347-0,imageUrl,https://ids.si.edu/ids/download?id=FS-5615_08.jpg
entity:artifact:1:ld1-1643390182193-1643390184613-0,imageUrl,https://ids.si.edu/ids/download?id=FS-7786_02.jpg
entity:artifact:1:ld1-1643390182193-1643390184722-0,imageUrl,https://ids.si.edu/ids/download?id=FS-5452_01.jpg
entity:artifact:1:ld1-1643390182193-1643390184723-0,imageUrl,https://ids.si.edu/ids/download?id=FS-8494_01.jpg
entity:artifact:1:ld1-1643390182193-1643390184728-0,imageUrl,https://ids.si.edu/ids/download?id=FS-6541_04.jpg
entity:artifact:1:ld1-1643390182193-1643390184737-0,imageUrl,https://ids.si.edu/ids/download?id=FS-6907_01.jpg
entity:artifact:1:ld1-1643390182193-1643390184810-0,imageUrl,https://ids.si.edu/ids/download?id=FS-5546_01.jpg
entity:artifact:1:ld1-1643390182193-1643390184821-0,imageUrl,https://ids.si.edu/ids/download?id=FS-5114_01.jpg
entity:artifact:1:ld1-1643390182193-1643390184828-0,imageUrl,https://ids.si.edu/ids/download?id=FS-5621_02.jpg
entity:artifact:1:ld1-1643390182193-1643390184854-0,imageUrl,https://ids.si.edu/ids/download?id=FS-5621_12.jpg
entity:artifact:1:ld1-1643390182193-1643390184879-0,imageUrl,https://ids.si.edu/ids/download?id=FS-7472_04.jpg
entity:artifact:1:ld1-1643390182193-1643390185005-0,imageUrl,https://ids.si.edu/ids/download?id=FS-7347_03.jpg
entity:artifact:1:ld1-1643390182193-1643390185006-0,imageUrl,https://ids.si.edu/ids/download?id=FS-7347_05.jpg
entity:artifact:1:ld1-1643390182193-1643390185007-0,imageUrl,https://ids.si.edu/ids/download?id=FS-7347_10.jpg
entity:artifact:1:ld1-1643390182193-1643390185009-0,imageUrl,https://ids.si.edu/ids/download?id=FS-5114_02.jpg
entity:artifact:1:ld1-1643390182193-1643390185010-0,imageUrl,https://ids.si.edu/ids/download?id=FS-5114_03.jpg
entity:artifact:1:ld1-1643390182193-1643390185011-0,imageUrl,https://ids.si.edu/ids/download?id=FS-5836_02.jpg
entity:artifact:1:ld1-1643390182193-1643390185115-1,imageUrl,https://ids.si.edu/ids/download?id=FS-F1905.220_001.jpg
entity:artifact:1:ld1-1643390182193-1643390185147-1,imageUrl,https://ids.si.edu/ids/download?id=FS-5243_02.jpg
entity:artifact:1:ld1-1643390182193-1643390185158-0,imageUrl,https://ids.si.edu/ids/download?id=FS-5600_06.jpg
entity:artifact:1:ld1-1643390182193-1643390185171-0,imageUrl,https://ids.si.edu/ids/download?id=FS-5609_02.jpg
entity:artifact:1:ld1-1643390182193-1643390185212-0,imageUrl,https://ids.si.edu/ids/download?id=FS-8041_22.jpg
entity:artifact:1:ld1-1643390182193-1643390185213-0,imageUrl,https://ids.si.edu/ids/download?id=FS-8041_25.jpg
entity:artifact:1:ld1-1643390182193-1643390185233-0,imageUrl,https://ids.si.edu/ids/download?id=FS-7347_22.jpg
entity:artifact:1:ld1-1643390182193-1643390185239-0,imageUrl,https://ids.si.edu/ids/download?id=FS-F1906.42a-l_001.jpg
entity:artifact:1:ld1-1643390182193-1643390185379-0,imageUrl,https://ids.si.edu/ids/download?id=FS-7361_38.jpg
entity:artifact:1:ld1-1643390182193-1643390185380-0,imageUrl,https://ids.si.edu/ids/download?id=FS-7361_40.jpg
entity:artifact:1:ld1-1643390182193-1643390185381-0,imageUrl,https://ids.si.edu/ids/download?id=FS-5836_03.jpg
entity:artifact:1:ld1-1643390182193-1643390185382-0,imageUrl,https://ids.si.edu/ids/download?id=FS-7445_03.jpg
entity:artifact:1:ld1-1643390182193-1643390185382-1,imageUrl,https://ids.si.edu/ids/download?id=FS-7361_43.jpg
entity:artifact:1:ld1-1643390182193-1643390185383-0,imageUrl,https://ids.si.edu/ids/download?id=FS-7361_45.jpg
entity:artifact:1:ld1-1643390182193-1643390185394-1,imageUrl,https://ids.si.edu/ids/download?id=FS-7997_01.jpg
entity:artifact:1:ld1-1643390182193-1643390185400-0,imageUrl,https://ids.si.edu/ids/download?id=FS-5609_06.jpg
entity:artifact:1:ld1-1643390182193-1643390185439-0,imageUrl,https://ids.si.edu/ids/download?id=FS-5836_04.jpg
entity:artifact:1:ld1-1643390182193-1643390185475-0,imageUrl,https://ids.si.edu/ids/download?id=FS-8101_19.jpg
entity:artifact:1:ld1-1643390182193-1643390185476-0,imageUrl,https://ids.si.edu/ids/download?id=FS-7372_03.jpg
entity:artifact:1:ld1-1643390182193-1643390185477-0,imageUrl,https://ids.si.edu/ids/download?id=FS-7926_02.jpg
entity:artifact:1:ld1-1643390182193-1643390185478-0,imageUrl,https://ids.si.edu/ids/download?id=FS-7877_01.jpg
