from,relation,to
entity:artifact:2:100098,imageUrls,"https://nrs.harvard.edu/urn-3:huam:VRS95681_dynmc/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:CARP08357_dynmc/full/!800,800/0/default.jpg"
entity:artifact:2:100099,imageUrls,"https://nrs.harvard.edu/urn-3:huam:VRS95682_dynmc/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:CARP08383_dynmc/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:CARP08384_dynmc/full/!800,800/0/default.jpg"
entity:artifact:2:100180,imageUrls,"https://nrs.harvard.edu/urn-3:HUAM:INV140040_dynmc/full/!800,800/0/default.jpg"
entity:artifact:2:100181,imageUrls,"https://nrs.harvard.edu/urn-3:HUAM:819457/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:819456/full/!800,800/0/default.jpg"
entity:artifact:2:101448,imageUrls,"https://nrs.harvard.edu/urn-3:HUAM:CARP03840_dynmc/full/!800,800/0/default.jpg"
entity:artifact:2:101449,imageUrls,"https://nrs.harvard.edu/urn-3:HUAM:CARP08832_dynmc/full/!800,800/0/default.jpg"
entity:artifact:2:101784,imageUrls,"https://nrs.harvard.edu/urn-3:huam:VRS95659_dynmc/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:CARP08387_dynmc/full/!800,800/0/default.jpg"
entity:artifact:2:101785,imageUrls,"https://nrs.harvard.edu/urn-3:huam:VRS95660_dynmc/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:VRS39389_dynmc/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:CARP08366_dynmc/full/!800,800/0/default.jpg"
entity:artifact:2:101796,imageUrls,"https://nrs.harvard.edu/urn-3:huam:VRS95658_dynmc/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:CARP08653_dynmc/full/!800,800/0/default.jpg"
entity:artifact:2:101906,imageUrls,"https://nrs.harvard.edu/urn-3:HUAM:CARP10284_dynmc/full/!800,800/0/default.jpg"
entity:artifact:2:101922,imageUrls,"https://nrs.harvard.edu/urn-3:HUAM:CARP10286_dynmc/full/!800,800/0/default.jpg"
entity:artifact:2:101923,imageUrls,"https://nrs.harvard.edu/urn-3:HUAM:CARP10290_dynmc/full/!800,800/0/default.jpg"
entity:artifact:2:101938,imageUrls,"https://nrs.harvard.edu/urn-3:HUAM:CARP10294_dynmc/full/!800,800/0/default.jpg"
entity:artifact:2:101939,imageUrls,"https://nrs.harvard.edu/urn-3:HUAM:CARP10287_dynmc/full/!800,800/0/default.jpg"
entity:artifact:2:101940,imageUrls,"https://nrs.harvard.edu/urn-3:HUAM:CARP10289_dynmc/full/!800,800/0/default.jpg"
entity:artifact:2:101941,imageUrls,"https://nrs.harvard.edu/urn-3:HUAM:CARP10292_dynmc/full/!800,800/0/default.jpg"
entity:artifact:2:101946,imageUrls,"https://nrs.harvard.edu/urn-3:HUAM:CARP10285_dynmc/full/!800,800/0/default.jpg"
entity:artifact:2:101947,imageUrls,"https://nrs.harvard.edu/urn-3:HUAM:CARP10291_dynmc/full/!800,800/0/default.jpg"
entity:artifact:2:101948,imageUrls,"https://nrs.harvard.edu/urn-3:HUAM:CARP10293_dynmc/full/!800,800/0/default.jpg"
entity:artifact:2:10916,imageUrls,"https://nrs.harvard.edu/urn-3:HUAM:INV026867_dynmc/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:INV026822_dynmc/full/!800,800/0/default.jpg"
entity:artifact:2:10917,imageUrls,"https://nrs.harvard.edu/urn-3:HUAM:INV026870_dynmc/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:INV026825_dynmc/full/!800,800/0/default.jpg"
entity:artifact:2:10918,imageUrls,"https://nrs.harvard.edu/urn-3:HUAM:INV026871_dynmc/full/!800,800/0/default.jpg | https://nrs.harvard.edu/urn-3:HUAM:INV026826_dynmc/full/!800,800/0/default.jpg"
entity:artifact:2:10919,imageUrls,"https://nrs.harvard.edu/urn-3:HUAM:INV026811_dynmc/full/!800,800/0/default.jpg"
