from,relation,to
entity:artifact:1:ld1-1643381040022-1643381041048-0,materialBase,canvas | oil
entity:artifact:1:ld1-1643381040022-1643381042241-1,materialBase,canvas | oil
entity:artifact:1:ld1-1643381040022-1643381046516-1,materialBase,paper | ink
entity:artifact:1:ld1-1643381040022-1643381046517-0,materialBase,paper
entity:artifact:1:ld1-1643381040022-1643381049785-0,materialBase,paper
entity:artifact:1:ld1-1643381040022-1643381051352-0,materialBase,pigment | paper
entity:artifact:1:ld1-1643381040022-1643381054060-0,materialBase,wood | oil
entity:artifact:1:ld1-1643381040022-1643381054509-0,materialBase,canvas | oil
entity:artifact:1:ld1-1643381040022-1643381055993-0,materialBase,paper | ink
entity:artifact:1:ld1-1643381040022-1643381057843-0,materialBase,paper | wood
entity:artifact:1:ld1-1643381040022-1643381057909-1,materialBase,canvas | oil
entity:artifact:1:ld1-1643381040022-1643381058884-1,materialBase,wood
entity:artifact:1:ld1-1643381040022-1643381058893-0,materialBase,ivory | paper
entity:artifact:1:ld1-1643381040022-1643381058911-1,materialBase,textile | ivory | paper
entity:artifact:1:ld1-1643381040022-1643381058913-0,materialBase,textile | paper | wood
entity:artifact:1:ld1-1643381040022-1643381058914-1,materialBase,enamel | metal
entity:artifact:1:ld1-1643381040022-1643381058918-1,materialBase,ivory
entity:artifact:1:ld1-1643381040022-1643381058919-0,materialBase,shell
entity:artifact:1:ld1-1643381040022-1643381058925-0,materialBase,textile | ivory
entity:artifact:1:ld1-1643381040022-1643381058946-1,materialBase,wood
entity:artifact:1:ld1-1643381040022-1643381059066-0,materialBase,ivory | silk
entity:artifact:1:ld1-1643381040022-1643381059156-0,materialBase,glass
entity:artifact:1:ld1-1643381040022-1643381060180-0,materialBase,paper | pigment
entity:artifact:1:ld1-1643381040022-1643381060244-1,materialBase,paper
entity:artifact:1:ld1-1643381040022-1643381060334-0,materialBase,paper | pigment
entity:artifact:1:ld1-1643381040022-1643381062968-0,materialBase,paper | wood
entity:artifact:1:ld1-1643381040022-1643381064179-0,materialBase,canvas | oil
entity:artifact:1:ld1-1643381040022-1643381066704-1,materialBase,ivory
entity:artifact:1:ld1-1643381040022-1643381066706-1,materialBase,ivory
entity:artifact:1:ld1-1643381040022-1643381066708-0,materialBase,ivory
entity:artifact:1:ld1-1643381040022-1643381066735-0,materialBase,silver | enamel
entity:artifact:1:ld1-1643390182193-1643390182369-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390182438-0,materialBase,bronze
entity:artifact:1:ld1-1643390182193-1643390182789-0,materialBase,earthenware | copper
entity:artifact:1:ld1-1643390182193-1643390182964-0,materialBase,earthenware | wood
entity:artifact:1:ld1-1643390182193-1643390183003-0,materialBase,earthenware | lacquer | gold
entity:artifact:1:ld1-1643390182193-1643390183661-0,materialBase,paper | pigment | gold | ink
entity:artifact:1:ld1-1643390182193-1643390183697-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390183796-0,materialBase,paper | pigment | gold | ink
entity:artifact:1:ld1-1643390182193-1643390183796-1,materialBase,paper | pigment | gold | ink
entity:artifact:1:ld1-1643390182193-1643390183898-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390184155-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390184156-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390184157-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390184158-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390184159-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390184220-1,materialBase,gold | silk
entity:artifact:1:ld1-1643390182193-1643390184307-0,materialBase,paper | pigment | gold
entity:artifact:1:ld1-1643390182193-1643390184337-0,materialBase,paper | ink
entity:artifact:1:ld1-1643390182193-1643390184342-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390184345-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390184347-0,materialBase,canvas | gold
entity:artifact:1:ld1-1643390182193-1643390184613-0,materialBase,lacquer
entity:artifact:1:ld1-1643390182193-1643390184722-0,materialBase,paper | ink
entity:artifact:1:ld1-1643390182193-1643390184723-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390184728-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390184737-0,materialBase,paper | ink
entity:artifact:1:ld1-1643390182193-1643390184810-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390184821-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390184828-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390184854-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390184879-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390185005-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185006-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185007-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185009-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185010-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185011-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185115-1,materialBase,textile
entity:artifact:1:ld1-1643390182193-1643390185147-1,materialBase,silk | ink
entity:artifact:1:ld1-1643390182193-1643390185158-0,materialBase,textile
entity:artifact:1:ld1-1643390182193-1643390185171-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390185212-0,materialBase,silk | ink
entity:artifact:1:ld1-1643390182193-1643390185213-0,materialBase,silk | ink
entity:artifact:1:ld1-1643390182193-1643390185233-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185239-0,materialBase,pigment | lacquer | gold
entity:artifact:1:ld1-1643390182193-1643390185379-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185380-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185381-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185382-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185382-1,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185383-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185394-1,materialBase,silk | ink
entity:artifact:1:ld1-1643390182193-1643390185400-0,materialBase,silk | pigment | ink
entity:artifact:1:ld1-1643390182193-1643390185439-0,materialBase,earthenware | copper | metal
entity:artifact:1:ld1-1643390182193-1643390185475-0,materialBase,bronze
entity:artifact:1:ld1-1643390182193-1643390185476-0,materialBase,bronze
entity:artifact:1:ld1-1643390182193-1643390185477-0,materialBase,bronze
entity:artifact:1:ld1-1643390182193-1643390185478-0,materialBase,bronze
