from,relation,to
entity:artifact:1:ld1-1643381040022-1643381041048-0,materialPrimary,canvas
entity:artifact:1:ld1-1643381040022-1643381042241-1,materialPrimary,canvas
entity:artifact:1:ld1-1643381040022-1643381046516-1,materialPrimary,paper
entity:artifact:1:ld1-1643381040022-1643381046517-0,materialPrimary,paper
entity:artifact:1:ld1-1643381040022-1643381049785-0,materialPrimary,paper
entity:artifact:1:ld1-1643381040022-1643381051352-0,materialPrimary,paper
entity:artifact:1:ld1-1643381040022-1643381054060-0,materialPrimary,wood
entity:artifact:1:ld1-1643381040022-1643381054509-0,materialPrimary,canvas
entity:artifact:1:ld1-1643381040022-1643381055993-0,materialPrimary,paper
entity:artifact:1:ld1-1643381040022-1643381057843-0,materialPrimary,paper
entity:artifact:1:ld1-1643381040022-1643381057909-1,materialPrimary,canvas
entity:artifact:1:ld1-1643381040022-1643381058884-1,materialPrimary,wood
entity:artifact:1:ld1-1643381040022-1643381058893-0,materialPrimary,paper
entity:artifact:1:ld1-1643381040022-1643381058911-1,materialPrimary,paper
entity:artifact:1:ld1-1643381040022-1643381058913-0,materialPrimary,paper
entity:artifact:1:ld1-1643381040022-1643381058914-1,materialPrimary,metal
entity:artifact:1:ld1-1643381040022-1643381058918-1,materialPrimary,ivory
entity:artifact:1:ld1-1643381040022-1643381058919-0,materialPrimary,shell
entity:artifact:1:ld1-1643381040022-1643381058925-0,materialPrimary,textile
entity:artifact:1:ld1-1643381040022-1643381058946-1,materialPrimary,wood
entity:artifact:1:ld1-1643381040022-1643381059066-0,materialPrimary,silk
entity:artifact:1:ld1-1643381040022-1643381059156-0,materialPrimary,glass
entity:artifact:1:ld1-1643381040022-1643381060180-0,materialPrimary,paper
entity:artifact:1:ld1-1643381040022-1643381060244-1,materialPrimary,paper
entity:artifact:1:ld1-1643381040022-1643381060334-0,materialPrimary,paper
entity:artifact:1:ld1-1643381040022-1643381062968-0,materialPrimary,paper
entity:artifact:1:ld1-1643381040022-1643381064179-0,materialPrimary,canvas
entity:artifact:1:ld1-1643381040022-1643381066704-1,materialPrimary,ivory
entity:artifact:1:ld1-1643381040022-1643381066706-1,materialPrimary,ivory
entity:artifact:1:ld1-1643381040022-1643381066708-0,materialPrimary,ivory
entity:artifact:1:ld1-1643381040022-1643381066735-0,materialPrimary,silver
