from,relation,to
entity:artifact:1:ld1-1643381040022-1643381041048-0,materialSummary,oil on canvas 35 x 22 1/8 in. (88.9 x 56.1 cm.)
entity:artifact:1:ld1-1643381040022-1643381041076-1,materialSummary,pastel on fiberboard 16 x 12 1/8 in. (40.6 x 30.8 cm)
entity:artifact:1:ld1-1643381040022-1643381042241-1,materialSummary,oil on canvas 24 1/8 x 16 1/8 in. (61.2 x 41.0 cm)
entity:artifact:1:ld1-1643381040022-1643381046516-1,materialSummary,pen and ink and brush and ink on paper 8 x 9 1/8 in. (20.3 x 23.2 cm)
entity:artifact:1:ld1-1643381040022-1643381046517-0,materialSummary,etching on paper 11 1/2 x 9 1/4 in. (29.2 x 23.5 cm)
entity:artifact:1:ld1-1643381040022-1643381049778-0,materialSummary,Graphic arts
entity:artifact:1:ld1-1643381040022-1643381049778-1,materialSummary,Graphic arts
entity:artifact:1:ld1-1643381040022-1643381049779-0,materialSummary,Graphic arts
entity:artifact:1:ld1-1643381040022-1643381049779-1,materialSummary,Graphic arts
entity:artifact:1:ld1-1643381040022-1643381049780-0,materialSummary,Graphic arts
entity:artifact:1:ld1-1643381040022-1643381049785-0,materialSummary,etching on paper plate: 9 1/2 x 11 7/16 in. (24.2 x 29.0 cm.); sheet...
entity:artifact:1:ld1-1643381040022-1643381051352-0,materialSummary,hand-colored lithograph on paper sheet: 19 5/8 x 13 1/2 in. (49.9 x 34.3 cm)
entity:artifact:1:ld1-1643381040022-1643381053046-1,materialSummary,woodcut image: 3 1/8 Ã 2 3/4 in. (7.9 Ã 7.0 cm)
entity:artifact:1:ld1-1643381040022-1643381054060-0,materialSummary,oil on wood 8 1/2 x 4 3/8 in. (21.6 x 11.1 cm)
entity:artifact:1:ld1-1643381040022-1643381054509-0,materialSummary,oil on canvas 42 x 28 in. (106.7 x 71.1 cm.)
entity:artifact:1:ld1-1643381040022-1643381055993-0,materialSummary,"chalk, pencil, ink and watercolor on paper sheet: 17 5/8 x 13 1/4 in. (44.8 x 33.6 cm)"
entity:artifact:1:ld1-1643381040022-1643381057843-0,materialSummary,photomechanical wood engraving on paper
entity:artifact:1:ld1-1643381040022-1643381057909-1,materialSummary,oil on canvas 34 3/4 x 46 1/8 in. (88.3 x 117.0 cm.)
entity:artifact:1:ld1-1643381040022-1643381058884-1,materialSummary,wood length: 15 in. (38.2 cm)
entity:artifact:1:ld1-1643381040022-1643381058893-0,materialSummary,paper; ivory; straw; feathers length: 10 3/8 in. (26.2 cm)
entity:artifact:1:ld1-1643381040022-1643381058911-1,materialSummary,paper; fabric; ivory length: 10 7/8 in. (27.7 cm)
entity:artifact:1:ld1-1643381040022-1643381058913-0,materialSummary,wood: sandelwood; paper; mother of pearl; fabric length: 11 in. (28.0 cm)
entity:artifact:1:ld1-1643381040022-1643381058914-1,materialSummary,metal; champleve enamel length: 7 1/2 in. (19.1 cm)
entity:artifact:1:ld1-1643381040022-1643381058918-1,materialSummary,ivory length: 6 1/2 in. (16.5 cm)
entity:artifact:1:ld1-1643381040022-1643381058919-0,materialSummary,tortoise shell length: 7 1/2 in. (19.0 cm)
entity:artifact:1:ld1-1643381040022-1643381058925-0,materialSummary,ivory; fabric length: 7 3/8 in. (18.8 cm)
entity:artifact:1:ld1-1643381040022-1643381058946-1,materialSummary,wood/lacquered length: 7 7/8 in. (20.0 cm)
entity:artifact:1:ld1-1643381040022-1643381059066-0,materialSummary,"carved ivory, blue silk ribbon, and mother of pearl 10 1/2 x 18 in. (26.7 x 45.7 cm)"
entity:artifact:1:ld1-1643381040022-1643381059156-0,materialSummary,glass
entity:artifact:1:ld1-1643381040022-1643381060180-0,materialSummary,color woodcut on paper sheet: 12 1/2 x 17 7/8 in. (31.8 x 45.3 cm)
entity:artifact:1:ld1-1643381040022-1643381060244-1,materialSummary,pencil and watercolor on paper sheet: 6 1/2 x 4 1/2 in. (16.5 x 11.5 cm)
