from,relation,to
entity:artifact:1:ld1-1643381040022-1643381041048-0,period,1890s
entity:artifact:1:ld1-1643381040022-1643381041076-1,period,1920s
entity:artifact:1:ld1-1643381040022-1643381042241-1,period,1920s
entity:artifact:1:ld1-1643381040022-1643381046516-1,period,1940s; 1890s
entity:artifact:1:ld1-1643381040022-1643381046517-0,period,1940s; 1890s
entity:artifact:1:ld1-1643381040022-1643381049785-0,period,1910s
entity:artifact:1:ld1-1643381040022-1643381051352-0,period,1830s
entity:artifact:1:ld1-1643381040022-1643381053046-1,period,1940s
entity:artifact:1:ld1-1643381040022-1643381054060-0,period,1900s; 1840s
entity:artifact:1:ld1-1643381040022-1643381054509-0,period,1890s
entity:artifact:1:ld1-1643381040022-1643381055993-0,period,1880s
entity:artifact:1:ld1-1643381040022-1643381057843-0,period,1900s
entity:artifact:1:ld1-1643381040022-1643381057909-1,period,1880s
entity:artifact:1:ld1-1643381040022-1643381058893-0,period,1770s; 1750s
entity:artifact:1:ld1-1643381040022-1643381058911-1,period,1900s; 1850s
entity:artifact:1:ld1-1643381040022-1643381058913-0,period,1900s; 1850s
entity:artifact:1:ld1-1643381040022-1643381058914-1,period,1850s; 1860s
entity:artifact:1:ld1-1643381040022-1643381058918-1,period,1800s; 1830s
entity:artifact:1:ld1-1643381040022-1643381058919-0,period,1900s; 1850s
entity:artifact:1:ld1-1643381040022-1643381058925-0,period,1850s; 1860s
entity:artifact:1:ld1-1643381040022-1643381058946-1,period,1800s; 1850s
entity:artifact:1:ld1-1643381040022-1643381059066-0,period,1770s; 1790s
entity:artifact:1:ld1-1643381040022-1643381060180-0,period,1900s
entity:artifact:1:ld1-1643381040022-1643381060244-1,period,1810s; 1880s
entity:artifact:1:ld1-1643381040022-1643381060334-0,period,1890s
entity:artifact:1:ld1-1643381040022-1643381062968-0,period,1870s
entity:artifact:1:ld1-1643381040022-1643381064179-0,period,1920s
entity:artifact:1:ld1-1643390182193-1643390182369-0,period,1640s; 1300s
entity:artifact:1:ld1-1643390182193-1643390182438-0,period,BCE 1000s
entity:artifact:1:ld1-1643390182193-1643390182789-0,period,1800s; 1700s; 1615-1868
entity:artifact:1:ld1-1643390182193-1643390182964-0,period,1615-1868; 1830s; 1860s
entity:artifact:1:ld1-1643390182193-1643390183003-0,period,1800s; 1615-1868; 1650s
entity:artifact:1:ld1-1643390182193-1643390183661-0,period,1590s; 1560s
entity:artifact:1:ld1-1643390182193-1643390183697-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390183796-0,period,1620s; 1570s
entity:artifact:1:ld1-1643390182193-1643390183796-1,period,1590s; 1600s
entity:artifact:1:ld1-1643390182193-1643390183898-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390184155-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390184156-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390184157-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390184158-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390184159-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390184220-1,period,1850s
entity:artifact:1:ld1-1643390182193-1643390184307-0,period,1700s; 1615-1868; 1600s
entity:artifact:1:ld1-1643390182193-1643390184337-0,period,1700s; 1615-1868; 1600s
entity:artifact:1:ld1-1643390182193-1643390184342-0,period,1590s; 1500s
entity:artifact:1:ld1-1643390182193-1643390184345-0,period,1800s; 1700s
entity:artifact:1:ld1-1643390182193-1643390184347-0,period,1800s; 1700s
entity:artifact:1:ld1-1643390182193-1643390184613-0,period,1615-1868; 1720s
entity:artifact:1:ld1-1643390182193-1643390184722-0,period,1800s; 1700s; 1615-1868
entity:artifact:1:ld1-1643390182193-1643390184723-0,period,1500s; 1400s
entity:artifact:1:ld1-1643390182193-1643390184728-0,period,1600s; 1690s
entity:artifact:1:ld1-1643390182193-1643390184737-0,period,1615-1868; 1840s
entity:artifact:1:ld1-1643390182193-1643390184810-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390184821-0,period,100s
entity:artifact:1:ld1-1643390182193-1643390184828-0,period,1200s; 1300s
entity:artifact:1:ld1-1643390182193-1643390184854-0,period,1615-1868; 1650s; 1680s
entity:artifact:1:ld1-1643390182193-1643390184879-0,period,1700s; 1790s
entity:artifact:1:ld1-1643390182193-1643390185005-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390185006-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390185007-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390185009-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390185010-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390185011-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390185115-1,period,1800s; 1700s
entity:artifact:1:ld1-1643390182193-1643390185147-1,period,1300s
entity:artifact:1:ld1-1643390182193-1643390185158-0,period,1800s; 1700s
entity:artifact:1:ld1-1643390182193-1643390185171-0,period,1700s; 1600s
entity:artifact:1:ld1-1643390182193-1643390185212-0,period,1615-1868; 1610s; 1860s
entity:artifact:1:ld1-1643390182193-1643390185213-0,period,1615-1868; 1610s; 1860s
entity:artifact:1:ld1-1643390182193-1643390185233-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390185239-0,period,1670s
entity:artifact:1:ld1-1643390182193-1643390185379-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390185380-0,period,500s
entity:artifact:1:ld1-1643390182193-1643390185381-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390185382-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390185382-1,period,200s
entity:artifact:1:ld1-1643390182193-1643390185383-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390185394-1,period,1400s; 1300s
entity:artifact:1:ld1-1643390182193-1643390185400-0,period,1700s; 1500s
entity:artifact:1:ld1-1643390182193-1643390185439-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390185475-0,period,BCE 0s
entity:artifact:1:ld1-1643390182193-1643390185476-0,period,BCE 1000s
entity:artifact:1:ld1-1643390182193-1643390185477-0,period,BCE 0s; 200s
entity:artifact:1:ld1-1643390182193-1643390185478-0,period,BCE 1000s
entity:artifact:1:ld1-1643390182193-1643390185489-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390185490-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390185502-0,period,100s
entity:artifact:1:ld1-1643390182193-1643390185503-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390185504-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390185557-0,period,1100s
entity:artifact:1:ld1-1643390182193-1643390185559-0,period,1200s
entity:artifact:1:ld1-1643390182193-1643390185559-1,period,1500s; 1620s
entity:artifact:1:ld1-1643390182193-1643390185560-0,period,1500s; 1620s
entity:artifact:1:ld1-1643390182193-1643390185859-1,period,800s; 700s
entity:artifact:1:ld1-1643390182193-1643390185861-1,period,200s
entity:artifact:1:ld1-1643390182193-1643390185863-0,period,BCE 0s; 200s
entity:artifact:1:ld1-1643390182193-1643390185954-0,period,1800s; 1700s; 1615-1868
entity:artifact:1:ld1-1643390182193-1643390185955-0,period,1800s; 1700s; 1615-1868
entity:artifact:1:ld1-1643390182193-1643390185990-0,period,200s
entity:artifact:1:ld1-1643390182193-1643390185990-1,period,200s
entity:artifact:1:ld1-1643390182193-1643390185991-0,period,200s
