from,relation,to
entity:artifact:2:100098,provenance,"Peter W. Scheinman purchased from J.J. Lally & Co., New York"
entity:artifact:2:100099,provenance,"Peter W. Scheinman purchased from dealer Susan Chen, Hong Kong"
entity:artifact:2:100180,provenance,"Peter W. Scheinman purchased from Kaikodo, New York"
entity:artifact:2:100181,provenance,"[Christie's, New York, 1 June 1990, lot 161] sold; to Peter W. Scheinman (1990-2003), partial gift; to Harvard University Art Museums, 2003.

Note:
Peter W. Scheinman (b. 1932 - d. 2017)"
entity:artifact:2:101448,provenance,"Shao F. Wang purchased from Sotheby's, New York
Ex-coll: Robert H. Ellsworth Collection, New York"
entity:artifact:2:101449,provenance,"Ex-coll: Mr. and Mrs. James E. Breece, III, Evanston, IL"
entity:artifact:2:101784,provenance,"Peter W. Scheinman purchased from Luen Chai Curios, Hong Kong"
entity:artifact:2:101785,provenance,"Peter W. Scheinman purchased at Sotheby's or Christie's, London
Formerly in Lord Cunliffe Collection"
entity:artifact:2:101796,provenance,"Peter W. Scheinman purchased from dealer Martin Fung, Hong Kong"
entity:artifact:2:117351,provenance,"Peter W. Scheinman purchased at Sotheby's, New York"
entity:artifact:2:142056,provenance,"[The Chinese Porcelain Company, New York, 2002] sold; to Walter C. Sedgwick Foundation, Woodside, CA (2002-2006), partial gift; to Harvard University Art Museums, 2006."
entity:artifact:2:1429,provenance,"Chun-yi Lee, Tempe, AZ (2005-2006), sold; to Harvard University Art Museums, 2006."
entity:artifact:2:1430,provenance,"Anthony M. Solomon, New York (by 2003), gift; to Harvard University Art Museums, 2003."
entity:artifact:2:143022,provenance,"[Thomas Erben Gallery, New York, New York], sold; to Harvard University Art Museums, August 13, 2002."
entity:artifact:2:143056,provenance,"[J. J. Lally & Co., New York, 2002], sold; to Harvard University Art Museums, 2002."
entity:artifact:2:143057,provenance,"J.J. Lally & Co., New York  (Lally inventory number 93368)"
entity:artifact:2:143090,provenance,"[J. J. Lally & Co., New York, 2002] sold; to Walter C. Sedgwick Foundation, Woodside, CA (2002-2006), partial gift; to Harvard University Art Museums, 2006."
entity:artifact:2:143091,provenance,"[The Chinese Porcelain Company, New York, 2002] sold; to Walter C. Sedgwick Foundation, Woodside, CA (2002-2006), partial gift; to Harvard University Art Museums, 2006."
entity:artifact:2:143354,provenance,"[J. J. Lally & Co., New York, 2002] sold; to Walter C. Sedgwick Foundation, Woodside, CA (2002-2006), partial gift; to Harvard University Art Museums, 2006."
entity:artifact:2:146265,provenance,"Anthony M. Solomon, New York (by 2003), gift; to Harvard University Art Museums, 2003."
entity:artifact:2:146266,provenance,"Anthony M. Solomon, New York (by 2003), gift; to Harvard University Art Museums, 2003."
entity:artifact:2:146434,provenance,"[J.J. Lally & Co., New York, 2002] sold; to Walter C. Sedgwick Foundation, Woodside, CA (2002-2006), partial gift; to Harvard University Art Museums, 2006."
