from,relation,to
entity:artifact:1:ld1-1643381040022-1643381041048-0,title,A Song
entity:artifact:1:ld1-1643381040022-1643381041076-1,title,Anna May Wong
entity:artifact:1:ld1-1643381040022-1643381042241-1,title,Green Chinese Jar
entity:artifact:1:ld1-1643381040022-1643381046516-1,title,Chinese Girl
entity:artifact:1:ld1-1643381040022-1643381046517-0,title,(Chinese Man)
entity:artifact:1:ld1-1643381040022-1643381049778-0,title,River Song no. 2
entity:artifact:1:ld1-1643381040022-1643381049778-1,title,Road Song no. 2
entity:artifact:1:ld1-1643381040022-1643381049779-0,title,Road Song no. 3
entity:artifact:1:ld1-1643381040022-1643381049779-1,title,Road Song no. 4
entity:artifact:1:ld1-1643381040022-1643381049780-0,title,Road Song no. 5
entity:artifact:1:ld1-1643381040022-1643381049785-0,title,Song from Venice no. 2
entity:artifact:1:ld1-1643381040022-1643381051352-0,title,"TISH-CO-HAN. A DELAWARE CHIEF., from History of the Indian Tribes of North America"
entity:artifact:1:ld1-1643381040022-1643381053046-1,title,Song
entity:artifact:1:ld1-1643381040022-1643381054060-0,title,Passing Song
entity:artifact:1:ld1-1643381040022-1643381054509-0,title,Chinese Mandarin
entity:artifact:1:ld1-1643381040022-1643381055993-0,title,(Illustration for RubÃ¡iyÃ¡t of Omar KhayyÃ¡m) The Song in the Wilderness
entity:artifact:1:ld1-1643381040022-1643381057843-0,title,Song of the Lark
entity:artifact:1:ld1-1643381040022-1643381057909-1,title,The Chinese Fishmonger
entity:artifact:1:ld1-1643381040022-1643381058884-1,title,Fan
entity:artifact:1:ld1-1643381040022-1643381058893-0,title,Fan
entity:artifact:1:ld1-1643381040022-1643381058911-1,title,Fan
entity:artifact:1:ld1-1643381040022-1643381058913-0,title,Fan
entity:artifact:1:ld1-1643381040022-1643381058914-1,title,Fan
entity:artifact:1:ld1-1643381040022-1643381058918-1,title,Fan
entity:artifact:1:ld1-1643381040022-1643381058919-0,title,Fan
entity:artifact:1:ld1-1643381040022-1643381058925-0,title,Fan
entity:artifact:1:ld1-1643381040022-1643381058946-1,title,Fan
entity:artifact:1:ld1-1643381040022-1643381059066-0,title,Chinese Export fan (Brise)
entity:artifact:1:ld1-1643381040022-1643381059156-0,title,Tumbler
entity:artifact:1:ld1-1643381040022-1643381060180-0,title,The Sauce-Pan Shop
entity:artifact:1:ld1-1643381040022-1643381060244-1,title,Native of Tibet
entity:artifact:1:ld1-1643381040022-1643381060334-0,title,Alley in Chinatown
entity:artifact:1:ld1-1643381040022-1643381062968-0,title,"The Chinese in New York--Scene in a Baxter Street Club-House, from Harper's Weekly, March 7, 1874"
entity:artifact:1:ld1-1643381040022-1643381064179-0,title,Neapolitan Song
entity:artifact:1:ld1-1643381040022-1643381066704-1,title,Carving
entity:artifact:1:ld1-1643381040022-1643381066706-1,title,Carving
entity:artifact:1:ld1-1643381040022-1643381066708-0,title,Carving
entity:artifact:1:ld1-1643381040022-1643381066734-0,title,Miniature Chinese Kettle
entity:artifact:1:ld1-1643381040022-1643381066735-0,title,Chinese Filigree Basket
entity:artifact:1:ld1-1643390182193-1643390182369-0,title,Herons and water plants
entity:artifact:1:ld1-1643390182193-1643390182438-0,title,Ritual grain server (<em>gui</em>)
entity:artifact:1:ld1-1643390182193-1643390182789-0,title,Yatsushiro or Shodai ware vase in the form of an archaic Chinese cong
entity:artifact:1:ld1-1643390182193-1643390182964-0,title,"Tea bowl in the shape of a ""Chinese flute,"" Hagi ware"
entity:artifact:1:ld1-1643390182193-1643390183003-0,title,"Serving bowl in style of Chinese celadon, probably Shodai ware"
entity:artifact:1:ld1-1643390182193-1643390183661-0,title,"The Chinese Emperor Minghuang and his concubine Yang Guifei, with attendants on a terrace"
