from,relation,to
entity:artifact:1:ld1-1643381040022-1643381041048-0,belongsToDynasty,entity:dynasty:qing清
entity:artifact:1:ld1-1643381040022-1643381041076-1,belongsToDynasty,entity:dynasty:republic民国
entity:artifact:1:ld1-1643381040022-1643381042241-1,belongsToDynasty,entity:dynasty:republic民国
entity:artifact:1:ld1-1643381040022-1643381046516-1,belongsToDynasty,entity:dynasty:republic民国
entity:artifact:1:ld1-1643381040022-1643381046517-0,belongsToDynasty,entity:dynasty:republic民国
entity:artifact:1:ld1-1643381040022-1643381049785-0,belongsToDynasty,entity:dynasty:qing清
entity:artifact:1:ld1-1643381040022-1643381051352-0,belongsToDynasty,entity:dynasty:qing清
entity:artifact:1:ld1-1643381040022-1643381053046-1,belongsToDynasty,entity:dynasty:republic民国
entity:artifact:1:ld1-1643381040022-1643381054060-0,belongsToDynasty,entity:dynasty:qing清
entity:artifact:1:ld1-1643381040022-1643381054509-0,belongsToDynasty,entity:dynasty:qing清
entity:artifact:1:ld1-1643381040022-1643381055993-0,belongsToDynasty,entity:dynasty:qing清
entity:artifact:1:ld1-1643381040022-1643381057843-0,belongsToDynasty,entity:dynasty:qing清
entity:artifact:1:ld1-1643381040022-1643381057909-1,belongsToDynasty,entity:dynasty:qing清
entity:artifact:1:ld1-1643381040022-1643381058893-0,belongsToDynasty,entity:dynasty:qing清
entity:artifact:1:ld1-1643381040022-1643381058911-1,belongsToDynasty,entity:dynasty:qing清
entity:artifact:1:ld1-1643381040022-1643381058913-0,belongsToDynasty,entity:dynasty:qing清
entity:artifact:1:ld1-1643381040022-1643381058914-1,belongsToDynasty,entity:dynasty:qing清
entity:artifact:1:ld1-1643381040022-1643381058918-1,belongsToDynasty,entity:dynasty:qing清
entity:artifact:1:ld1-1643381040022-1643381058919-0,belongsToDynasty,entity:dynasty:qing清
entity:artifact:1:ld1-1643381040022-1643381058925-0,belongsToDynasty,entity:dynasty:qing清
entity:artifact:1:ld1-1643381040022-1643381058946-1,belongsToDynasty,entity:dynasty:qing清
entity:artifact:1:ld1-1643381040022-1643381059066-0,belongsToDynasty,entity:dynasty:qing清
entity:artifact:1:ld1-1643381040022-1643381060180-0,belongsToDynasty,entity:dynasty:qing清
entity:artifact:1:ld1-1643381040022-1643381060244-1,belongsToDynasty,entity:dynasty:qing清
entity:artifact:1:ld1-1643381040022-1643381060334-0,belongsToDynasty,entity:dynasty:qing清
