from,relation,to
entity:artifact:1:ld1-1643381040022-1643381041048-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381041076-1,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381042241-1,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381046516-1,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381046517-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381049778-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381049778-1,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381049779-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381049779-1,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381049780-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381049785-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381051352-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381053046-1,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381054060-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381054509-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381055993-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381057843-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381057909-1,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381058884-1,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381058893-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381058911-1,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381058913-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381058914-1,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381058918-1,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381058919-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381058925-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381058946-1,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381059066-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381059156-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381060180-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381060244-1,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381060334-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381062968-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381064179-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381066704-1,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381066706-1,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381066708-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381066734-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643381040022-1643381066735-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390182369-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390182438-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390182789-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390182964-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390183003-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390183661-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390183697-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390183796-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390183796-1,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390183898-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390184155-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390184156-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390184157-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390184158-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390184159-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390184220-1,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390184307-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390184337-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390184342-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390184345-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390184347-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390184613-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390184722-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390184723-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390184728-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390184737-0,belongsToMuseum,entity:museum:1
entity:artifact:1:ld1-1643390182193-1643390184810-0,belongsToMuseum,entity:museum:1
