from,relation,to
entity:artifact:1:ld1-1643381040022-1643381041048-0,createdBy,entity:artist:alice-pike
entity:artifact:1:ld1-1643381040022-1643381041048-0,createdBy,entity:artist:barney
entity:artifact:1:ld1-1643381040022-1643381041048-0,createdBy,entity:artist:natalie-clifford
entity:artifact:1:ld1-1643381040022-1643381041076-1,createdBy,entity:artist:alice-pike
entity:artifact:1:ld1-1643381040022-1643381041076-1,createdBy,entity:artist:anna-may
entity:artifact:1:ld1-1643381040022-1643381041076-1,createdBy,entity:artist:barney
entity:artifact:1:ld1-1643381040022-1643381041076-1,createdBy,entity:artist:wong
entity:artifact:1:ld1-1643381040022-1643381042241-1,createdBy,entity:artist:Q343633
entity:artifact:1:ld1-1643381040022-1643381046516-1,createdBy,entity:artist:Q971521
entity:artifact:1:ld1-1643381040022-1643381046517-0,createdBy,entity:artist:Q971521
entity:artifact:1:ld1-1643381040022-1643381049778-0,createdBy,entity:artist:Q66749854
entity:artifact:1:ld1-1643381040022-1643381049778-1,createdBy,entity:artist:Q66749854
entity:artifact:1:ld1-1643381040022-1643381049779-0,createdBy,entity:artist:donald-shaw
entity:artifact:1:ld1-1643381040022-1643381049779-0,createdBy,entity:artist:maclaughlan
entity:artifact:1:ld1-1643381040022-1643381049779-1,createdBy,entity:artist:Q66749854
entity:artifact:1:ld1-1643381040022-1643381049780-0,createdBy,entity:artist:Q66749854
entity:artifact:1:ld1-1643381040022-1643381049785-0,createdBy,entity:artist:Q66749854
entity:artifact:1:ld1-1643381040022-1643381051352-0,createdBy,entity:artist:biddle
entity:artifact:1:ld1-1643381040022-1643381051352-0,createdBy,entity:artist:charles-bird
entity:artifact:1:ld1-1643381040022-1643381051352-0,createdBy,entity:artist:e-c
entity:artifact:1:ld1-1643381040022-1643381051352-0,createdBy,entity:artist:hall
entity:artifact:1:ld1-1643381040022-1643381051352-0,createdBy,entity:artist:i-t-bowens-lithographic-establishment
entity:artifact:1:ld1-1643381040022-1643381051352-0,createdBy,entity:artist:king
entity:artifact:1:ld1-1643381040022-1643381051352-0,createdBy,entity:artist:mckenney
entity:artifact:1:ld1-1643381040022-1643381051352-0,createdBy,entity:artist:tish-co-han
entity:artifact:1:ld1-1643381040022-1643381053046-1,createdBy,entity:artist:arroyo
entity:artifact:1:ld1-1643381040022-1643381053046-1,createdBy,entity:artist:arsacio-vanegas
entity:artifact:1:ld1-1643381040022-1643381053046-1,createdBy,entity:artist:jos-guadalupe
entity:artifact:1:ld1-1643381040022-1643381053046-1,createdBy,entity:artist:posada
entity:artifact:1:ld1-1643381040022-1643381054060-0,createdBy,entity:artist:Q948598
entity:artifact:1:ld1-1643381040022-1643381054509-0,createdBy,entity:artist:Q118914089
entity:artifact:1:ld1-1643381040022-1643381055993-0,createdBy,entity:artist:Q21504853
entity:artifact:1:ld1-1643381040022-1643381057843-0,createdBy,entity:artist:breton
entity:artifact:1:ld1-1643381040022-1643381057843-0,createdBy,entity:artist:henry
entity:artifact:1:ld1-1643381040022-1643381057843-0,createdBy,entity:artist:jules
entity:artifact:1:ld1-1643381040022-1643381057843-0,createdBy,entity:artist:wolf
entity:artifact:1:ld1-1643381040022-1643381057909-1,createdBy,entity:artist:Q7782112
entity:artifact:1:ld1-1643381040022-1643381059156-0,createdBy,entity:artist:Q12805597
entity:artifact:1:ld1-1643381040022-1643381060180-0,createdBy,entity:artist:Q2080165
entity:artifact:1:ld1-1643381040022-1643381060244-1,createdBy,entity:artist:Q1368910
entity:artifact:1:ld1-1643381040022-1643381060334-0,createdBy,entity:artist:Q2080165
entity:artifact:1:ld1-1643381040022-1643381062968-0,createdBy,entity:artist:Q6691
entity:artifact:1:ld1-1643381040022-1643381064179-0,createdBy,entity:artist:Q773765
entity:artifact:1:ld1-1643390182193-1643390182369-0,createdBy,entity:artist:charles-lang
entity:artifact:1:ld1-1643390182193-1643390182369-0,createdBy,entity:artist:freer
entity:artifact:1:ld1-1643390182193-1643390182369-0,createdBy,entity:artist:takayanagi
entity:artifact:1:ld1-1643390182193-1643390182369-0,createdBy,entity:artist:tozo
entity:artifact:1:ld1-1643390182193-1643390182438-0,createdBy,entity:artist:charles-lang
entity:artifact:1:ld1-1643390182193-1643390182438-0,createdBy,entity:artist:freer
entity:artifact:1:ld1-1643390182193-1643390182438-0,createdBy,entity:artist:moore
entity:artifact:1:ld1-1643390182193-1643390182438-0,createdBy,entity:artist:rufus-e
entity:artifact:1:ld1-1643390182193-1643390182789-0,createdBy,entity:artist:Q5080060
entity:artifact:1:ld1-1643390182193-1643390182789-0,createdBy,entity:artist:charles-lang
entity:artifact:1:ld1-1643390182193-1643390182789-0,createdBy,entity:artist:co
entity:artifact:1:ld1-1643390182193-1643390182789-0,createdBy,entity:artist:freer
entity:artifact:1:ld1-1643390182193-1643390182964-0,createdBy,entity:artist:Q5080060
entity:artifact:1:ld1-1643390182193-1643390182964-0,createdBy,entity:artist:charles-lang
entity:artifact:1:ld1-1643390182193-1643390182964-0,createdBy,entity:artist:co
entity:artifact:1:ld1-1643390182193-1643390182964-0,createdBy,entity:artist:freer
entity:artifact:1:ld1-1643390182193-1643390183003-0,createdBy,entity:artist:charles-a
entity:artifact:1:ld1-1643390182193-1643390183003-0,createdBy,entity:artist:charles-lang
entity:artifact:1:ld1-1643390182193-1643390183003-0,createdBy,entity:artist:dana
entity:artifact:1:ld1-1643390182193-1643390183003-0,createdBy,entity:artist:freer
entity:artifact:1:ld1-1643390182193-1643390183661-0,createdBy,entity:artist:Q5080060
entity:artifact:1:ld1-1643390182193-1643390183661-0,createdBy,entity:artist:charles-lang
entity:artifact:1:ld1-1643390182193-1643390183661-0,createdBy,entity:artist:co
entity:artifact:1:ld1-1643390182193-1643390183661-0,createdBy,entity:artist:freer
entity:artifact:1:ld1-1643390182193-1643390183697-0,createdBy,entity:artist:Q5080060
entity:artifact:1:ld1-1643390182193-1643390183697-0,createdBy,entity:artist:charles-lang
entity:artifact:1:ld1-1643390182193-1643390183697-0,createdBy,entity:artist:co
