from,relation,to
entity:artifact:1:ld1-1643381040022-1643381041048-0,hasCulture,entity:culture:allegory
entity:artifact:1:ld1-1643381040022-1643381041048-0,hasCulture,entity:culture:arts-and-sciences
entity:artifact:1:ld1-1643381040022-1643381041048-0,hasCulture,entity:culture:music
entity:artifact:1:ld1-1643381040022-1643381041048-0,hasCulture,entity:culture:portraits
entity:artifact:1:ld1-1643381040022-1643381041048-0,hasCulture,entity:culture:women
entity:artifact:1:ld1-1643381040022-1643381041076-1,hasCulture,entity:culture:entertainers
entity:artifact:1:ld1-1643381040022-1643381041076-1,hasCulture,entity:culture:portraits
entity:artifact:1:ld1-1643381040022-1643381041076-1,hasCulture,entity:culture:theater
entity:artifact:1:ld1-1643381040022-1643381041076-1,hasCulture,entity:culture:women
entity:artifact:1:ld1-1643381040022-1643381042241-1,hasCulture,entity:culture:containers
entity:artifact:1:ld1-1643381040022-1643381042241-1,hasCulture,entity:culture:sculpture
entity:artifact:1:ld1-1643381040022-1643381046516-1,hasCulture,entity:culture:children
entity:artifact:1:ld1-1643381040022-1643381046516-1,hasCulture,entity:culture:figure-female
entity:artifact:1:ld1-1643381040022-1643381046517-0,hasCulture,entity:culture:dagger
entity:artifact:1:ld1-1643381040022-1643381046517-0,hasCulture,entity:culture:figure-male
entity:artifact:1:ld1-1643381040022-1643381046517-0,hasCulture,entity:culture:weapons
entity:artifact:1:ld1-1643381040022-1643381049778-0,hasCulture,entity:culture:forests-and-forestry
entity:artifact:1:ld1-1643381040022-1643381049778-0,hasCulture,entity:culture:landscapes
entity:artifact:1:ld1-1643381040022-1643381049778-0,hasCulture,entity:culture:rivers
entity:artifact:1:ld1-1643381040022-1643381049778-0,hasCulture,entity:culture:waterscapes
entity:artifact:1:ld1-1643381040022-1643381049778-1,hasCulture,entity:culture:architecture
entity:artifact:1:ld1-1643381040022-1643381049778-1,hasCulture,entity:culture:cart
entity:artifact:1:ld1-1643381040022-1643381049778-1,hasCulture,entity:culture:landscapes
