from,relation,to
entity:artifact:1:ld1-1643381040022-1643381041048-0,hasPrimaryMaterial,entity:material:canvas
entity:artifact:1:ld1-1643381040022-1643381042241-1,hasPrimaryMaterial,entity:material:canvas
entity:artifact:1:ld1-1643381040022-1643381046516-1,hasPrimaryMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381046517-0,hasPrimaryMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381049785-0,hasPrimaryMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381051352-0,hasPrimaryMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381054060-0,hasPrimaryMaterial,entity:material:wood
entity:artifact:1:ld1-1643381040022-1643381054509-0,hasPrimaryMaterial,entity:material:canvas
entity:artifact:1:ld1-1643381040022-1643381055993-0,hasPrimaryMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381057843-0,hasPrimaryMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381057909-1,hasPrimaryMaterial,entity:material:canvas
entity:artifact:1:ld1-1643381040022-1643381058884-1,hasPrimaryMaterial,entity:material:wood
entity:artifact:1:ld1-1643381040022-1643381058893-0,hasPrimaryMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381058911-1,hasPrimaryMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381058913-0,hasPrimaryMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381058914-1,hasPrimaryMaterial,entity:material:metal
entity:artifact:1:ld1-1643381040022-1643381058918-1,hasPrimaryMaterial,entity:material:ivory
entity:artifact:1:ld1-1643381040022-1643381058919-0,hasPrimaryMaterial,entity:material:shell
entity:artifact:1:ld1-1643381040022-1643381058925-0,hasPrimaryMaterial,entity:material:textile
entity:artifact:1:ld1-1643381040022-1643381058946-1,hasPrimaryMaterial,entity:material:wood
entity:artifact:1:ld1-1643381040022-1643381059066-0,hasPrimaryMaterial,entity:material:silk
entity:artifact:1:ld1-1643381040022-1643381059156-0,hasPrimaryMaterial,entity:material:glass
entity:artifact:1:ld1-1643381040022-1643381060180-0,hasPrimaryMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381060244-1,hasPrimaryMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381060334-0,hasPrimaryMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381062968-0,hasPrimaryMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381064179-0,hasPrimaryMaterial,entity:material:canvas
entity:artifact:1:ld1-1643381040022-1643381066704-1,hasPrimaryMaterial,entity:material:ivory
entity:artifact:1:ld1-1643381040022-1643381066706-1,hasPrimaryMaterial,entity:material:ivory
entity:artifact:1:ld1-1643381040022-1643381066708-0,hasPrimaryMaterial,entity:material:ivory
entity:artifact:1:ld1-1643381040022-1643381066735-0,hasPrimaryMaterial,entity:material:silver
entity:artifact:1:ld1-1643390182193-1643390182369-0,hasPrimaryMaterial,entity:material:silk
entity:artifact:1:ld1-1643390182193-1643390182438-0,hasPrimaryMaterial,entity:material:bronze
entity:artifact:1:ld1-1643390182193-1643390182789-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390182964-0,hasPrimaryMaterial,entity:material:wood
entity:artifact:1:ld1-1643390182193-1643390183003-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390183661-0,hasPrimaryMaterial,entity:material:paper
entity:artifact:1:ld1-1643390182193-1643390183697-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390183796-0,hasPrimaryMaterial,entity:material:paper
entity:artifact:1:ld1-1643390182193-1643390183796-1,hasPrimaryMaterial,entity:material:paper
entity:artifact:1:ld1-1643390182193-1643390183898-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390184155-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390184156-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390184157-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390184158-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390184159-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390184220-1,hasPrimaryMaterial,entity:material:silk
entity:artifact:1:ld1-1643390182193-1643390184307-0,hasPrimaryMaterial,entity:material:paper
entity:artifact:1:ld1-1643390182193-1643390184337-0,hasPrimaryMaterial,entity:material:paper
entity:artifact:1:ld1-1643390182193-1643390184342-0,hasPrimaryMaterial,entity:material:silk
entity:artifact:1:ld1-1643390182193-1643390184345-0,hasPrimaryMaterial,entity:material:silk
entity:artifact:1:ld1-1643390182193-1643390184347-0,hasPrimaryMaterial,entity:material:canvas
entity:artifact:1:ld1-1643390182193-1643390184613-0,hasPrimaryMaterial,entity:material:lacquer
entity:artifact:1:ld1-1643390182193-1643390184722-0,hasPrimaryMaterial,entity:material:paper
entity:artifact:1:ld1-1643390182193-1643390184723-0,hasPrimaryMaterial,entity:material:silk
entity:artifact:1:ld1-1643390182193-1643390184728-0,hasPrimaryMaterial,entity:material:silk
entity:artifact:1:ld1-1643390182193-1643390184737-0,hasPrimaryMaterial,entity:material:paper
entity:artifact:1:ld1-1643390182193-1643390184810-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390184821-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390184828-0,hasPrimaryMaterial,entity:material:silk
entity:artifact:1:ld1-1643390182193-1643390184854-0,hasPrimaryMaterial,entity:material:silk
entity:artifact:1:ld1-1643390182193-1643390184879-0,hasPrimaryMaterial,entity:material:silk
entity:artifact:1:ld1-1643390182193-1643390185005-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390185006-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390185007-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390185009-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390185010-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390185011-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390185115-1,hasPrimaryMaterial,entity:material:textile
entity:artifact:1:ld1-1643390182193-1643390185147-1,hasPrimaryMaterial,entity:material:silk
entity:artifact:1:ld1-1643390182193-1643390185158-0,hasPrimaryMaterial,entity:material:textile
entity:artifact:1:ld1-1643390182193-1643390185171-0,hasPrimaryMaterial,entity:material:silk
entity:artifact:1:ld1-1643390182193-1643390185212-0,hasPrimaryMaterial,entity:material:silk
entity:artifact:1:ld1-1643390182193-1643390185213-0,hasPrimaryMaterial,entity:material:silk
entity:artifact:1:ld1-1643390182193-1643390185233-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390185239-0,hasPrimaryMaterial,entity:material:lacquer
entity:artifact:1:ld1-1643390182193-1643390185379-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390185380-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390185381-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390185382-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390185382-1,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390185383-0,hasPrimaryMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390185394-1,hasPrimaryMaterial,entity:material:silk
entity:artifact:1:ld1-1643390182193-1643390185400-0,hasPrimaryMaterial,entity:material:silk
