from,relation,to
entity:artifact:1:ld1-1643381040022-1643381041048-0,usesMaterial,entity:material:canvas
entity:artifact:1:ld1-1643381040022-1643381041048-0,usesMaterial,entity:material:oil
entity:artifact:1:ld1-1643381040022-1643381042241-1,usesMaterial,entity:material:canvas
entity:artifact:1:ld1-1643381040022-1643381042241-1,usesMaterial,entity:material:oil
entity:artifact:1:ld1-1643381040022-1643381046516-1,usesMaterial,entity:material:ink
entity:artifact:1:ld1-1643381040022-1643381046516-1,usesMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381046517-0,usesMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381049785-0,usesMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381051352-0,usesMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381051352-0,usesMaterial,entity:material:pigment
entity:artifact:1:ld1-1643381040022-1643381054060-0,usesMaterial,entity:material:oil
entity:artifact:1:ld1-1643381040022-1643381054060-0,usesMaterial,entity:material:wood
entity:artifact:1:ld1-1643381040022-1643381054509-0,usesMaterial,entity:material:canvas
entity:artifact:1:ld1-1643381040022-1643381054509-0,usesMaterial,entity:material:oil
entity:artifact:1:ld1-1643381040022-1643381055993-0,usesMaterial,entity:material:ink
entity:artifact:1:ld1-1643381040022-1643381055993-0,usesMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381057843-0,usesMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381057843-0,usesMaterial,entity:material:wood
entity:artifact:1:ld1-1643381040022-1643381057909-1,usesMaterial,entity:material:canvas
entity:artifact:1:ld1-1643381040022-1643381057909-1,usesMaterial,entity:material:oil
entity:artifact:1:ld1-1643381040022-1643381058884-1,usesMaterial,entity:material:wood
entity:artifact:1:ld1-1643381040022-1643381058893-0,usesMaterial,entity:material:ivory
entity:artifact:1:ld1-1643381040022-1643381058893-0,usesMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381058911-1,usesMaterial,entity:material:ivory
entity:artifact:1:ld1-1643381040022-1643381058911-1,usesMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381058911-1,usesMaterial,entity:material:textile
entity:artifact:1:ld1-1643381040022-1643381058913-0,usesMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381058913-0,usesMaterial,entity:material:textile
entity:artifact:1:ld1-1643381040022-1643381058913-0,usesMaterial,entity:material:wood
entity:artifact:1:ld1-1643381040022-1643381058914-1,usesMaterial,entity:material:enamel
entity:artifact:1:ld1-1643381040022-1643381058914-1,usesMaterial,entity:material:metal
entity:artifact:1:ld1-1643381040022-1643381058918-1,usesMaterial,entity:material:ivory
entity:artifact:1:ld1-1643381040022-1643381058919-0,usesMaterial,entity:material:shell
entity:artifact:1:ld1-1643381040022-1643381058925-0,usesMaterial,entity:material:ivory
entity:artifact:1:ld1-1643381040022-1643381058925-0,usesMaterial,entity:material:textile
entity:artifact:1:ld1-1643381040022-1643381058946-1,usesMaterial,entity:material:wood
entity:artifact:1:ld1-1643381040022-1643381059066-0,usesMaterial,entity:material:ivory
entity:artifact:1:ld1-1643381040022-1643381059066-0,usesMaterial,entity:material:silk
entity:artifact:1:ld1-1643381040022-1643381059156-0,usesMaterial,entity:material:glass
entity:artifact:1:ld1-1643381040022-1643381060180-0,usesMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381060180-0,usesMaterial,entity:material:pigment
entity:artifact:1:ld1-1643381040022-1643381060244-1,usesMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381060334-0,usesMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381060334-0,usesMaterial,entity:material:pigment
entity:artifact:1:ld1-1643381040022-1643381062968-0,usesMaterial,entity:material:paper
entity:artifact:1:ld1-1643381040022-1643381062968-0,usesMaterial,entity:material:wood
entity:artifact:1:ld1-1643381040022-1643381064179-0,usesMaterial,entity:material:canvas
entity:artifact:1:ld1-1643381040022-1643381064179-0,usesMaterial,entity:material:oil
entity:artifact:1:ld1-1643381040022-1643381066704-1,usesMaterial,entity:material:ivory
entity:artifact:1:ld1-1643381040022-1643381066706-1,usesMaterial,entity:material:ivory
entity:artifact:1:ld1-1643381040022-1643381066708-0,usesMaterial,entity:material:ivory
entity:artifact:1:ld1-1643381040022-1643381066735-0,usesMaterial,entity:material:enamel
entity:artifact:1:ld1-1643381040022-1643381066735-0,usesMaterial,entity:material:silver
entity:artifact:1:ld1-1643390182193-1643390182369-0,usesMaterial,entity:material:ink
entity:artifact:1:ld1-1643390182193-1643390182369-0,usesMaterial,entity:material:pigment
entity:artifact:1:ld1-1643390182193-1643390182369-0,usesMaterial,entity:material:silk
entity:artifact:1:ld1-1643390182193-1643390182438-0,usesMaterial,entity:material:bronze
entity:artifact:1:ld1-1643390182193-1643390182789-0,usesMaterial,entity:material:copper
entity:artifact:1:ld1-1643390182193-1643390182789-0,usesMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390182964-0,usesMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390182964-0,usesMaterial,entity:material:wood
entity:artifact:1:ld1-1643390182193-1643390183003-0,usesMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390183003-0,usesMaterial,entity:material:gold
entity:artifact:1:ld1-1643390182193-1643390183003-0,usesMaterial,entity:material:lacquer
entity:artifact:1:ld1-1643390182193-1643390183661-0,usesMaterial,entity:material:gold
entity:artifact:1:ld1-1643390182193-1643390183661-0,usesMaterial,entity:material:ink
entity:artifact:1:ld1-1643390182193-1643390183661-0,usesMaterial,entity:material:paper
entity:artifact:1:ld1-1643390182193-1643390183661-0,usesMaterial,entity:material:pigment
entity:artifact:1:ld1-1643390182193-1643390183697-0,usesMaterial,entity:material:copper
entity:artifact:1:ld1-1643390182193-1643390183697-0,usesMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390183697-0,usesMaterial,entity:material:metal
entity:artifact:1:ld1-1643390182193-1643390183796-0,usesMaterial,entity:material:gold
entity:artifact:1:ld1-1643390182193-1643390183796-0,usesMaterial,entity:material:ink
entity:artifact:1:ld1-1643390182193-1643390183796-0,usesMaterial,entity:material:paper
entity:artifact:1:ld1-1643390182193-1643390183796-0,usesMaterial,entity:material:pigment
entity:artifact:1:ld1-1643390182193-1643390183796-1,usesMaterial,entity:material:gold
entity:artifact:1:ld1-1643390182193-1643390183796-1,usesMaterial,entity:material:ink
entity:artifact:1:ld1-1643390182193-1643390183796-1,usesMaterial,entity:material:paper
entity:artifact:1:ld1-1643390182193-1643390183796-1,usesMaterial,entity:material:pigment
entity:artifact:1:ld1-1643390182193-1643390183898-0,usesMaterial,entity:material:copper
entity:artifact:1:ld1-1643390182193-1643390183898-0,usesMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390183898-0,usesMaterial,entity:material:metal
entity:artifact:1:ld1-1643390182193-1643390184155-0,usesMaterial,entity:material:copper
entity:artifact:1:ld1-1643390182193-1643390184155-0,usesMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390184155-0,usesMaterial,entity:material:metal
entity:artifact:1:ld1-1643390182193-1643390184156-0,usesMaterial,entity:material:copper
entity:artifact:1:ld1-1643390182193-1643390184156-0,usesMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390184156-0,usesMaterial,entity:material:metal
entity:artifact:1:ld1-1643390182193-1643390184157-0,usesMaterial,entity:material:copper
entity:artifact:1:ld1-1643390182193-1643390184157-0,usesMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390184157-0,usesMaterial,entity:material:metal
entity:artifact:1:ld1-1643390182193-1643390184158-0,usesMaterial,entity:material:copper
entity:artifact:1:ld1-1643390182193-1643390184158-0,usesMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390184158-0,usesMaterial,entity:material:metal
entity:artifact:1:ld1-1643390182193-1643390184159-0,usesMaterial,entity:material:copper
entity:artifact:1:ld1-1643390182193-1643390184159-0,usesMaterial,entity:material:earthenware
entity:artifact:1:ld1-1643390182193-1643390184159-0,usesMaterial,entity:material:metal
entity:artifact:1:ld1-1643390182193-1643390184220-1,usesMaterial,entity:material:gold
entity:artifact:1:ld1-1643390182193-1643390184220-1,usesMaterial,entity:material:silk
entity:artifact:1:ld1-1643390182193-1643390184307-0,usesMaterial,entity:material:gold
entity:artifact:1:ld1-1643390182193-1643390184307-0,usesMaterial,entity:material:paper
entity:artifact:1:ld1-1643390182193-1643390184307-0,usesMaterial,entity:material:pigment
entity:artifact:1:ld1-1643390182193-1643390184337-0,usesMaterial,entity:material:ink
entity:artifact:1:ld1-1643390182193-1643390184337-0,usesMaterial,entity:material:paper
entity:artifact:1:ld1-1643390182193-1643390184342-0,usesMaterial,entity:material:ink
entity:artifact:1:ld1-1643390182193-1643390184342-0,usesMaterial,entity:material:pigment
entity:artifact:1:ld1-1643390182193-1643390184342-0,usesMaterial,entity:material:silk
entity:artifact:1:ld1-1643390182193-1643390184345-0,usesMaterial,entity:material:ink
entity:artifact:1:ld1-1643390182193-1643390184345-0,usesMaterial,entity:material:pigment
entity:artifact:1:ld1-1643390182193-1643390184345-0,usesMaterial,entity:material:silk
entity:artifact:1:ld1-1643390182193-1643390184347-0,usesMaterial,entity:material:canvas
entity:artifact:1:ld1-1643390182193-1643390184347-0,usesMaterial,entity:material:gold
entity:artifact:1:ld1-1643390182193-1643390184613-0,usesMaterial,entity:material:lacquer
entity:artifact:1:ld1-1643390182193-1643390184722-0,usesMaterial,entity:material:ink
