type_id,type_name
entity:artifacttype:albums-bound-books-albums,Albums (bound) & books; Albums
entity:artifacttype:altar-and-altar-component-coverings-and-hangings-embroidery-visual-works,Altar and altar component coverings and hangings; Embroidery (visual works)
entity:artifacttype:altar-frontal-embroidery-visual-works,Altar frontal; Embroidery (visual works)
entity:artifacttype:animals-drawings,Animals; Drawings
entity:artifacttype:animals-prints,Animals; Prints
entity:artifacttype:architectural-elements,Architectural elements
entity:artifacttype:archival-material,Archival Material
entity:artifacttype:artists-tools,Artists' Tools
entity:artifacttype:banners,Banners
entity:artifacttype:basins,Basins
entity:artifacttype:baskets-containers,Baskets (containers)
entity:artifacttype:bed-coverings-embroidery-visual-works,Bed coverings; Embroidery (visual works)
entity:artifacttype:belt-with-buckle-textiles,Belt with buckle; Textiles
entity:artifacttype:birdcages-containers-containers-decorative-arts,Birdcages (containers); Containers; Decorative arts
entity:artifacttype:books,Books
entity:artifacttype:bowl-hot-water,"Bowl, Hot Water"
entity:artifacttype:bowl-slop,"Bowl, Slop"
entity:artifacttype:bowl-tea,"bowl, tea"
entity:artifacttype:bowl-tea-saucers-plates,"bowl, tea; Saucers (plates)"
entity:artifacttype:bowls-vessels,Bowls (vessels)
entity:artifacttype:box-tea,"Box, Tea"
entity:artifacttype:boxes,Boxes
entity:artifacttype:cabinets-case-furniture-furniture-decorative-arts,Cabinets (case furniture); Furniture; Decorative arts
entity:artifacttype:calligraphy,Calligraphy
entity:artifacttype:calligraphy-visual-works,Calligraphy (visual works)
entity:artifacttype:card-case-and-cover-containers-decorative-arts,Card case and cover; Containers; Decorative arts
entity:artifacttype:cartoon,Cartoon
entity:artifacttype:center-table-furniture-decorative-arts,Center table; Furniture; Decorative arts
entity:artifacttype:ceramics,Ceramics
entity:artifacttype:ceramics-objects-basins-decorative-arts,Ceramics (objects); Basins; Decorative arts
entity:artifacttype:ceramics-objects-beakers-vessels-decorative-arts,Ceramics (objects); Beakers (vessels); Decorative arts
entity:artifacttype:ceramics-objects-bowls-vessels-decorative-arts,Ceramics (objects); Bowls (vessels); Decorative arts
entity:artifacttype:ceramics-objects-bulb-pot-decorative-arts,Ceramics (objects); Bulb pot; Decorative arts
entity:artifacttype:ceramics-objects-cup-and-lid-decorative-arts,Ceramics (objects); Cup and lid; Decorative arts
entity:artifacttype:ceramics-objects-cup-and-saucer-decorative-arts,Ceramics (objects); Cup and saucer; Decorative arts
entity:artifacttype:ceramics-objects-cups-decorative-arts,Ceramics (objects); Cups; Decorative arts
entity:artifacttype:ceramics-objects-decorative-arts-coffeepots,Ceramics (objects); Decorative arts; Coffeepots
entity:artifacttype:ceramics-objects-decorative-arts-covers,Ceramics (objects); Decorative arts; covers
