museum_id,object_id,artifact_id
1,ld1-1643390182193-1643390188056-0,entity:artifact:1:ld1-1643390182193-1643390188056-0
1,ld1-1643390182193-1643390191116-0,entity:artifact:1:ld1-1643390182193-1643390191116-0
1,ld1-1643390182193-1643390202127-1,entity:artifact:1:ld1-1643390182193-1643390202127-1
1,ld1-1643390182193-1643390188967-0,entity:artifact:1:ld1-1643390182193-1643390188967-0
1,ld1-1643390182193-1643390189467-0,entity:artifact:1:ld1-1643390182193-1643390189467-0
1,ld1-1643390182193-1643390186521-1,entity:artifact:1:ld1-1643390182193-1643390186521-1
1,ld1-1643390182193-1643390186496-0,entity:artifact:1:ld1-1643390182193-1643390186496-0
1,ld1-1643390182193-1643390189323-0,entity:artifact:1:ld1-1643390182193-1643390189323-0
1,ld1-1643390182193-1643390186760-1,entity:artifact:1:ld1-1643390182193-1643390186760-1
1,ld1-1643390182193-1643390189032-1,entity:artifact:1:ld1-1643390182193-1643390189032-1
1,ld1-1643390182193-1643390189303-0,entity:artifact:1:ld1-1643390182193-1643390189303-0
1,ld1-1643390182193-1643390189248-1,entity:artifact:1:ld1-1643390182193-1643390189248-1
1,ld1-1643390182193-1643390187805-0,entity:artifact:1:ld1-1643390182193-1643390187805-0
1,ld1-1643390182193-1643390187821-0,entity:artifact:1:ld1-1643390182193-1643390187821-0
1,ld1-1643390182193-1643390188564-0,entity:artifact:1:ld1-1643390182193-1643390188564-0
1,ld1-1643390182193-1643390186552-0,entity:artifact:1:ld1-1643390182193-1643390186552-0
1,ld1-1643390182193-1643390188757-0,entity:artifact:1:ld1-1643390182193-1643390188757-0
1,ld1-1643390182193-1643390188957-0,entity:artifact:1:ld1-1643390182193-1643390188957-0
1,ld1-1643390182193-1643390189346-1,entity:artifact:1:ld1-1643390182193-1643390189346-1
1,ld1-1643390182193-1643390188223-0,entity:artifact:1:ld1-1643390182193-1643390188223-0
1,ld1-1643390182193-1643390189615-0,entity:artifact:1:ld1-1643390182193-1643390189615-0
1,ld1-1643390182193-1643390189031-0,entity:artifact:1:ld1-1643390182193-1643390189031-0
1,ld1-1643390182193-1643390192477-0,entity:artifact:1:ld1-1643390182193-1643390192477-0
1,ld1-1643390182193-1643390190275-0,entity:artifact:1:ld1-1643390182193-1643390190275-0
1,ld1-1643390182193-1643390189020-1,entity:artifact:1:ld1-1643390182193-1643390189020-1
1,ld1-1643390182193-1643390188346-0,entity:artifact:1:ld1-1643390182193-1643390188346-0
1,ld1-1643390182193-1643390187762-0,entity:artifact:1:ld1-1643390182193-1643390187762-0
1,ld1-1643390182193-1643390189626-1,entity:artifact:1:ld1-1643390182193-1643390189626-1
1,ld1-1643390182193-1643390201840-0,entity:artifact:1:ld1-1643390182193-1643390201840-0
1,ld1-1643390182193-1643390186621-1,entity:artifact:1:ld1-1643390182193-1643390186621-1
1,ld1-1643390182193-1643390188992-1,entity:artifact:1:ld1-1643390182193-1643390188992-1
1,ld1-1643390182193-1643390188410-0,entity:artifact:1:ld1-1643390182193-1643390188410-0
1,ld1-1643390182193-1643390189937-0,entity:artifact:1:ld1-1643390182193-1643390189937-0
1,ld1-1643390182193-1643390186515-0,entity:artifact:1:ld1-1643390182193-1643390186515-0
1,ld1-1643390182193-1643390186598-0,entity:artifact:1:ld1-1643390182193-1643390186598-0
1,ld1-1643390182193-1643390190315-0,entity:artifact:1:ld1-1643390182193-1643390190315-0
1,ld1-1643390182193-1643390186641-0,entity:artifact:1:ld1-1643390182193-1643390186641-0
1,ld1-1643390182193-1643390189505-0,entity:artifact:1:ld1-1643390182193-1643390189505-0
1,ld1-1643390182193-1643390188612-0,entity:artifact:1:ld1-1643390182193-1643390188612-0
1,ld1-1643390182193-1643390189353-0,entity:artifact:1:ld1-1643390182193-1643390189353-0
1,ld1-1643390182193-1643390202185-0,entity:artifact:1:ld1-1643390182193-1643390202185-0
1,ld1-1643390182193-1643390187835-0,entity:artifact:1:ld1-1643390182193-1643390187835-0
1,ld1-1643390182193-1643390192589-0,entity:artifact:1:ld1-1643390182193-1643390192589-0
1,ld1-1643390182193-1643390185955-0,entity:artifact:1:ld1-1643390182193-1643390185955-0
1,ld1-1643390182193-1643390187753-0,entity:artifact:1:ld1-1643390182193-1643390187753-0
1,ld1-1643390182193-1643390193582-0,entity:artifact:1:ld1-1643390182193-1643390193582-0
1,ld1-1643390182193-1643390185381-0,entity:artifact:1:ld1-1643390182193-1643390185381-0
1,ld1-1643390182193-1643390189931-0,entity:artifact:1:ld1-1643390182193-1643390189931-0
1,ld1-1643390182193-1643390190207-0,entity:artifact:1:ld1-1643390182193-1643390190207-0
1,ld1-1643390182193-1643390189275-0,entity:artifact:1:ld1-1643390182193-1643390189275-0
1,ld1-1643390182193-1643390188559-0,entity:artifact:1:ld1-1643390182193-1643390188559-0
1,ld1-1643390182193-1643390186654-0,entity:artifact:1:ld1-1643390182193-1643390186654-0
1,ld1-1643390182193-1643390191066-0,entity:artifact:1:ld1-1643390182193-1643390191066-0
1,ld1-1643390182193-1643390189246-1,entity:artifact:1:ld1-1643390182193-1643390189246-1
1,ld1-1643390182193-1643390203302-0,entity:artifact:1:ld1-1643390182193-1643390203302-0
1,ld1-1643390182193-1643390189280-0,entity:artifact:1:ld1-1643390182193-1643390189280-0
1,ld1-1643390182193-1643390189632-0,entity:artifact:1:ld1-1643390182193-1643390189632-0
1,ld1-1643390182193-1643390187793-0,entity:artifact:1:ld1-1643390182193-1643390187793-0
1,ld1-1643390182193-1643390189349-0,entity:artifact:1:ld1-1643390182193-1643390189349-0
1,ld1-1643390182193-1643390189033-0,entity:artifact:1:ld1-1643390182193-1643390189033-0
1,ld1-1643390182193-1643390186667-0,entity:artifact:1:ld1-1643390182193-1643390186667-0
1,ld1-1643390182193-1643390191130-0,entity:artifact:1:ld1-1643390182193-1643390191130-0
1,ld1-1643390182193-1643390190277-0,entity:artifact:1:ld1-1643390182193-1643390190277-0
1,ld1-1643390182193-1643390189253-0,entity:artifact:1:ld1-1643390182193-1643390189253-0
1,ld1-1643390182193-1643390190033-0,entity:artifact:1:ld1-1643390182193-1643390190033-0
1,ld1-1643390182193-1643390184347-0,entity:artifact:1:ld1-1643390182193-1643390184347-0
1,ld1-1643390182193-1643390189041-0,entity:artifact:1:ld1-1643390182193-1643390189041-0
1,ld1-1643390182193-1643390186677-1,entity:artifact:1:ld1-1643390182193-1643390186677-1
1,ld1-1643390182193-1643390187951-0,entity:artifact:1:ld1-1643390182193-1643390187951-0
1,ld1-1643390182193-1643390188054-0,entity:artifact:1:ld1-1643390182193-1643390188054-0
1,ld1-1643390182193-1643390186617-0,entity:artifact:1:ld1-1643390182193-1643390186617-0
1,ld1-1643390182193-1643390188990-0,entity:artifact:1:ld1-1643390182193-1643390188990-0
1,ld1-1643390182193-1643390187748-0,entity:artifact:1:ld1-1643390182193-1643390187748-0
1,ld1-1643390182193-1643390190004-1,entity:artifact:1:ld1-1643390182193-1643390190004-1
1,ld1-1643390182193-1643390186542-0,entity:artifact:1:ld1-1643390182193-1643390186542-0
