object_id,museum_id,title,artist,artist_province,dynasty,artist_wikidata_id,artist_birth,artist_death,artist_bio,artist_wikipedia_summary,artist_enriched_at,period,period_start_year,period_end_year,type,material,culture,description,provenance,bibliography,dimensions,museum,location,detail_url,image_url,image_urls,iiif_manifest_url,image_path,image_paths,image_count,credit_line,accession_number,source_updated_at,crawl_date
ld1-1643390182193-1643390188056-0,1,Two magpies under an orchid cliff,"San, Lee Chiao; Freer, Charles Lang",Shanghai,Ming（明）,,,,,,,1500s; 1400s,1500,1500,Paintings,Hanging scroll mounted on panel; ink and color on silk H x W (image): 133.2 x 52.2 cm (52 7/16 x 20 9/16 in),Charles Lang Freer collection; Art; Animals; Magpie; Chinese Art; Orchids; Birds; Flowers; Ming dynasty (1368 - 1644),"Zhe School To 1911 Lee Chiao San, Shanghai, to 1911 [1] From 1911 to 1919 Charles Lang Freer (1854-1919), purchased from Lee Chiao San in 1911 [2] From 1920 Freer Gallery of Art, gift of Charles Lang Freer in 1920 [3] Notes: [1] See Original Kakemono and Makimono List, L. 883, Freer Gallery of Art and Arthur M. Sackler Gallery Archives. [2] See note 1. [3] The original deed of Charles Lang Freer's gift was signed in 1906. The collection was received in 1920 upon the completion of the Freer Gallery. Freer Gallery of Art Collection Chinese Bird and Flower Painting (December 17, 1993 to May 31, 1994) Masterpieces of Chinese Painting (II) (May 9, 1993 to May 31, 1994) Lee Chiao San (C.L. Freer source) Charles Lang Freer (1854-1919)",,,133.2 x 52.2 cm,Smithsonian Institution,"Washington, DC, USA",https://n2t.net/ark:/65665/ye3d26102ae-fb56-444a-a187-ba36319e2867,https://ids.si.edu/ids/download?id=FS-5907_12.jpg,,,images\smithsonian\ld1-1643390182193-1643390188056-0.jpg,,,Gift of Charles Lang Freer,fsg_F1911.309,,2026-06-04
ld1-1643390182193-1643390191116-0,1,Yue ware vessel in the shape of a chimera (bixie),"Freer, Charles Lang; You, Xiaoxi",Zhejiang,Eastern Jin（东晋）,,,,,,,400s,400,400,Vessels (containers),Stoneware with celadon glaze H x W: 8.9 x 13.3 cm (3 1/2 x 5 1/4 in) Yue ware,Period of Division (220 - 589); Yue ware; Charles Lang Freer collection; Art; Green glaze; Stoneware; Chinese Art; Ceramics; Northern Wei dynasty (386 - 534); Chimera,"A stand in the form of a chimera (bixie) with a socket on the back Clay: gray, porcellanous. Glaze: thin, dull grayish-green. Molded Yue-ware vessels like this were made in large quantities, but their function is unclear. They may have held a candle, or perhaps scholars dipped their writing brushes in the water-filled interior. In the Jin dynasty (265-420 CE), mythical lions, with exaggeratedly curled manes, and winged chimeras were protective images; huge stone examples guarded important tombs. To 1919 You Xiaoxi (late 19th-early 20th century), Shanghai, to 1919 [1] 1919 Charles Lang Freer (1854-1919), purchased from You Xiaoxi, in New York, in 1919 [2] From 1920 Freer Gallery of Art, gift of Charles Lang Freer in 1920 [3] Notes: [1] See Original Pottery List, L. 2618, Freer Gallery of Art and Arthur M. Sackler Gallery Archives. [2] See note 1. [3] The original deed of Charles Lang Freer's gift was signed in 1906. The collection was received in 1920 upon the completion of the Freer Gallery. Freer Gallery of Art Collection Shades of Green and Blue: Chinese Celadon Ceramics (July 15, 1997 to September 7, 2004) Chinese Ceramics (April 11, 1978 to September 4, 1980) You Xiaoxi æ¸¸ç¯ æºª (late 19th-early 20th century) (C.L. Freer source) Charles Lang Freer (1854-1919)",,,8.9 x 13.3 cm,Smithsonian Institution,"Washington, DC, USA",https://n2t.net/ark:/65665/ye307c088b3-8281-4356-952b-b8fe08f5291f,https://ids.si.edu/ids/download?id=FS-8166_05.jpg,,,images\smithsonian\ld1-1643390182193-1643390191116-0.jpg,,,Gift of Charles Lang Freer,fsg_F1919.93,,2026-06-04
ld1-1643390182193-1643390202127-1,1,Kang or furniture cover,"Meyer, Agnes E.; Graham, Katharine Meyer; Meyer, Eugene I.",,Qing（清）,Q110476493,,,model maker,,2026-05-21,1700s; 1790s,1700,1700,Costume; Textiles,Polychrome cut-velvet with silk backing H x W: 425 x 195 cm (167 5/16 x 76 3/4 in),Bats; Art; Silk (fiber); Chinese Art; Qing dynasty (1644 - 1911); Cut velvet; Flowers; Lotus; Floral patterns; Dragon; Rugmaking,"This textile consists of three sewn together sections of cut-velvet fabric with polychrome layered-weft pattern; the entire piece of fabric is lined with yellow silk, which is not necessarily original to the piece. A large, full-faced lotus blossom with a golden seed pod at the middle appears in the center of the design. The rest of the surface is covered with a scrolling leaf design punctuated by profile lotus flower-heads that have golden-edged seed pods at their centers. Ten large bats flit among the flower design. Two rectangular bands edge the design; the inner border consists of geometric kui-dragon patterns composed of units of two facing dragons. The outside border consists of swastika lattice made up of paired swastikas in mirror image. The borders add an archaistic flavor to the design. The velvet is crimson/burgundy in color and the polychrome layered-weft pattern consists of the following colors: white, pink, mint-green, teal blue, and gold. It also appears that silver thread was used on some of the bats, but the thread is now dulled. The predominant design of lotus flowers and scrolling leaves is executed in white, pink, and gold for the flowers and green and blue for the leaves. The colors are used with studied repetition to create a harmonious unity; for example, touches of pink and white also appear as flourishes on the leafy vine. The kui-dragon pattern, which is predominately green and blue, also includes accents of white and pink threads. The velvet background pile has been trimmed with exceptional care and skill, and details as fine as the eyes and facial features of the bats are formed by lines of raised velvet nap. To 1970 Agnes E. Meyer (1887-1970), Washington, DC, and Mt. Kisco, New York. [1] Estate of Agnes E. Meyer. [2] To 1995 Mrs. Katherine Graham (1917-2001), Washington, DC, acquired from her motherâs (Agnes E. Meyer) estate. [3] From 1995 Freer Gallery of Art, gift of Mrs. Katherine Graham, Washington DC [4] Notes: [1] Acquired by donor from her mother's (Agnes Meyer) estate. Donor believes that this cut-velvet panel covered the grand piano in her mother's drawing room. See page 115 of the ""Drawing Room"" estate inventory in the object file in the Registrar's office. [2] See note 1. [3] See note 1. [4] See object record. Freer Study Collection The Arts of China (November 18, 1990 to September 7, 2014) Eugene I. Meyer Jr. (1875-1959) Agnes E. Meyer (1887-1970) Katharine Meyer Graham (1917-2001)",,,425 x 195 cm,Smithsonian Institution,"Washington, DC, USA",https://n2t.net/ark:/65665/ye32c75dbc5-e867-4cbd-b981-362206a212d2,https://ids.si.edu/ids/download?id=FS-8546_36.jpg,,,C:\Users\Administrator\Desktop\smithsonian\smithsonian\ld1-1643390182193-1643390202127-1.jpg,,,Gift of Mrs. Katharine Graham,fsg_FSC-T-7,,2026-05-20
ld1-1643390182193-1643390188967-0,1,Awaiting a ferry after clearing snow,"Freer, Charles Lang; Bahr, Abel William",Shanghai,Ming（明）,Q5080060,1854-02-02,1919-10-25,"American manufacturer and collector, 1854-1919","Charles Lang Freer was an American industrialist, art collector, and patron. He is known for his large collection of East Asian, American, and Middle Eastern art. In 1906, Freer donated his extensive collection to the Smithsonian Institution, making him the first American to bequeath his private collection to the United States. To house the objects, including The Peacock Room by James McNeill Whistler, Freer funded the construction of the Freer Gallery of Art in Washington, D.C.",2026-05-21,1640s; 1200s,1640,1640,Paintings,Ink on silk H x W (image): 23.7 x 25.2 cm (9 5/16 x 9 15/16 in),Description and travel; Charles Lang Freer collection; Landscapes; Art; Animals; Winter; Snow; Chinese Art; Horses; Yuan dynasty (1279 - 1368); Ming dynasty (1368 - 1644); Rivers,"To 1915 Abel William Bahr (1877-1959), London, to 1915 [1] From 1915 to 1919 Charles Lang Freer (1854-1919), purchased from Abel William Bahr, London, in 1915 [2] From 1920 The Freer Gallery of Art, gift of Charles Lang Freer in 1920 [3] Notes: [1] See Original Panel List, L. 116, Freer Gallery of Art and Arthur M. Sackler Gallery Archives. Abel William Bahr (1877-1959) was a collector and dealer born in Shanghai, China. After he left Shanghai in 1910, he lived, at various points in time, in London, Montreal, and Ridgefield, Connecticut. He established a gallery in New York City in 1920. [2] See note 1. [3] The original deed of Charles Lang Freer's gift was signed in 1906. The collection was received in 1920 upon the completion of the Freer Gallery. Freer Gallery of Art Collection Chinese Album Leaves and Fan Paintings (September 14, 1977 to April 8, 1978) Abel William Bahr (1877-1959) (C.L. Freer source) Charles Lang Freer (1854-1919)",,,23.7 x 25.2 cm,Smithsonian Institution,"Washington, DC, USA",https://n2t.net/ark:/65665/ye3a253096b-e28e-44ef-a444-32c830861090,https://ids.si.edu/ids/download?id=FS-7406_39.jpg,,,C:\Users\Administrator\Desktop\smithsonian\smithsonian\ld1-1643390182193-1643390188967-0.jpg,,,Gift of Charles Lang Freer,fsg_F1915.10,,2026-05-20
ld1-1643390182193-1643390189467-0,1,Ornament in the form of a standing horse,"Freer, Charles Lang; Bahr, Abel William",Inner Mongolia,Eastern Han（东汉）,Q5080060,1854-02-02,1919-10-25,"American manufacturer and collector, 1854-1919","Charles Lang Freer was an American industrialist, art collector, and patron. He is known for his large collection of East Asian, American, and Middle Eastern art. In 1906, Freer donated his extensive collection to the Smithsonian Institution, making him the first American to bequeath his private collection to the United States. To house the objects, including The Peacock Room by James McNeill Whistler, Freer funded the construction of the Freer Gallery of Art in Washington, D.C.",2026-05-21,200s; 500s,200,200,Sculpture,Bronze H x W: 5.3 x 5.8 cm (2 1/16 x 2 5/16 in),Bronze; Period of Division (220 - 589); Charles Lang Freer collection; Art; Animals; Chinese Art; Horses; Metal-work,"To 1916 Abel William Bahr (1877-1959), London, to 1916 [1] From 1916 to 1919 Charles Lang Freer (1854-1919), purchased from Abel William Bahr, London, in 1916 [2] From 1920 The Freer Gallery of Art, gift of Charles Lang Freer in 1920 [3] Notes: [1] See Original Bronze List, S.I. 613, pg. 143, Freer Gallery of Art and Arthur M. Sackler Gallery Archives. Abel William Bahr (1877-1959) was a collector and dealer born in Shanghai, China. After he left Shanghai in 1910, he lived, at various points in time, in London, Montreal, and Ridgefield, Connecticut. He established a gallery in New York City in 1920. [2] See note 1. [3] The original deed of Charles Lang Freer's gift was signed in 1906. The collection was received in 1920 upon the completion of the Freer Gallery. Freer Gallery of Art Collection Abel William Bahr (1877-1959) (C.L. Freer source) Charles Lang Freer (1854-1919)",,,5.3 x 5.8 cm,Smithsonian Institution,"Washington, DC, USA",https://n2t.net/ark:/65665/ye392ca87fd-5846-49a7-a315-b873686c45da,https://ids.si.edu/ids/download?id=FS-7706_06.jpg,,,C:\Users\Administrator\Desktop\smithsonian\smithsonian\ld1-1643390182193-1643390189467-0.jpg,,,Gift of Charles Lang Freer,fsg_F1916.302,,2026-05-20
ld1-1643390182193-1643390186521-1,1,Cloudy mountains,"Freer, Charles Lang; Sai, Loon Gu",Beijing,Ming（明）,Q5080060,1854-02-02,1919-10-25,"American manufacturer and collector, 1854-1919","Charles Lang Freer was an American industrialist, art collector, and patron. He is known for his large collection of East Asian, American, and Middle Eastern art. In 1906, Freer donated his extensive collection to the Smithsonian Institution, making him the first American to bequeath his private collection to the United States. To house the objects, including The Peacock Room by James McNeill Whistler, Freer funded the construction of the Freer Gallery of Art in Washington, D.C.",2026-05-21,1600s; 1790s,1600,1600,Paintings,Ink and color on silk H x W (image): 21.1 x 292.3 cm (8 5/16 x 115 1/16 in),Mountains; Charles Lang Freer collection; Landscapes; Art; Chinese Art; Qing dynasty (1644 - 1911); Rivers,"To 1909 Loon Gu-sai, Beijing, to 1909 [1] From 1909 to 1919 Charles Lang Freer (1854-1919), purchased from Loon Gu-sai in 1909 [2] From 1920 Freer Gallery of Art, gift of Charles Lang Freer in 1920 [3] Notes: [1] See Original Kakemono and Makimono List, L. 660, Freer Gallery of Art and Arthur M. Sackler Gallery Archives. Although the Accession List specifies that this object was purchased from Loon Gu-sai, Curatorial Remark 1 in the object record notes only that the object was purchased from an unnamed dealer in Peking. This object exhibits seals, colophons, or inscriptions that could provide additional information regarding the objectâs history; see Curatorial Remarks in the object record for further details. [2] See note 1. [3] The original deed of Charles Lang Freer's gift was signed in 1906. The collection was received in 1920 upon the completion of the Freer Gallery. Freer Gallery of Art Collection Loon Gu Sai (C.L. Freer source) Charles Lang Freer (1854-1919)",,,21.1 x 292.3 cm,Smithsonian Institution,"Washington, DC, USA",https://n2t.net/ark:/65665/ye3950878b8-c971-4cb2-8507-dba8c2e7141e,https://ids.si.edu/ids/download?id=FS-7479_05.jpg,,,C:\Users\Administrator\Desktop\smithsonian\smithsonian\ld1-1643390182193-1643390186521-1.jpg,,,Gift of Charles Lang Freer,fsg_F1909.202,,2026-05-20
ld1-1643390182193-1643390186496-0,1,Landscape: a dappled horse and a horseman,"Pang, Shou-ting; Freer, Charles Lang",Beijing,Ming（明）,Q47062624,,,family name,,2026-05-21,1500s; 1600s,1500,1500,Paintings,Ink and color on paper H x W (image): 67.4 Ã 29.8 cm (26 9/16 Ã 11 3/4 in),Trees; Charles Lang Freer collection; Landscapes; Art; Animals; Chinese Art; Horses; Ming dynasty (1368 - 1644),"Depicts a hilly landscape, with a scraggly tree, and a Central Asian groom in a red jacket holding the bridle of a dappled horse with trappings and a saddle. Spurious inscription and one seal, no colophons or labels. One seal. Spurious inscription. To 1909 Pang Shou-ting, Beijing, to 1909 [1] From 1909 to 1919 Charles Lang Freer (1854-1919), purchased from Pang Shou-ting, Beijing, in 1909 [2] From 1920 Freer Gallery of Art, gift of Charles Lang Freer in 1920 [3] Notes: [1] See Original Kakemono and Makimono List, L. 634, Freer Gallery of Art and Arthur M. Sackler Gallery Archives. This object exhibits seals, colophons, or inscriptions that could provide additional information regarding the objectâs history; see Curatorial Remarks in the object record for further details. [2] See note 1. [3] The original deed of Charles Lang Freer's gift was signed in 1906. The collection was received in 1920 upon the completion of the Freer Gallery. Freer Gallery of Art Collection Ancient Chinese Paintings, Sculptures, and Jade Objects from the Collection formed by Charles Lang Freer (November 15 to December 08, 1917) Pang Shou-ting (C.L. Freer source) Charles Lang Freer (1854-1919)",,,,Smithsonian Institution,"Washington, DC, USA",https://n2t.net/ark:/65665/ye39104f50f-2774-4527-9815-9e8a969d2dbd,https://ids.si.edu/ids/download?id=FS-F1909.172_001-000001.jpg,,,C:\Users\Administrator\Desktop\smithsonian\smithsonian\ld1-1643390182193-1643390186496-0.jpg,,,Gift of Charles Lang Freer,fsg_F1909.172,,2026-05-20
ld1-1643390182193-1643390189323-0,1,One-tier tube (<em>cong</em> ç®) with masks,"Freer, Charles Lang; Li, Wenqing",Shanghai,,Q5080060,1854-02-02,1919-10-25,"American manufacturer and collector, 1854-1919","Charles Lang Freer was an American industrialist, art collector, and patron. He is known for his large collection of East Asian, American, and Middle Eastern art. In 1906, Freer donated his extensive collection to the Smithsonian Institution, making him the first American to bequeath his private collection to the United States. To house the objects, including The Peacock Room by James McNeill Whistler, Freer funded the construction of the Freer Gallery of Art in Washington, D.C.",2026-05-21,BCE 2000s; BCE 3000s,2000,2000,Ceremonial objects,Jade (nephrite) H x W x D: 4.5 x 7.2 x 7.2 cm (1 3/4 x 2 13/16 x 2 13/16 in) Diam (hole): 5.9 cm (2 5/16 in),Charles Lang Freer collection; Art; Late Neolithic period (ca. 5000 - ca. 1700 BCE); Chinese Art; Nephrite; Jade,"Squared, hollow cylinder of the type tsâung [cong] ç®; narrow projecting collar at both ends; rich cream and tans; decoration: incised and in low relief, stylized masks and double bands of fine lines on corners. (Collar chipped.) To 1916 Li Wenqing (late 19th-early 20th century), Shanghai, to 1916 [1] From 1916 to 1919 Charles Lang Freer (1854-1919), purchased from Li Wenqing, in New York, in 1916 [2] From 1920 Freer Gallery of Art, gift of Charles Lang Freer in 1920 [3] Notes: [1] See Original Miscellaneous List, S.I. 797, pg. 173, Freer Gallery of Art and Arthur M. Sackler Gallery Archives. [2] See note 1. [3] The original deed of Charles Lang Freer's gift was signed in 1906. The collection was received in 1920 upon the completion of the Freer Gallery. Freer Gallery of Art Collection Afterlife: Ancient Chinese Jades (October 14, 2017 - ongoing) Ancient Chinese Jades and Bronzes (November 20, 2010 to January 3, 2016) Ancient Chinese Jades (May 9, 1993 to May 18, 1998) Studies in Connoisseurship 1923-1983 (September 23, 1983 to March 1, 1984) Ancient Chinese Jade (September 4, 1980 to March 6, 1981) Chinese Art (January 1, 1963 to March 6, 1981) Untitled Exhibition, Chinese Metalwork (March 14, 1931 to March 22, 1943) Li Wenqing ææå¿ (ca. 1869-1931) (C.L. Freer source) Charles Lang Freer (1854-1919)",,,4.5 x 7.2 x 7.2 cm,Smithsonian Institution,"Washington, DC, USA",https://n2t.net/ark:/65665/ye3f66c18a7-a135-4590-aa1a-5490c2b23c22,https://ids.si.edu/ids/download?id=FS-F1916.118_001.jpg,,,C:\Users\Administrator\Desktop\smithsonian\smithsonian\ld1-1643390182193-1643390189323-0.jpg,,,Gift of Charles Lang Freer,fsg_F1916.118,,2026-05-20
ld1-1643390182193-1643390186760-1,1,"Panel with five dragons, flaming pearls, clouds, and floral patterns","Freer, Charles Lang; Chai, Yung Pao",Beijing,Qing（清）,Q5080060,1854-02-02,1919-10-25,"American manufacturer and collector, 1854-1919","Charles Lang Freer was an American industrialist, art collector, and patron. He is known for his large collection of East Asian, American, and Middle Eastern art. In 1906, Freer donated his extensive collection to the Smithsonian Institution, making him the first American to bequeath his private collection to the United States. To house the objects, including The Peacock Room by James McNeill Whistler, Freer funded the construction of the Freer Gallery of Art in Washington, D.C.",2026-05-21,1800s; 1700s,1800,1800,Costume; Textiles,Brocade: woven silk and metallic threads H x W: 142 x 113 cm (55 7/8 x 44 1/2 in),Art; Silk (fiber); Chinese Art; Flowers; Flaming pearl; Dragon; Brocading; Weft patterning; Twill; Charles Lang Freer collection; Qing dynasty (1644 - 1911); Cloud; Tapestries,"To 1909 Yung Pao Chai, Beijing, to 1909 [1] From 1909 to 1919 Charles Lang Freer (1854-1919), purchased from Yung Pao Chai in 1909 [2] From 1920 Freer Gallery of Art, gift of Charles Lang Freer in 1920 [3] Notes: [1] See Reserved Textile List, R. 11, Freer Gallery of Art and Arthur M. Sackler Gallery Archives. According to Ingrid Larsen, ""'Donât Send Ming or Later Pictures': Charles Lang Freer and the First Major Collection of Chinese Painting in an American Museum,"" Ars Orientalis vol. 40 (2011), pg. 18, Yung Pao Chai may have been Yongbaozhai, a shop established in the antique district of Liulichang in 1884. [2] See note 1. [3] The original deed of Charles Lang Freer's gift was signed in 1906. The collection was received in 1920 upon the completion of the Freer Gallery. Freer Gallery of Art Collection Chinese Ceramics (March 15, 1982 to July 10, 1986) Bicentennial Exhibition: Chinese Art (December 5, 1975 to November 10, 1976) Yung Pao Chai (C.L. Freer source) Charles Lang Freer (1854-1919)",,,142 x 113 cm,Smithsonian Institution,"Washington, DC, USA",https://n2t.net/ark:/65665/ye39619029c-66e1-4948-a3e8-1085a33ed832,https://ids.si.edu/ids/download?id=FS-7778_08.jpg,,,C:\Users\Administrator\Desktop\smithsonian\smithsonian\ld1-1643390182193-1643390186760-1.jpg,,,Gift of Charles Lang Freer,fsg_F1909.396,,2026-05-20
ld1-1643390182193-1643390189032-1,1,Mask and ring,"Freer, Charles Lang; Yamanaka and Co.",,Eastern Han（东汉）,Q5080060,1854-02-02,1919-10-25,"American manufacturer and collector, 1854-1919","Charles Lang Freer was an American industrialist, art collector, and patron. He is known for his large collection of East Asian, American, and Middle Eastern art. In 1906, Freer donated his extensive collection to the Smithsonian Institution, making him the first American to bequeath his private collection to the United States. To house the objects, including The Peacock Room by James McNeill Whistler, Freer funded the construction of the Freer Gallery of Art in Washington, D.C.",2026-05-21,BCE 0s; 200s,200,200,Ornaments; Jewelry,Bronze H x W: 8 x 7.9 cm (3 1/8 x 3 1/8 in),Bronze; Charles Lang Freer collection; Art; Animals; Sculpture; Eastern Zhou dynasty (770 - 221 BCE); Chinese Art; Masks; Metal-work; Han dynasty (206 BCE - 220 CE),"To 1915 Yamanaka & Company, New York to 1915 [1] From 1915 to 1919 Charles Lang Freer (1854-1919), purchased from Yamanaka & Company, New York in 1915 [2] From 1920 The Freer Gallery of Art, gift of Charles Lang Freer in 1920 [3] Notes: [1] See Original Bronze List, S.I. 654, Freer Gallery of Art and Arthur M. Sackler Gallery Archives. [2] See note 1. [3] The original deed of Charles Lang Freer's gift was signed in 1906. The collection was received in 1920 upon the completion of the Freer Gallery. Freer Gallery of Art Collection Yamanaka and Co. å±±ä¸­åä¼ (1917-1965) (C.L. Freer source) Charles Lang Freer (1854-1919)",,,8 x 7.9 cm,Smithsonian Institution,"Washington, DC, USA",https://n2t.net/ark:/65665/ye3aa9fcfab-3e27-4a7e-98a7-83608769f1fb,https://ids.si.edu/ids/download?id=FS-7727_20.jpg,,,C:\Users\Administrator\Desktop\smithsonian\smithsonian\ld1-1643390182193-1643390189032-1.jpg,,,Gift of Charles Lang Freer,fsg_F1915.81,,2026-05-20
